parameter_id,value,status
P424_LOOKBACK_TICKS,180.0,fixed
P424_ENTRY_FORWARD_TICKS,3.0,fixed
P424_MIN_FORWARD_HOLD_MS,250.0,fixed
P424_MAX_HOLD_TICKS,30.0,fixed
P424_MIN_L2_L5_OPPOSITE_DEPLETION,0.35,fixed
P424_MIN_L2_L5_SAME_SIDE_REPLENISHMENT,0.1,fixed
P424_MIN_L1_IMBALANCE_CONFIRMATION,0.55,fixed
P424_MAX_SPREAD_BPS,8.0,fixed
P424_MAX_OPPOSITE_L1_NOTIONAL_INR,1500000.0,fixed
P424_MIN_L2_L5_DEPTH_NOTIONAL_INR,2000000.0,fixed
P424_INITIAL_CAPITAL_INR,1000000.0,fixed
P424_ORDER_NOTIONAL_INR,100000.0,fixed
P424_COST_MULTIPLIER,2.0,fixed
P424_MIN_COMPLETED_ROUND_TRIPS,30.0,fixed
P424_MIN_TRADE_DATES,5.0,fixed
P424_MIN_SYMBOLS,5.0,fixed
P424_MIN_POSITIVE_DATE_FRACTION,0.6,fixed
P424_ANNUALIZED_THRESHOLD_PCT,12.0,fixed
P424_MIN_L2_L5_EDGE_DELTA_VS_L1_ONLY_PCT,5.0,fixed
P424_SYMBOL_COUNT,32.0,fixed
