symbol,exchange,universe_role,phase424_included
ADANIPORTS,NSE,liquid_cash_equity_or_etf,1
AXISBANK,NSE,liquid_cash_equity_or_etf,1
BAJAJ-AUTO,NSE,liquid_cash_equity_or_etf,1
BANKBEES,NSE,liquid_cash_equity_or_etf,1
BHARTIARTL,NSE,liquid_cash_equity_or_etf,1
BPCL,NSE,liquid_cash_equity_or_etf,1
BRITANNIA,NSE,liquid_cash_equity_or_etf,1
CIPLA,NSE,liquid_cash_equity_or_etf,1
DRREDDY,NSE,liquid_cash_equity_or_etf,1
GOLDBEES,NSE,liquid_cash_equity_or_etf,1
HCLTECH,NSE,liquid_cash_equity_or_etf,1
HDFCBANK,NSE,liquid_cash_equity_or_etf,1
HINDUNILVR,NSE,liquid_cash_equity_or_etf,1
ICICIBANK,NSE,liquid_cash_equity_or_etf,1
INFY,NSE,liquid_cash_equity_or_etf,1
ITBEES,NSE,liquid_cash_equity_or_etf,1
ITC,NSE,liquid_cash_equity_or_etf,1
JUNIORBEES,NSE,liquid_cash_equity_or_etf,1
KOTAKBANK,NSE,liquid_cash_equity_or_etf,1
LT,NSE,liquid_cash_equity_or_etf,1
M&M,NSE,liquid_cash_equity_or_etf,1
MARUTI,NSE,liquid_cash_equity_or_etf,1
NESTLEIND,NSE,liquid_cash_equity_or_etf,1
NIFTYBEES,NSE,liquid_cash_equity_or_etf,1
ONGC,NSE,liquid_cash_equity_or_etf,1
RELIANCE,NSE,liquid_cash_equity_or_etf,1
SBIN,NSE,liquid_cash_equity_or_etf,1
SUNPHARMA,NSE,liquid_cash_equity_or_etf,1
TCS,NSE,liquid_cash_equity_or_etf,1
TECHM,NSE,liquid_cash_equity_or_etf,1
ULTRACEMCO,NSE,liquid_cash_equity_or_etf,1
WIPRO,NSE,liquid_cash_equity_or_etf,1
