input_id,value,description
phase298_dense_root,raw_synthetic_l2_dense_full_year,Raw dense source root.
phase298_full_depth_required,1,Must be one.
phase298_levels_2_to_5_required,1,Must be one.
phase298_l1_only_variant_rows,0,Must be zero.
phase298_net_edge_live_mask_rows,0,Must be zero.
phase298_schema_present_columns_min,30,Minimum L1-L5 schema columns.
phase423_selected_verdict,P423_PAIR_SPREAD_POSITIVE_LEAD_FALSIFIED_BY_REALISM_RETEST,Pair-spread route closure context.
phase423_same_family_tuning_allowed,0,Must be zero.
symbol_catalog_rows,32,Precommitted symbol count.
execution_results_generated_now,0,Precommit only.
