symbol,joined_rows,events,min_relative_second,max_relative_second
ADANIPORTS,874446,10,-900,1800
AXISBANK,876672,10,-900,1800
BAJAJ-AUTO,887635,10,-900,1800
BANKBEES,888320,10,-900,1800
BHARTIARTL,893489,10,-900,1800
BPCL,889549,10,-900,1800
BRITANNIA,886006,10,-900,1800
CIPLA,895556,10,-900,1800
DRREDDY,875640,10,-900,1800
GOLDBEES,896423,10,-900,1800
HCLTECH,878588,10,-900,1800
HDFCBANK,909059,10,-900,1800
HINDUNILVR,896332,10,-900,1800
ICICIBANK,870173,10,-900,1800
INFY,876408,10,-900,1800
ITBEES,874952,10,-900,1800
ITC,882233,10,-900,1800
JUNIORBEES,887742,10,-900,1800
KOTAKBANK,894526,10,-900,1800
LT,885786,10,-900,1800
M&M,884364,10,-900,1800
MARUTI,886302,10,-900,1800
NESTLEIND,882795,10,-900,1800
NIFTYBEES,883137,10,-900,1800
ONGC,875765,10,-900,1800
RELIANCE,888084,10,-900,1800
SBIN,874698,10,-900,1800
SUNPHARMA,890457,10,-900,1800
TCS,896696,10,-900,1800
TECHM,879231,10,-900,1800
ULTRACEMCO,896642,10,-900,1800
WIPRO,892604,10,-900,1800
