work_package_id,deliverable,implementation_status,status_rank,evidence_path,evidence_status,acceptance_grade,note
WP1,schema detector,implemented,4,outputs/stage_a1/schema_report.csv,present,True,Real-sample schema audit exists.
WP1,data-quality checks,implemented,4,outputs/stage_a1/data_quality_report.csv,present,True,Per-symbol quality checks exist.
WP1,sample-day profile,implemented,4,outputs/stage_a1/stage_a1_report.md,present,True,Sample-day profile report exists.
WP1,size report,implemented,4,outputs/phase10/phase10_storage_report.md,present,True,Storage inventory and size estimates exist.
WP1,canonical Parquet conversion,implemented,4,outputs/stage_a1/compact_ticks_by_symbol,present,True,Compact per-symbol Parquet conversion exists.
WP2,L1/L5 imbalance,implemented,4,outputs/phase9/tier_c/features_5m.parquet,present,True,Feature product contains imbalance proxies.
WP2,MLOFI,implemented_proxy,3,outputs/phase11/strategy_feature_availability.csv,present,False,MLOFI strategy support is proxy-level.
WP2,trade classification,implemented_proxy,3,outputs/phase1/event_reconstruction/event_reconstruction_quality.csv,present,False,Weak aggressor-side labels are summarized with explicit inference-quality limits; not exchange aggressor truth.
WP2,microprice,implemented,4,outputs/phase9/tier_c/features_5m.parquet,present,True,Microprice feature is available in Tier C.
WP2,liquidity withdrawal,implemented_proxy,3,outputs/phase11/strategy_feature_availability.csv,present,False,Liquidity-withdrawal features are proxy-supported.
WP2,replenishment,implemented_proxy,3,outputs/phase1/event_reconstruction/event_reconstruction_summary.csv,present,False,Visible-depth replenishment proxies are reconstructed from received market-by-price deltas with ambiguity flags.
WP2,book shape,implemented_proxy,3,outputs/phase9/tier_c/features_5m.parquet,present,False,Book-shape proxies are available in 5-minute features.
WP2,regime-independent baseline features,implemented,4,outputs/phase11/baseline_strategy_matrix.csv,present,True,Baseline strategy features are registered.
WP3,regime definitions,implemented,4,outputs/phase3/intraday_market_states.csv,present,True,Intraday market-state definitions exist.
WP3,scenario YAML/JSON,implemented,4,outputs/phase4/scenario_manifest.json,present,True,Scenario profiles exist as structured JSON/manifest artifacts.
WP3,daily calendar generator,implemented,4,outputs/phase4/scenario_calendar.csv,present,True,Daily scenario calendar exists.
WP3,intraday state generator,implemented,4,outputs/phase3/intraday_market_states.csv,present,True,Intraday state grid exists.
WP3,shock injector,implemented_proxy,3,outputs/phase7/shock_library.csv,present,False,Shock library exists; injector is represented by generated shock annotations.
WP4,market/sector/ticker factors,implemented_proxy,3,outputs/phase5/price_paths_5m.parquet,present,False,Synthetic price paths include cross-sectional structure proxies.
WP4,stochastic volatility,implemented_proxy,3,outputs/phase5/daily_price_summary.csv,present,False,Volatility regime effects are represented at proxy level.
WP4,jump process,implemented_proxy,3,outputs/phase7/shock_library.csv,present,False,Jump/shock events are registered.
