scenario_id,seed_scope,fill_model_id,execution_policy_id,max_concurrent_positions,initial_capital_inr,fixed_notional_inr,cost_profile,cost_multiplier,input_event_rows,scheduled_event_rows,canceled_event_rows,crossed_after_no_fill_rows,rejected_event_rows,rejected_same_symbol_overlap_rows,rejected_max_concurrent_rows,rejected_insufficient_cash_rows,passive_entry_attempt_rows,passive_entry_fill_rows,passive_exit_attempt_rows,passive_exit_fill_rows,forced_flatten_rows,avg_entry_fill_probability,avg_adverse_selection_penalty_bps_scheduled,avg_net_edge_bps_scheduled,candidate_rows,scheduled_candidate_rows,symbols,scheduled_symbols,observed_trade_dates,scheduled_trade_dates,positive_trade_dates,negative_trade_dates,positive_symbol_date_rows,realized_net_pnl_inr,portfolio_return_pct,mechanical_annualized_portfolio_return_pct,scheduled_notional_inr,notional_turnover_x_initial_capital,avg_open_notional_utilization,max_drawdown_inr,event_floor_met,annualized_above12,breadth_met,cost200_acceptance_survivor,strategy_replay_allowed,promotion_allowed,paper_or_live_acceptance_allowed,deployable_profitability_claim_allowed,above12_but_sparse,broad_but_below12,acceptance_block_reason,preserve_for_terminal_report
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN,4,1000000.0,75000.0,cost200,2.0,3,2,1,0,0,0,0,0,3,2,0,0,2,0.4193518796732833,3.147549614848635,761.8226200007653,1,1,1,1,1,1,1,1,1,11427.33930001148,1.142733930001148,287.9689503602893,150000.0,0.15,0.0,-171.72842211136475,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_TAKER_EXIT_CAP1000000_NOT75000_CONC1_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_TAKER_EXIT,1,1000000.0,75000.0,cost200,2.0,3,2,1,0,0,0,0,0,3,2,0,0,2,0.4193518796732833,3.317823808397022,761.6523458072169,1,1,1,1,1,1,1,1,1,11424.785187108251,1.1424785187108253,287.90458671512795,150000.0,0.15,0.0,-174.28253501459056,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6_P300_FILL_PESSIMISTIC_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6,P300_FILL_PESSIMISTIC_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,4,1000000.0,75000.0,cost200,2.0,3,2,1,0,0,0,0,0,3,2,0,0,2,0.2011418743213539,4.68398655303109,760.2861830625828,1,1,1,1,1,1,1,1,1,11404.292745938745,1.1404292745938744,287.3881771976564,150000.0,0.15,0.0,-185.0546023735396,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6_P300_FILL_PESSIMISTIC_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC1_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6,P300_FILL_PESSIMISTIC_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,1,1000000.0,75000.0,cost200,2.0,3,3,0,0,0,0,0,0,3,3,0,0,3,0.2011418743213539,4.603857520773025,498.7930644451919,1,1,1,1,1,1,1,1,1,11222.843950016815,1.1222843950016816,282.81566754042376,225000.0,0.225,0.0,-366.5033982954664,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-09_Q99_DL3_H6_P300_FILL_BASE_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-09_Q99_DL3_H6,P300_FILL_BASE_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,4,1000000.0,75000.0,cost200,2.0,6,3,3,0,0,0,0,0,6,3,0,0,3,0.3127089130495729,3.6983488548138497,531.556735033722,1,1,1,1,2,2,2,1,2,11960.026538258746,1.1960026538258746,150.6963343820602,225000.0,0.225,0.0375,-175.89429660160556,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_BASE_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_BASE_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN,4,1000000.0,75000.0,cost200,2.0,6,2,4,0,0,0,0,0,6,2,0,0,2,0.308004807219884,3.56452115573059,797.2634537149062,1,1,1,1,2,2,2,0,2,11958.951805723596,1.1958951805723594,150.68279275211728,150000.0,0.15,0.0375,0.0,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC2_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,2,1000000.0,75000.0,cost200,2.0,6,3,3,0,0,0,0,0,6,3,0,0,3,0.4110794416101265,3.1825946555624705,524.1195308137509,1,1,1,1,2,2,2,1,2,11792.689443309397,1.1792689443309397,148.5878869856984,225000.0,0.225,0.0375,-174.28253501459056,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_BASE_BACK_OF_QUEUE_P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_BASE_BACK_OF_QUEUE,P300_HYBRID_PASSIVE_ENTRY_CROSS_IF_EDGE_FORCED_FLATTEN,4,1000000.0,75000.0,cost200,2.0,6,4,2,0,0,0,0,0,6,4,0,0,4,0.308004807219884,3.6646824460531695,386.8745183225985,1,1,1,1,2,2,2,2,2,11606.235549677958,1.160623554967796,146.23856792594228,300000.0,0.3,0.0375,-178.899135311283,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN_CAP1000000_NOT75000_CONC4_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_PASSIVE_EXIT_FORCED_FLATTEN,4,1000000.0,75000.0,cost200,2.0,6,1,5,0,0,0,0,0,6,1,0,0,1,0.4110794416101265,3.147549614848635,1546.5423629497125,1,1,1,1,2,1,1,0,1,11599.067722122843,1.1599067722122844,146.14825329874785,75000.0,0.075,0.0,0.0,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
P300_P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6_P300_FILL_OPTIMISTIC_BACK_OF_QUEUE_P300_PASSIVE_ENTRY_TAKER_EXIT_CAP1000000_NOT75000_CONC2_COST200,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q95_DL3_H6,P300_FILL_OPTIMISTIC_BACK_OF_QUEUE,P300_PASSIVE_ENTRY_TAKER_EXIT,2,1000000.0,75000.0,cost200,2.0,6,2,4,0,0,0,0,0,6,2,0,0,2,0.4110794416101265,3.0922641091315644,761.8779055064823,1,1,1,1,2,2,1,1,1,11428.168582597234,1.1428168582597236,143.99492414072515,150000.0,0.15,0.0,-170.8991395256087,0,1,0,0,0,0,0,0,1,0,below_30_event_floor;breadth_not_met,1
