horizon_events,template_id,side,cell_key,columns,train_trades,train_net_pnl_inr,train_precision_cost_clear,train_mean_net_return,train_rank_within_template,test_trades,test_net_pnl_inr,test_gross_pnl_proxy_inr,test_cost_pnl_drag_proxy_inr,test_precision_cost_clear,test_mean_net_return,test_symbols,test_positive_symbol_fraction,test_positive_after_costs,phase57_scale_candidate
100,all_core_interaction,-1,abs_ret_bin=5|micro_bin=1|imb_bin=2|spread_bin=0|depth_bin=2,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,138,4093.6137619400224,0.5,0.0002966386784014509,6,138,4093.6137619400224,19229.922992300297,15136.309230360275,0.5,0.0002966386784014509,1,1.0,True,True
100,absret_imb_spread,1,abs_ret_bin=6|imb_bin=5|spread_bin=4,abs_ret_bin;imb_bin;spread_bin,1712,234190.3669967305,0.17523364485981308,0.0013679343866631454,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,all_core_interaction,1,abs_ret_bin=6|micro_bin=5|imb_bin=5|spread_bin=4|depth_bin=4,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,1712,234190.3669967305,0.17523364485981308,0.0013679343866631454,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,absret_spread_depth,1,abs_ret_bin=6|spread_bin=4|depth_bin=4,abs_ret_bin;spread_bin;depth_bin,2168,175413.94944090804,0.13837638376383765,0.0008091049328455168,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,absret_imb_spread,-1,abs_ret_bin=6|imb_bin=6|spread_bin=3,abs_ret_bin;imb_bin;spread_bin,828,39193.49792565317,0.12077294685990338,0.00047335142422286436,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,all_core_interaction,-1,abs_ret_bin=6|micro_bin=6|imb_bin=6|spread_bin=3|depth_bin=5,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,828,39193.49792565317,0.12077294685990338,0.00047335142422286436,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,absret_imb_spread,1,abs_ret_bin=7|imb_bin=7|spread_bin=5,abs_ret_bin;imb_bin;spread_bin,1271,29330.69914615462,0.23603461841070023,0.00023076867935605523,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,absret_spread_depth,1,abs_ret_bin=7|spread_bin=5|depth_bin=3,abs_ret_bin;spread_bin;depth_bin,638,18217.643558261178,0.15673981191222572,0.0002855430024805827,2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,all_core_interaction,1,abs_ret_bin=7|micro_bin=7|imb_bin=7|spread_bin=5|depth_bin=3,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,638,18217.643558261178,0.15673981191222572,0.0002855430024805827,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
50,absret_imb_spread,1,abs_ret_bin=6|imb_bin=5|spread_bin=4,abs_ret_bin;imb_bin;spread_bin,1712,13694.92153813655,0.08761682242990654,7.999370057322751e-05,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
50,all_core_interaction,1,abs_ret_bin=6|micro_bin=5|imb_bin=5|spread_bin=4|depth_bin=4,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,1712,13694.92153813655,0.08761682242990654,7.999370057322751e-05,1,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,absret_spread_depth,1,abs_ret_bin=7|spread_bin=5|depth_bin=2,abs_ret_bin;spread_bin;depth_bin,633,11113.055587893445,0.315955766192733,0.00017556169965076532,3,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,all_core_interaction,1,abs_ret_bin=7|micro_bin=7|imb_bin=7|spread_bin=5|depth_bin=2,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,633,11113.055587893445,0.315955766192733,0.00017556169965076532,5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,False,False
100,all_core_interaction,1,abs_ret_bin=5|micro_bin=1|imb_bin=1|spread_bin=0|depth_bin=3,abs_ret_bin;micro_bin;imb_bin;spread_bin;depth_bin,964,15670.754632425937,0.262448132780083,0.00016255969535711553,4,482,-27739.519672083625,25235.662899298717,52975.18257138234,0.1908713692946058,-0.0005755087068897017,1,0.0,False,False
