gate_id,passed,observed_value,required_value,severity
P328_PHASE327_COMPLETE,True,1,1,hard
P328_JOINED_PARQUET_EXISTS,True,1,1,hard
P328_FULL_DEPTH_SCHEMA_PRESENT,True,1,1,hard
P328_JOINED_ROWS_MATCH_PHASE327,True,141708530,141708530,hard
P328_EVENT_COVERAGE_COMPLETE,True,events=50;min_symbols=32,>=50_events_x_32_symbols,hard
P328_SYMBOL_COVERAGE_COMPLETE,True,symbols=32;min_events=50,>=32_symbols_x_50_events,hard
P328_RELATIVE_WINDOW_BOUNDED,True,-900.0..1800.0,-900..1800,hard
P328_NO_CROSSED_OR_LOCKED_L1,True,0.0,0,hard
P328_DEPTH_SORT_OK,True,bid=0.0;ask=0.0,0,hard
P328_DEPTH_BEYOND_L1_MATERIAL,True,141708530,141708530,hard
P328_NO_STRATEGY_SEARCH_OPENED,True,strategy_search_allowed_now=0,0,hard
P328_BOUNDARIES_CLOSED,True,replay=0;promotion=0;paper=0;claim=0,all_zero,hard
