symbol,joined_rows,events,min_relative_second,max_relative_second
ADANIPORTS,4402396,50,-900,1800
AXISBANK,4417911,50,-900,1800
BAJAJ-AUTO,4418527,50,-900,1800
BANKBEES,4409864,50,-900,1800
BHARTIARTL,4435178,50,-900,1800
BPCL,4462547,50,-900,1800
BRITANNIA,4413622,50,-900,1800
CIPLA,4438813,50,-900,1800
DRREDDY,4404587,50,-900,1800
GOLDBEES,4441011,50,-900,1800
HCLTECH,4440820,50,-900,1800
HDFCBANK,4558855,50,-900,1800
HINDUNILVR,4445205,50,-900,1800
ICICIBANK,4381061,50,-900,1800
INFY,4433459,50,-900,1800
ITBEES,4396293,50,-900,1800
ITC,4403189,50,-900,1800
JUNIORBEES,4459285,50,-900,1800
KOTAKBANK,4410249,50,-900,1800
LT,4447765,50,-900,1800
M&M,4443087,50,-900,1800
MARUTI,4420355,50,-900,1800
NESTLEIND,4406913,50,-900,1800
NIFTYBEES,4437891,50,-900,1800
ONGC,4440726,50,-900,1800
RELIANCE,4417384,50,-900,1800
SBIN,4386501,50,-900,1800
SUNPHARMA,4407196,50,-900,1800
TCS,4468746,50,-900,1800
TECHM,4415088,50,-900,1800
ULTRACEMCO,4429222,50,-900,1800
WIPRO,4414784,50,-900,1800
