trade_month,symbol,source_rows,dense_rows,multiplier,file_path,bytes
2026-01,ADANIPORTS,8221,526144,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=ADANIPORTS\part-00000.parquet,11082962
2026-01,AXISBANK,8225,526400,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,11271542
2026-01,BAJAJ-AUTO,8221,526144,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=BAJAJ-AUTO\part-00000.parquet,11090967
2026-01,BANKBEES,8216,525824,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,11127130
2026-01,BHARTIARTL,8229,526656,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=BHARTIARTL\part-00000.parquet,11245097
2026-01,BPCL,8228,526592,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=BPCL\part-00000.parquet,11019958
2026-01,BRITANNIA,8228,526592,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=BRITANNIA\part-00000.parquet,11180047
2026-01,CIPLA,8216,525824,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=CIPLA\part-00000.parquet,11086460
2026-01,DRREDDY,8218,525952,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=DRREDDY\part-00000.parquet,11165881
2026-01,GOLDBEES,8222,526208,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=GOLDBEES\part-00000.parquet,11280286
2026-01,HCLTECH,8218,525952,64,raw_synthetic_l2_phase156_symbol_tail_cadence_smoke\profile=P156_FULL_PARTITION_SYMBOL_TAIL_CADENCE\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet,11181813
