symbol,instrument_class,shard_symbol_rows,symbols,trade_dates,trades,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,positive_rows,mean_precision_cost_clear,positive_row_fraction,mean_net_pnl_per_trade_inr,cost_drag_to_abs_gross_ratio
KOTAKBANK,EQUITY,2,1,2,30,69.16428056537507,3871.027799476834,3801.8635189114584,1,0.3803827751196172,0.5,2.3054760188458356,0.9821328380605474
NIFTYBEES,ETF,2,1,2,19,-358.4394732045241,1717.4614302471246,2075.900903451649,1,0.35256410256410253,0.5,-18.86523543181706,1.2087030700613455
RELIANCE,EQUITY,2,1,2,33,-443.6312841622739,3202.206578025901,3645.8378621881748,1,0.30357142857142855,0.5,-13.443372247341633,1.138539245783376
NESTLEIND,EQUITY,2,1,2,25,-776.1163463005752,2449.7206959179007,3225.8370422184753,1,0.41666666666666663,0.5,-31.044653852023007,1.3168182999775682
BRITANNIA,EQUITY,1,1,1,9,-1377.0122981542586,-85.51210742154814,1291.50019073271,0,0.2222222222222222,0.0,-153.0013664615843,15.103126676156105
HDFCBANK,EQUITY,1,1,1,16,-1404.069523644059,289.7486781640479,1693.8182018081072,0,0.375,0.0,-87.75434522775369,5.845818564352909
ITBEES,ETF,1,1,1,8,-1567.9166015609355,-493.7487994062461,1074.1678021546895,0,0.25,0.0,-195.98957519511694,2.1755350158753233
HINDUNILVR,EQUITY,1,1,1,11,-1590.9038421447958,-316.4136320895184,1274.4902100552774,0,0.3636363636363636,0.0,-144.62762201316326,4.027924465955702
DRREDDY,EQUITY,1,1,1,7,-1741.9866888309532,-873.4404903343317,868.5461984966212,0,0.0,0.0,-248.85524126156474,0.9943965365793415
CIPLA,EQUITY,1,1,1,12,-2073.9386593610834,-520.3300056190849,1553.6086537419983,0,0.3333333333333333,0.0,-172.8282216134236,2.985814073692571
ICICIBANK,EQUITY,1,1,1,15,-2382.0889120354977,-746.864410716963,1635.2245013185347,0,0.4,0.0,-158.80592746903318,2.1894529687775295
BANKBEES,ETF,1,1,1,8,-2385.09902440678,-1264.096934787928,1121.002089618852,0,0.0,0.0,-298.1373780508475,0.8868007340013982
MARUTI,EQUITY,2,1,2,20,-2399.9852872854262,216.4952069465876,2616.4804942320143,1,0.22727272727272724,0.5,-119.99926436427131,12.085627811970621
BAJAJ-AUTO,EQUITY,1,1,1,19,-2403.7390372893187,89.18355063554091,2492.92258792486,0,0.3684210526315789,0.0,-126.51258090996414,27.952717403150746
BPCL,EQUITY,1,1,1,15,-2525.445451614805,-845.1802486581505,1680.2652029566543,0,0.2666666666666666,0.0,-168.36303010765366,1.9880554539985116
INFY,EQUITY,1,1,1,18,-2545.9983885299757,-479.8092662294919,2066.1891223004827,0,0.3888888888888889,0.0,-141.44435491833198,4.306271820336684
BHARTIARTL,EQUITY,1,1,1,9,-2621.790007093411,-1621.7205104811835,1000.0694966122276,0,0.0,0.0,-291.3100007881568,0.6166719173549179
AXISBANK,EQUITY,1,1,1,14,-2934.127609538775,-1390.9726761108686,1543.154933427906,0,0.2142857142857142,0.0,-209.5805435384839,1.109407078895709
ITC,EQUITY,2,1,2,22,-2989.4308933373054,-478.4804348455516,2510.9504584917527,0,0.3125,0.0,-135.88322242442297,5.247759940910146
GOLDBEES,ETF,1,1,1,13,-3029.088097956636,-1723.5422412956725,1305.5458566609634,0,0.2307692307692307,0.0,-233.00677676589507,0.7574783056547078
SBIN,EQUITY,2,1,2,33,-3111.742428565686,724.979198364573,3836.7216269302585,1,0.27255639097744355,0.5,-94.2952251080511,5.292181673053841
JUNIORBEES,ETF,2,1,2,18,-3498.5653272566524,-955.2827347851344,2543.282592471518,0,0.2875,0.0,-194.36474040314735,2.6623349296096745
ONGC,EQUITY,2,1,2,33,-3746.391725700665,134.8646823077114,3881.2564080083757,0,0.26538461538461533,0.0,-113.52702199092924,28.778894085501065
M&M,EQUITY,2,1,2,30,-3783.486097163099,-589.1630234697744,3194.3230736933237,0,0.36160714285714285,0.0,-126.11620323876997,5.421798290871865
TCS,EQUITY,2,1,2,29,-3969.297951124733,-637.9612300012936,3331.336721123439,0,0.2738095238095237,0.0,-136.87234314223218,5.22184823224553
HCLTECH,EQUITY,1,1,1,16,-4095.6166006893695,-2107.439715020798,1988.1768856685724,0,0.125,0.0,-255.9760375430856,0.9434086638387905
ADANIPORTS,EQUITY,1,1,1,12,-4110.383517695789,-2661.945004381949,1448.43851331384,0,0.1666666666666666,0.0,-342.53195980798245,0.5441278880403237
SUNPHARMA,EQUITY,2,1,2,25,-4116.417539802943,-1154.2137377484657,2962.203802054477,0,0.2361111111111111,0.0,-164.6567015921177,2.566425701909312
WIPRO,EQUITY,2,1,2,32,-4337.683786451422,-468.8934396358977,3868.7903468155228,1,0.29803921568627445,0.5,-135.55261832660693,8.250894595197774
ULTRACEMCO,EQUITY,2,1,2,35,-4872.877547318657,-459.6183911286578,4413.259156189998,0,0.34477124183006536,0.0,-139.22507278053305,9.602007320361176
TECHM,EQUITY,2,1,2,32,-5017.939399525487,-639.6402521178458,4378.299147407641,0,0.2545454545454546,0.0,-156.81060623517146,6.844940000118994
LT,EQUITY,2,1,2,27,-6605.986353324583,-3727.5591316276,2878.427221696983,0,0.2967032967032967,0.0,-244.66616123424384,0.7722016257969186
