strategy_id,strategy_name,redesign_priority,contract_requirement_id,evidence_domain,required_artifact_or_test,current_evidence_status,acceptance_requirement_met,replay_expansion_allowed,blocking_reason,source_phase30_decision
S01,Momentum/breakout filtered by MLOFI,low,S01_01_new_event_signal_thesis,signal_design,A new event-level momentum/breakout thesis that forecasts beyond spread and Zerodha charge hurdle.,missing_or_proxy_only,False,False,No current S01 proxy survived Phase 25/26/27 realistic execution.,reject_current_signal_form_redesign_required
S01,Momentum/breakout filtered by MLOFI,low,S01_02_sub_second_mlofi_horizon,feature_engineering,"Acceptance-grade sub-second and 1s/5s MLOFI lookbacks from received tick deltas, not 5-minute proxy features.",missing_or_proxy_only,False,False,Current proxy feature horizon is too coarse for breakout execution.,reject_current_signal_form_redesign_required
S01,Momentum/breakout filtered by MLOFI,low,S01_03_charged_retail_replay_pass,execution_economics,"Retail and stressed profiles must be positive after spread, latency, slippage and Zerodha formula charges.",missing_or_proxy_only,False,False,Phase 25/26/27 realistic charged evidence has zero candidate rows.,reject_current_signal_form_redesign_required
S01,Momentum/breakout filtered by MLOFI,low,S01_04_multi_day_real_holdout,real_data,At least multi-day Class B real tick holdout with no reuse of the design day.,missing_or_proxy_only,False,False,One-day proxy evidence cannot prove stability.,reject_current_signal_form_redesign_required
S01,Momentum/breakout filtered by MLOFI,low,S01_05_negative_control_falsification,robustness,Breakout signal must beat shuffled-time and inverted-signal controls after costs.,missing_or_proxy_only,False,False,Needed to rule out artifact exploitation.,reject_current_signal_form_redesign_required
S02,Pure multi-level OFI directional model,low,S02_01_new_ofi_signal_thesis,signal_design,A redesigned OFI direction model with a quantified fee/spread hurdle before replay.,missing_or_proxy_only,False,False,Current OFI proxy is negative after execution costs.,reject_current_signal_form_redesign_required
S02,Pure multi-level OFI directional model,low,S02_02_multi_level_ofi_event_features,feature_engineering,Acceptance-grade multi-level OFI features at event and short-horizon clocks.,missing_or_proxy_only,False,False,Static imbalance and coarse MLOFI are insufficient.,reject_current_signal_form_redesign_required
S02,Pure multi-level OFI directional model,low,S02_03_charged_retail_replay_pass,execution_economics,"Retail and stressed profiles must be positive after spread, latency, slippage and Zerodha formula charges.",missing_or_proxy_only,False,False,Phase 25/26/27 realistic charged evidence has zero candidate rows.,reject_current_signal_form_redesign_required
S02,Pure multi-level OFI directional model,low,S02_04_multi_day_real_holdout,real_data,Multi-day real tick holdout across at least liquid bank and non-bank symbols.,missing_or_proxy_only,False,False,Single-day evidence cannot prove OFI stability.,reject_current_signal_form_redesign_required
S02,Pure multi-level OFI directional model,low,S02_05_negative_control_falsification,robustness,"OFI direction must beat lagged, shuffled and sign-inverted controls after costs.",missing_or_proxy_only,False,False,Needed to rule out microstructure artifact fit.,reject_current_signal_form_redesign_required
S03,Liquidity-vacuum breakout,medium,S03_01_acceptance_grade_withdrawal_label,label_engineering,Explicit depth-withdrawal and replenishment labels from multi-day received ticks.,missing_or_proxy_only,False,False,Phase 28 labels are weak market-by-price proxies.,reject_current_proxy_label_execution_form
S03,Liquidity-vacuum breakout,medium,S03_02_sweep_and_vacuum_event_label,label_engineering,Liquidity-vacuum/sweep labels with common-shock and crossed-book filters.,missing_or_proxy_only,False,False,Current labels cannot prove true vacuum events.,reject_current_proxy_label_execution_form
S03,Liquidity-vacuum breakout,medium,S03_03_timestamp_skew_control,data_quality,Timestamp skew and simultaneous market-shock controls before causal replay.,missing_or_proxy_only,False,False,Needed before treating S03 event labels as causal.,reject_current_proxy_label_execution_form
S03,Liquidity-vacuum breakout,medium,S03_04_broker_fill_cost_reconciliation,broker_evidence,Broker/exchange fill and cost reconciliation for marketable entries.,missing_or_proxy_only,False,False,"Current costs are formula/model evidence, not broker fills.",reject_current_proxy_label_execution_form
S03,Liquidity-vacuum breakout,medium,S03_05_charged_retail_replay_pass,execution_economics,Phase 29-style replay must become positive in retail and stressed profiles.,missing_or_proxy_only,False,False,Current S03 proxy replay is negative after costs.,reject_current_proxy_label_execution_form
S04,Trade-flow plus depth confirmation,medium,S04_01_aggressive_trade_flow_label,label_engineering,Acceptance-grade signed aggressive trade imbalance labels.,missing_or_proxy_only,False,False,Current trade-side is weakly inferred from market-by-price updates.,reject_current_proxy_label_execution_form
S04,Trade-flow plus depth confirmation,medium,S04_02_depth_confirmation_label,label_engineering,Depth-confirmation/exhaustion labels that distinguish true flow from quote churn.,missing_or_proxy_only,False,False,Current labels cannot verify exhaustion.,reject_current_proxy_label_execution_form
S04,Trade-flow plus depth confirmation,medium,S04_03_common_shock_control,robustness,Common-shock and market-wide move controls before promotion replay.,missing_or_proxy_only,False,False,Needed to avoid labeling broad moves as strategy edge.,reject_current_proxy_label_execution_form
S04,Trade-flow plus depth confirmation,medium,S04_04_broker_fill_cost_reconciliation,broker_evidence,Broker/exchange fill and cost reconciliation for marketable entries.,missing_or_proxy_only,False,False,"Current costs are formula/model evidence, not broker fills.",reject_current_proxy_label_execution_form
S04,Trade-flow plus depth confirmation,medium,S04_05_charged_retail_replay_pass,execution_economics,Phase 29-style replay must become positive in retail and stressed profiles.,missing_or_proxy_only,False,False,Current S04 proxy replay is negative after costs.,reject_current_proxy_label_execution_form
S05,Microprice entry/exit filter,medium,S05_01_new_microprice_trigger,signal_design,A microprice trigger that explicitly requires forecast edge greater than spread plus Zerodha charge hurdle.,missing_or_proxy_only,False,False,Standalone microprice proxy did not survive realistic execution.,reject_current_signal_form_redesign_required
S05,Microprice entry/exit filter,medium,S05_02_event_level_microprice_markouts,feature_engineering,Event-level markout curves for 1/2/3/5 event horizons and short clock horizons.,missing_or_proxy_only,False,False,Current edge scan did not clear cost hurdle.,reject_current_signal_form_redesign_required
S05,Microprice entry/exit filter,medium,S05_03_zero_latency_edge_to_retail_bridge,execution_economics,Demonstrate that the tiny Phase 26 zero-latency controls survive realistic latency/slippage.,missing_or_proxy_only,False,False,Zero-latency evidence alone is not tradable.,reject_current_signal_form_redesign_required
S05,Microprice entry/exit filter,medium,S05_04_multi_day_real_holdout,real_data,Multi-day real tick validation across symbols with different spread regimes.,missing_or_proxy_only,False,False,Needed before retesting as a filter or entry signal.,reject_current_signal_form_redesign_required
S06,Absorption and exhaustion reversal,medium,S06_01_acceptance_grade_absorption_label,label_engineering,Absorption/replenishment labels with signed flow and visible-depth recovery.,missing_or_proxy_only,False,False,Phase 28 absorption labels are proxy-only.,reject_current_proxy_label_execution_form
S06,Absorption and exhaustion reversal,medium,S06_02_flow_reversal_label,label_engineering,Flow-reversal labels separating replenishment from stale-book updates.,missing_or_proxy_only,False,False,Current labels cannot prove participant absorption.,reject_current_proxy_label_execution_form
