candidate_id,feature_name,assumptions_passed,all_fill_assumptions_pass,best_test_expected_net_pnl_inr,worst_test_expected_net_pnl_inr,max_test_adverse_selection_rate
P89_L5_IMBALANCE_Q0_9_I0_75,l5_imbalance,,False,-187945.7105576788,-265254.42212627473,0.5152198421645998
P89_L1_IMBALANCE_Q0_9_I0_75,l1_imbalance,,False,-189427.59194545238,-269027.12678562326,0.5168161434977578
P89_L5_IMBALANCE_Q0_9_I0_5,l5_imbalance,,False,-298010.8547293588,-394714.59139950515,0.5073659398939304
P89_L1_IMBALANCE_Q0_9_I0_5,l1_imbalance,,False,-298513.4765619306,-395910.0308587656,0.5082401412595644
P89_MICROPRICE_DEV_Q0_9_I0_75,microprice_dev,,False,-333271.23806277337,-603563.8936389672,0.5403839188699746
P89_MICROPRICE_DEV_Q0_9_I0_5,microprice_dev,,False,-418658.548399127,-692228.178980516,0.5218896858768242
P89_L1_IMBALANCE_Q0_75_I0_75,l1_imbalance,,False,-502156.55734686775,-696598.5879715604,0.5022575790152656
P89_L5_IMBALANCE_Q0_75_I0_75,l5_imbalance,,False,-502932.6370176588,-699104.2026155731,0.5040913006029285
P89_L5_IMBALANCE_Q0_75_I0_5,l5_imbalance,,False,-811727.0525372055,-1065280.6133390297,0.49842022116903634
P89_L1_IMBALANCE_Q0_75_I0_5,l1_imbalance,,False,-811449.5647819134,-1065281.4697219343,0.49667080464958807
P89_MICROPRICE_DEV_Q0_75_I0_75,microprice_dev,,False,-686568.5532642963,-1080077.6000475844,0.5055141096334739
P89_MICROPRICE_DEV_Q0_75_I0_5,microprice_dev,,False,-932470.1369968638,-1298232.575564144,0.49346305868045
P89_L1_IMBALANCE_Q0_5_I0_75,l1_imbalance,,False,-1013998.1810554122,-1456936.7557210084,0.507048507048507
P89_L5_IMBALANCE_Q0_5_I0_75,l5_imbalance,,False,-1016429.7757928154,-1458427.641783487,0.5060908084163898
P89_MICROPRICE_DEV_Q0_5_I0_75,microprice_dev,,False,-1219205.0168608548,-1709852.1817465336,0.5061626195732156
P89_L5_IMBALANCE_Q0_5_I0_5,l5_imbalance,,False,-1667750.35144394,-2213543.475127398,0.49951420243470307
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,,False,-1668514.976742695,-2214533.423936052,0.500714653250243
P89_MICROPRICE_DEV_Q0_5_I0_5,microprice_dev,,False,-1847425.253772869,-2466278.788367861,0.5
