candidate_id,feature_name,fill_assumption,split,trade_month,observations,expected_fills,symbols,expected_net_pnl_inr,expected_gross_pnl_inr,expected_cost_pnl_inr,adverse_selection_rate
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,test,2026-07,3099,478.25399999999996,18,-275912.40788941854,-236369.79326461855,39542.6146248,0.5008067118425299
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,test,2026-08,4139,630.369,17,-403173.27344805805,-351053.60808525805,52119.6653628,0.5114762019811548
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,test,2026-09,2699,361.2015,17,-250749.42391007917,-220884.85044827918,29864.5734618,0.5109299740644683
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,test,2026-10,2113,340.272,16,-205394.3242428219,-177260.22695642192,28134.0972864,0.486038807382868
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,test,2026-11,4013,589.146,19,-379586.88886732265,-330875.5906121227,48711.2982552,0.4851731871417892
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,test,2026-12,1428,179.6025,19,-153698.65838499466,-138848.90816199468,14849.750223000001,0.5154061624649859
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,train,2026-01,2116,309.33,18,-239647.0621541346,-214071.28655813457,25575.775596,0.5415879017013232
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,train,2026-02,3053,425.616,19,-303564.96448108583,-268374.52286188584,35190.4416192,0.47396003930560104
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,train,2026-03,2999,436.0725,19,-297484.9398611567,-261429.9422741567,36054.997587,0.503834611537179
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,train,2026-04,2370,325.3155,17,-203841.81004306936,-176944.33412446937,26897.4759186,0.48565400843881856
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,train,2026-05,3447,497.4105,17,-247444.8576666346,-206318.36063403462,41126.4970326,0.48825065274151436
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,pessimistic_queue,train,2026-06,3664,533.559,17,-400190.32223086327,-356075.02384006325,44115.2983908,0.5212882096069869
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,base_queue,test,2026-07,3099,840.4875000000001,18,-360179.0606717638,-290686.5455867638,69492.515085,0.5008067118425299
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,base_queue,test,2026-08,4139,1117.2375,17,-531149.354781566,-438774.817596566,92374.53718500001,0.5114762019811548
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,base_queue,test,2026-09,2699,680.5625,17,-351095.34148055786,-294825.6173055578,56269.724175,0.5109299740644683
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,base_queue,test,2026-10,2113,584.8,16,-245781.06348024064,-197429.09772024065,48351.96576000001,0.486038807382868
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,base_queue,test,2026-11,4013,1054.5,19,-497627.90352532995,-410440.57812533,87187.3254,0.4851731871417892
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,base_queue,test,2026-12,1428,349.33750000000003,19,-228700.69999659367,-199817.05629159368,28883.643705000002,0.5154061624649859
P89_L1_IMBALANCE_Q0_5_I0_5,l1_imbalance,base_queue,train,2026-01,2116,562.65,18,-342640.59973900043,-296120.02255900047,46520.57718000001,0.5415879017013232
