candidate_id,feature_name,feature_column,direction_rule,feature_abs_quantile,feature_abs_threshold,event_intensity_quantile,event_intensity_threshold,base_fill_prob,adverse_multiplier,favorable_multiplier,shock_multiplier,max_fill_prob,fill_assumption,train_observations,train_expected_fills,train_symbols,train_months,train_expected_net_pnl_inr,train_adverse_selection_rate,train_positive_months,train_max_month_contribution_abs,test_observations,test_expected_fills,test_symbols,test_months,test_expected_net_pnl_inr,test_adverse_selection_rate,test_positive_months,test_max_month_contribution_abs,train_pass,test_pass,assumption_pass
P89_L5_IMBALANCE_Q0_9_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.9,0.5738467624146132,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,1685,210.63750000000002,5,6,-176116.17575426697,0.4902077151335312,0,0.24414440467875667,1774,240.207,5,6,-187945.7105576788,0.5152198421645998,0,0.2412453444058374,False,False,False
P89_L1_IMBALANCE_Q0_9_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.9,0.5739214516995192,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,1691,211.281,5,6,-177898.70856263873,0.49024246008279126,0,0.24169809455747188,1784,242.23650000000004,5,6,-189427.59194545238,0.5168161434977578,0,0.24196059788600666,False,False,False
P89_L5_IMBALANCE_Q0_9_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.9,0.5738467624146132,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,1685,407.36250000000007,5,6,-243099.2624103116,0.4902077151335312,0,0.24641474935186655,1774,450.05000000000007,5,6,-261152.0412219959,0.5152198421645998,0,0.23974772795965263,False,False,False
P89_L1_IMBALANCE_Q0_9_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.9,0.5739214516995192,0.75,145.1,0.25,1.75,0.5,0.8,0.6,base_queue,1691,408.71250000000003,5,6,-246718.34798610135,0.49024246008279126,0,0.24280011723260714,1784,453.42500000000007,5,6,-263621.146517823,0.5168161434977578,0,0.24061235965773528,False,False,False
P89_L5_IMBALANCE_Q0_9_I0_75,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.9,0.5738467624146132,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,1685,755.2125,5,6,-230149.27050196473,0.4902077151335312,0,0.24902221121302334,1774,805.0500000000001,5,6,-265254.42212627473,0.5152198421645998,0,0.24024883833401253,False,False,False
P89_L1_IMBALANCE_Q0_9_I0_75,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.9,0.5739214516995192,0.75,145.1,0.45,1.25,0.75,1.0,0.85,optimistic_queue,1691,757.9125000000001,5,6,-237107.0619835594,0.49024246008279126,0,0.24171477546897122,1784,810.2250000000001,5,6,-269027.12678562326,0.5168161434977578,0,0.24131419874127882,False,False,False
P89_L5_IMBALANCE_Q0_9_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.9,0.5738467624146132,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,3502,494.4495,5,6,-305577.06350824924,0.49628783552255856,0,0.24250748804321698,3394,502.3815,5,6,-298010.8547293588,0.5073659398939304,0,0.24350649954062997,False,False,False
P89_L1_IMBALANCE_Q0_9_I0_5,l1_imbalance,avg_l1_imbalance,side = sign(avg_l1_imbalance),0.9,0.5739214516995192,0.5,126.3,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,3503,494.673,5,6,-307246.0616528518,0.49671709962888955,0,0.24119015773987962,3398,503.421,5,6,-298513.4765619306,0.5082401412595644,0,0.2448590503420999,False,False,False
P89_MICROPRICE_DEV_Q0_9_I0_75,microprice_dev,avg_microprice_dev,side = sign(avg_microprice_dev),0.9,0.00010051431577481006,0.75,145.1,0.12,2.5,0.25,0.65,0.35,pessimistic_queue,2816,328.8,8,6,-356162.38240169466,0.5074573863636364,0,0.25215722483282066,2761,349.40250000000003,8,6,-333271.23806277337,0.5403839188699746,0,0.2302356355757441,False,False,False
P89_L5_IMBALANCE_Q0_9_I0_5,l5_imbalance,avg_l5_imbalance,side = sign(avg_l5_imbalance),0.9,0.5738467624146132,0.5,126.3,0.45,1.25,0.75,1.0,0.85,optimistic_queue,3502,1574.2125,5,6,-392510.67538669787,0.49628783552255856,0,0.26395812407199526,3394,1534.0500000000002,5,6,-377008.9070782916,0.5073659398939304,0,0.2508043939328764,False,False,False
