file,rows,column_count,required_schema_pass,missing_required_columns,observed_trade_dates,observed_symbols,read_status,read_error,location,trade_date,exchange,symbol
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ADANIPORTS\part-034501_427736-000006.parquet,1,54,True,,2026-07-10,ADANIPORTS,ok,,scratch,2026-07-10,NSE,ADANIPORTS
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=ADANIPORTS\part-100459_922852-050494.parquet,1,54,True,,2026-07-10,ADANIPORTS,ok,,scratch,2026-07-10,NSE,ADANIPORTS
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=AXISBANK\part-034501_554219-000007.parquet,1,54,True,,2026-07-10,AXISBANK,ok,,scratch,2026-07-10,NSE,AXISBANK
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=AXISBANK\part-100500_057541-050495.parquet,1,54,True,,2026-07-10,AXISBANK,ok,,scratch,2026-07-10,NSE,AXISBANK
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BAJAJ-AUTO\part-034501_687922-000008.parquet,1,54,True,,2026-07-10,BAJAJ-AUTO,ok,,scratch,2026-07-10,NSE,BAJAJ-AUTO
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BAJAJ-AUTO\part-100500_189033-050496.parquet,1,54,True,,2026-07-10,BAJAJ-AUTO,ok,,scratch,2026-07-10,NSE,BAJAJ-AUTO
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BANKBEES\part-034515_256625-000036.parquet,2,54,True,,2026-07-10,BANKBEES,ok,,scratch,2026-07-10,NSE,BANKBEES
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BANKBEES\part-100500_312515-050497.parquet,1,54,True,,2026-07-10,BANKBEES,ok,,scratch,2026-07-10,NSE,BANKBEES
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BHARTIARTL\part-034501_813567-000009.parquet,1,54,True,,2026-07-10,BHARTIARTL,ok,,scratch,2026-07-10,NSE,BHARTIARTL
scratch_azcopy_selected\raw_l2\trade_date=2026-07-10\exchange=NSE\symbol=BHARTIARTL\part-100500_440202-050498.parquet,1,54,True,,2026-07-10,BHARTIARTL,ok,,scratch,2026-07-10,NSE,BHARTIARTL
