gate_id,passed,observed_value,required_value,severity
P476_PHASE475_COMPLETE,True,1,1,hard
P476_PHASE475_REJECTION_CONFIRMED,True,0,0,hard
P476_PHASE358_REAL_CLUE_COMPLETE,True,1,1,hard
P476_PHASE358_POSITIVE_BUT_SPARSE_CONFIRMED,True,net=1821.8913646568187;acceptance=0,net>0;acceptance=0,hard
P476_PHASE475_NEAR_MISS_NEGATIVE_CONFIRMED,True,net=-232.2428884019506;ann=-2.660236721695071,net<0;ann>-5,hard
P476_SAME_PHASE475_GRID_RESCUE_BLOCKED,True,0,0,hard
P476_CLOSED_PHASE338_SURVIVOR_NOT_REOPENED,True,0,0,hard
P476_COMBINED_FOLLOWUP_ALLOWED,True,1,1,hard
P476_FULL_DEPTH_REQUIRED,True,l1_l5_with_l2_l5_materiality,l1_l5_with_l2_l5_materiality,hard
P476_COST200_AND_FIXED_CAPITAL_REQUIRED,True,cost=zerodha_order_formula_plus_cost200;capital=fixed_initial_capital,cost200;fixed,hard
P476_PHASE477_CONTRACT_PRESENT,True,P477_COMBINED_SHOCK_MARKET_CONTEXT_L2_FADE_DIAGNOSTIC,P477_*,hard
P476_NO_PAPER_LIVE_OR_CLAIM,True,paper=0;claim=0,all_zero,hard
