scenario_id,trade_date,symbol,input_ticks,candidate_scan_points,selected_trades,l2_l5_required,spread_gate_required,flip_side
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-01-01,AXISBANK,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-01-01,HDFCBANK,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-01-01,INFY,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-01-01,RELIANCE,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-01-01,SBIN,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-02-02,AXISBANK,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-02-02,HDFCBANK,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-02-02,INFY,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-02-02,RELIANCE,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-02-02,SBIN,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-03-02,AXISBANK,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-03-02,HDFCBANK,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-03-02,INFY,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-03-02,RELIANCE,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-03-02,SBIN,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-04-01,AXISBANK,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-04-01,HDFCBANK,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-04-01,INFY,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-04-01,RELIANCE,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-04-01,SBIN,20000,40,0,1,1,0
P411_PRIMARY_REPLENISHMENT_BREAKOUT,2026-05-01,HDFCBANK,20000,40,0,1,1,0
P411_SIDE_FLIP_CONTROL,2026-01-01,AXISBANK,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-01-01,HDFCBANK,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-01-01,INFY,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-01-01,RELIANCE,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-01-01,SBIN,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-02-02,AXISBANK,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-02-02,HDFCBANK,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-02-02,INFY,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-02-02,RELIANCE,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-02-02,SBIN,20000,40,0,1,1,1
P411_SIDE_FLIP_CONTROL,2026-03-02,AXISBANK,20000,40,0,1,1,1
