metric,value,description
phase299_interpretation_complete,1,Phase299 interpretation completed
phase299_selected_next_route,P300_PASSIVE_AWARE_DIRECTIONAL_L2_EXECUTION_PRECOMMIT,Selected next route
phase299_phase298_variant_rows,576,Phase298 variants interpreted
phase299_phase298_scenario_rows,1152,Phase298 scenarios interpreted
phase299_phase298_sparse_above12_scenario_rows,0,Phase298 sparse above-12 rows
phase299_phase298_robust_portfolio_above12_scenario_rows,0,Phase298 robust above-12 rows
phase299_best_phase298_variant_id,P298_RAW_MICROPRICE_DEPTH_REVERSAL_HDFCBANK_2026-01_Q99_DL3_H6,Best interpreted Phase298 variant
phase299_best_strategy_family,P298_RAW_MICROPRICE_DEPTH_REVERSAL,Best interpreted family
phase299_best_cost200_annualized_pct,382.9973530062694,Best fixed-capital annualized diagnostic
phase299_best_scheduled_event_rows,3,Best scheduled events
phase299_above12_below_30_event_variant_rows,9,Above-12 but below 30-event clue rows
phase299_directional_signal_seed_rows,16,Directional signal seeds preserved
phase299_family_rows,4,Families interpreted
phase299_close_phase298_for_direct_acceptance,1,Close Phase298 for direct acceptance
phase299_do_not_add_new_alpha_search_in_phase300,1,"Phase300 is execution realism, not new alpha search"
phase299_require_passive_fill_model,1,Passive fill model required
phase299_require_adverse_selection_penalty,1,Adverse selection penalty required
phase299_require_forced_flatten_cost,1,Forced flatten cost required
phase299_strategy_replay_allowed,0,No replay
phase299_strategy_promotion_allowed,0,No promotion
phase299_paper_or_live_acceptance_allowed,0,No paper/live
phase299_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase299_hard_gate_pass_rows,13,Passed hard gates
phase299_hard_gate_rows,13,Hard gates
phase299_next_best_action,run_phase300_passive_aware_execution_hybrid_precommit_no_paper_live,Recommended next milestone
