required_field,coverage_status,artifact_count,affected_artifacts,recommended_action
calibration_dataset_id,manifest_missing_or_unreadable,1,phase1,Record real-data calibration dataset identifier and date range.
configuration_hash,manifest_missing_or_unreadable,1,phase1,Serialize effective config and store a stable hash per artifact.
cost_model_version,manifest_missing_or_unreadable,1,phase1,Version execution/cost assumptions and cost schedule.
creation_timestamp,manifest_missing_or_unreadable,1,phase1,Store generated_utc or creation_timestamp in every manifest.
generator_version,manifest_missing_or_unreadable,1,phase1,Add generator_version or code hash to every phase manifest.
latency_model_version,manifest_missing_or_unreadable,1,phase1,Version feed latency/drop/duplication assumptions.
random_seed,manifest_missing_or_unreadable,1,phase1,Record seed or seed-plan reference for every stochastic artifact.
regime_calendar_version,manifest_missing_or_unreadable,1,phase1,Record scenario/regime calendar version for generated artifacts.
scenario_ids,manifest_missing_or_unreadable,1,phase1,Record scenario IDs/profiles represented by each generated artifact.
ticker_metadata_version,manifest_missing_or_unreadable,1,phase1,Version ticker universe and metadata source.
calibration_dataset_id,missing,19,dashboard;duckdb;phase10;phase13;phase13_smoke_run;phase14;phase15;phase16;phase17;phase18;phase2;phase3;phase4;phase5;phase6;phase7;phase8;phase9;stage_a1,Record real-data calibration dataset identifier and date range.
configuration_hash,missing,21,dashboard;duckdb;phase10;phase11;phase12;phase13;phase13_smoke_run;phase14;phase15;phase16;phase17;phase18;phase2;phase3;phase4;phase5;phase6;phase7;phase8;phase9;stage_a1,Serialize effective config and store a stable hash per artifact.
cost_model_version,missing,19,dashboard;duckdb;phase10;phase11;phase13;phase13_smoke_run;phase14;phase16;phase17;phase18;phase2;phase3;phase4;phase5;phase6;phase7;phase8;phase9;stage_a1,Version execution/cost assumptions and cost schedule.
creation_timestamp,missing,1,stage_a1,Store generated_utc or creation_timestamp in every manifest.
generator_version,missing,21,dashboard;duckdb;phase10;phase11;phase12;phase13;phase13_smoke_run;phase14;phase15;phase16;phase17;phase18;phase2;phase3;phase4;phase5;phase6;phase7;phase8;phase9;stage_a1,Add generator_version or code hash to every phase manifest.
latency_model_version,missing,20,dashboard;duckdb;phase10;phase11;phase13;phase13_smoke_run;phase14;phase15;phase16;phase17;phase18;phase2;phase3;phase4;phase5;phase6;phase7;phase8;phase9;stage_a1,Version feed latency/drop/duplication assumptions.
random_seed,missing,21,dashboard;duckdb;phase10;phase11;phase12;phase13;phase13_smoke_run;phase14;phase15;phase16;phase17;phase18;phase2;phase3;phase4;phase5;phase6;phase7;phase8;phase9;stage_a1,Record seed or seed-plan reference for every stochastic artifact.
regime_calendar_version,missing,20,dashboard;duckdb;phase10;phase11;phase12;phase13;phase13_smoke_run;phase15;phase16;phase17;phase18;phase2;phase3;phase4;phase5;phase6;phase7;phase8;phase9;stage_a1,Record scenario/regime calendar version for generated artifacts.
scenario_ids,missing,21,dashboard;duckdb;phase10;phase11;phase12;phase13;phase13_smoke_run;phase14;phase15;phase16;phase17;phase18;phase2;phase3;phase4;phase5;phase6;phase7;phase8;phase9;stage_a1,Record scenario IDs/profiles represented by each generated artifact.
ticker_metadata_version,missing,14,dashboard;duckdb;phase10;phase11;phase12;phase13;phase13_smoke_run;phase14;phase15;phase16;phase17;phase18;phase9;stage_a1,Version ticker universe and metadata source.
