shard_index,trade_date,symbol,trades,sum_gross_return,sum_cost_return,sum_net_return,net_pnl_inr,gross_pnl_proxy_inr,cost_pnl_drag_proxy_inr,mean_net_return,precision_cost_clear,worst_trade_pnl_inr,best_trade_pnl_inr,positive_after_costs
17,2026-01-01,ITC,14,0.011515567775384539,0.015962531860670842,-0.004446964085286304,-444.6964085286304,1151.556777538454,1596.253186067084,-0.0003176402918061646,0.5,-469.8354836829025,287.9302605171488,False
18,2026-01-01,JUNIORBEES,8,-0.01098706751873102,0.011286698775123633,-0.02227376629385465,-2227.3766293854646,-1098.7067518731021,1128.6698775123632,-0.002784220786731831,0.375,-2000.439232952482,364.9003095452424,False
19,2026-01-01,KOTAKBANK,19,0.04555357132625093,0.024054743201345815,0.021498828124905108,2149.8828124905112,4555.357132625093,2405.474320134582,0.0011315172697318478,0.5789473684210527,-937.5765974895488,2512.7307464469673,True
20,2026-01-01,LT,14,-0.024902254720645556,0.0149063574960035,-0.039808612216649046,-3980.8612216649067,-2490.225472064555,1490.63574960035,-0.0028434723011892178,0.2857142857142857,-1753.760184485195,511.65990491637984,False
21,2026-01-01,M&M,16,0.008952298838373007,0.017016334505442453,-0.008064035667069447,-806.4035667069451,895.2298838373005,1701.633450544245,-0.0005040022291918405,0.4375,-1695.0290760045884,810.0915727727844,False
22,2026-01-01,MARUTI,11,0.0165721323706719,0.014362200931627708,0.0022099314390441925,220.99314390441927,1657.21323706719,1436.2200931627706,0.00020090285809492658,0.45454545454545453,-428.97812832764674,576.5307702548539,True
23,2026-01-01,NESTLEIND,16,0.029305782425912974,0.020617492221074424,0.008688290204838548,868.8290204838546,2930.5782425912976,2061.749222107442,0.0005430181378024093,0.5,-1877.054236470438,2018.5331750869,True
24,2026-01-01,NIFTYBEES,13,0.01979589867280962,0.014195898339757611,0.00560000033305201,560.0000333052011,1979.589867280962,1419.589833975761,0.0004307692563886162,0.5384615384615384,-98.36229801685917,331.818293707524,True
25,2026-01-01,ONGC,20,0.010866080953453205,0.023503147824335126,-0.012637066870881918,-1263.7066870881922,1086.6080953453202,2350.314782433513,-0.0006318533435440959,0.3,-555.1940317351736,743.9821266533096,False
26,2026-01-01,RELIANCE,21,0.043242383963653874,0.023179258801754584,0.020063125161899287,2006.3125161899293,4324.238396365387,2317.9258801754577,0.0009553869124713946,0.5238095238095238,-760.2930500604983,1527.790927417511,True
27,2026-01-01,SBIN,19,0.025359072866209753,0.02205725600257661,0.003301816863633145,330.1816863633146,2535.907286620976,2205.725600257661,0.00017377983492806027,0.47368421052631576,-1204.4709028203652,1080.7892530217296,True
28,2026-01-01,SUNPHARMA,16,-0.006120893243850567,0.018942027394564392,-0.02506292063841496,-2506.2920638414957,-612.0893243850562,1894.2027394564393,-0.001566432539900935,0.25,-1839.7371840629314,666.3582973070057,False
29,2026-01-01,TCS,15,0.005407816814020139,0.01720629726080564,-0.011798480446785501,-1179.84804467855,540.7816814020139,1720.6297260805638,-0.0007865653631190334,0.3333333333333333,-462.43287057974226,488.72691510009884,False
30,2026-01-01,TECHM,22,0.001882927391336442,0.03005605306892482,-0.028173125677588375,-2817.312567758838,188.29273913364398,3005.605306892481,-0.0012805966217085624,0.4090909090909091,-2148.6306041805137,806.8604693773958,False
31,2026-01-01,ULTRACEMCO,18,-0.021278236645212667,0.022663425138517445,-0.04394166178373011,-4394.166178373012,-2127.823664521267,2266.342513851744,-0.0024412034324294506,0.2777777777777778,-1627.6606097460474,464.92151661182925,False
32,2026-01-01,WIPRO,17,0.02206415927714367,0.020520858290066762,0.0015433009870769122,154.33009870769112,2206.4159277143667,2052.085829006676,9.078241100452425e-05,0.5294117647058824,-459.34713790992885,540.7948845383856,True
33,2026-02-02,ADANIPORTS,12,-0.026619450043819493,0.014484385133138399,-0.04110383517695789,-4110.383517695789,-2661.945004381949,1448.43851331384,-0.0034253195980798244,0.16666666666666666,-702.2891130768729,50.272668226470195,False
34,2026-02-02,AXISBANK,14,-0.013909726761108687,0.015431549334279059,-0.029341276095387746,-2934.127609538775,-1390.9726761108686,1543.154933427906,-0.002095805435384839,0.21428571428571427,-1151.1945125093023,365.7992625500847,False
35,2026-02-02,BAJAJ-AUTO,19,0.0008918355063554095,0.024929225879248597,-0.024037390372893187,-2403.7390372893187,89.18355063554091,2492.9225879248597,-0.0012651258090996414,0.3684210526315789,-730.2045644859711,1315.660088782819,False
36,2026-02-02,BANKBEES,8,-0.012640969347879283,0.01121002089618852,-0.023850990244067803,-2385.0990244067802,-1264.0969347879281,1121.002089618852,-0.0029813737805084754,0.0,-470.17763224587173,-51.840101095235745,False
37,2026-02-02,BHARTIARTL,9,-0.016217205104811838,0.010000694966122275,-0.02621790007093411,-2621.790007093411,-1621.7205104811837,1000.0694966122275,-0.002913100007881568,0.0,-526.4159625052467,-95.49451388685118,False
38,2026-02-02,BPCL,15,-0.008451802486581506,0.01680265202956655,-0.02525445451614806,-2525.445451614805,-845.1802486581505,1680.2652029566543,-0.0016836303010765374,0.26666666666666666,-548.9955412107512,229.64996354757636,False
39,2026-02-02,BRITANNIA,9,-0.0008551210742154813,0.012915001907327101,-0.013770122981542583,-1377.0122981542586,-85.51210742154814,1291.50019073271,-0.0015300136646158426,0.2222222222222222,-451.6229693169143,421.67238399704183,False
40,2026-02-02,CIPLA,12,-0.0052033000561908516,0.015536086537419983,-0.020739386593610836,-2073.9386593610834,-520.3300056190849,1553.6086537419983,-0.0017282822161342364,0.3333333333333333,-914.0127047566173,723.9170241953223,False
41,2026-02-02,DRREDDY,7,-0.008734404903343318,0.008685461984966213,-0.01741986688830953,-1741.9866888309532,-873.4404903343317,868.5461984966212,-0.002488552412615647,0.0,-398.5913187111511,-99.84566354717018,False
