shard_index,shard_path
17,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITC\part-00000.parquet
18,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=JUNIORBEES\part-00000.parquet
19,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=KOTAKBANK\part-00000.parquet
20,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=LT\part-00000.parquet
21,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=M&M\part-00000.parquet
22,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=MARUTI\part-00000.parquet
23,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NESTLEIND\part-00000.parquet
24,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NIFTYBEES\part-00000.parquet
25,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ONGC\part-00000.parquet
26,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet
27,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SBIN\part-00000.parquet
28,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=SUNPHARMA\part-00000.parquet
29,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TCS\part-00000.parquet
30,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TECHM\part-00000.parquet
31,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ULTRACEMCO\part-00000.parquet
32,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=WIPRO\part-00000.parquet
33,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ADANIPORTS\part-00000.parquet
34,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=AXISBANK\part-00000.parquet
35,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BAJAJ-AUTO\part-00000.parquet
36,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BANKBEES\part-00000.parquet
37,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BHARTIARTL\part-00000.parquet
38,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BPCL\part-00000.parquet
39,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BRITANNIA\part-00000.parquet
40,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=CIPLA\part-00000.parquet
41,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=DRREDDY\part-00000.parquet
42,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=GOLDBEES\part-00000.parquet
43,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HCLTECH\part-00000.parquet
44,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet
45,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HINDUNILVR\part-00000.parquet
46,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ICICIBANK\part-00000.parquet
47,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=INFY\part-00000.parquet
48,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITBEES\part-00000.parquet
49,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITC\part-00000.parquet
50,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=JUNIORBEES\part-00000.parquet
51,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=KOTAKBANK\part-00000.parquet
52,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=LT\part-00000.parquet
53,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=M&M\part-00000.parquet
54,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=MARUTI\part-00000.parquet
55,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NESTLEIND\part-00000.parquet
56,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NIFTYBEES\part-00000.parquet
57,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ONGC\part-00000.parquet
58,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=RELIANCE\part-00000.parquet
59,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=SBIN\part-00000.parquet
60,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=SUNPHARMA\part-00000.parquet
61,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TCS\part-00000.parquet
62,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TECHM\part-00000.parquet
63,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ULTRACEMCO\part-00000.parquet
64,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=WIPRO\part-00000.parquet
