panel,scenario_id,family_id,canonical_work_order_id,diagnostic_trade_date,symbol,description,depth_confirmation,capacity_events_per_date,precommitted_horizon_ticks,source_horizon_seconds,impulse_bps,decision_l2_l5_qty_imbalance,decision_top5_qty_imbalance,replenishment_ratio,side,side_sign,entry_price,exit_price,quantity,gross_pnl_inr,cost200_inr,net_pnl_inr
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-10_DRREDDY_106692956,2026-07-10,DRREDDY,Analysts/Institutional Investor Meet/Con. Call Updates,exhaustion,3,600,900.0,-92.30521181829212,0.448441247002398,0.4518828451882845,-0.6636171710063336,long,1,1229.2,1240.6,81,923.399999999989,165.3403368856,758.059663114389
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-10_ADANIPORTS_106692702,2026-07-10,ADANIPORTS,Updates,exhaustion,3,600,900.0,70.23290675401877,-0.3872053872053872,-0.4582278481012658,-0.572972972972973,short,-1,1813.4,1816.0,55,-142.999999999995,165.32654700400002,-308.326547003995
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-10_ONGC_106692689,2026-07-10,ONGC,Outcome of Board Meeting,exhaustion,3,600,900.0,19.06949086509887,-0.7818480792947518,-0.7436515451493501,6.9459644322845415,short,-1,244.27,243.95,409,130.88000000000883,165.32514128776,-34.44514128775117
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-13_WIPRO_106693588,2026-07-13,WIPRO,Copy of Newspaper Publication,exhaustion,3,600,900.0,61.62047519417713,-0.9531604731748118,0.0362279064661323,3.4597307221542226,short,-1,175.5,174.78,569,409.6799999999994,165.27771804783998,244.4022819521594
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-13_INFY_106695528,2026-07-13,INFY,General Updates,exhaustion,3,600,900.0,6.800870511425463,-0.4718212627086732,-0.4175593851886353,0.0261680009559087,short,-1,1103.5,1104.5,90,-90.0,165.23094064000003,-255.23094064000003
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-14_SBIN_106695773,2026-07-14,SBIN,General Updates,exhaustion,3,600,900.0,-36.7664844468091,0.7409350057012543,0.7421434327155519,-0.1913992506922951,long,1,1029.8,1028.0,97,-174.5999999999956,165.32640495919998,-339.92640495919557
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-14_CIPLA_106695963,2026-07-14,CIPLA,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",exhaustion,3,600,900.0,28.37525397603836,-0.8197573656845754,-0.7953281423804227,2.632323232323232,short,-1,1430.9,1447.6,69,-1152.2999999999874,165.251961598,-1317.5519615979874
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-14_M&M_106696043,2026-07-14,M&M,Copy of Newspaper Publication,exhaustion,3,600,900.0,-32.9578906949961,0.4574898785425101,0.330948121645796,2.140449438202247,long,1,3115.2,3098.0,32,-550.3999999999942,165.25548538880003,-715.6554853887942
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-15_MARUTI_106697620,2026-07-15,MARUTI,Press Release,exhaustion,3,600,900.0,-31.77652970736033,0.2692307692307692,0.2882882882882883,1.074766355140187,long,1,13491.0,13520.0,7,203.0,162.211448524,40.78855147600001
external_catalyst_full_depth,P441_catalyst_reversal_H600_exhaustion_C3,official_catalyst_reversal,P373_2026-07-15_WIPRO_106697074,2026-07-15,WIPRO,Copy of Newspaper Publication,exhaustion,3,600,900.0,18.58257811830053,-0.3456126886671783,0.7577778793001051,0.9236312505492574,short,-1,175.2,176.29,570,-621.300000000002,165.41764983160002,-786.717649831602
