decision_id,decision_value,evidence,status
selected_verdict,P412_REPLENISHMENT_BREAKOUT_REJECTED_AS_ZERO_EVENT_FORM,Primary selected zero trades under frozen Phase410 thresholds.,terminal_for_this_form
phase411_primary_completed_round_trips,0,Observed primary completed round trips.,failed_event_floor
phase411_failed_hard_gates,P411_EVENT_FLOOR;P411_DATE_BREADTH;P411_SYMBOL_BREADTH;P411_POSITIVE_DATE_FRACTION;P411_ANNUALIZED_FLOOR,Explicit Phase411 failed gate basis.,basis
phase411_synthetic_diagnostic_groups,84,Execution scanned symbol/date/scenario groups.,input_not_empty
phase411_synthetic_candidate_scan_points,3360,Execution scanned candidate points.,input_not_empty
phase411_zero_event_not_profitability_success,1,Zero trades and zero PnL cannot be treated as annualized success.,guardrail
same_family_threshold_relaxation_allowed,0,Do not relax Phase410 thresholds after observing zero selected events.,closed
phase410_thesis_replay_allowed_again,0,Do not rerun same form shard-after-shard as a rescue.,closed
strategy_promotion_allowed,0,No accepted survivor.,closed
paper_or_live_acceptance_allowed,0,Backtest failure only.,closed
deployable_profitability_claim_allowed,0,No deployable edge claim.,closed
next_action,precommit_material_new_less_sparse_full_depth_l2_thesis_or_build_filter_failure_attribution_before_execution,Next work must either attribute filter sparsity or precommit a materially different less-sparse full-depth thesis.,next
