metric,value,description
phase412_replenishment_breakout_interpretation_complete,1,Phase412 interpretation completed
phase412_selected_verdict,P412_REPLENISHMENT_BREAKOUT_REJECTED_AS_ZERO_EVENT_FORM,Selected verdict
phase412_phase411_primary_completed_round_trips,0,Phase411 primary round trips
phase412_phase411_primary_annualized_return_pct,0.0,Phase411 primary annualized return
phase412_cost200_acceptance_survivor_rows,0,Acceptance survivors
phase412_same_family_threshold_relaxation_allowed,0,No threshold relaxation
phase412_strategy_promotion_allowed,0,No promotion
phase412_paper_or_live_acceptance_allowed,0,No paper/live
phase412_deployable_profitability_claim_allowed,0,No deployable claim
phase412_hard_gate_pass_rows,9,Passed hard gates
phase412_hard_gate_rows,9,Hard gates
phase412_next_best_action,precommit_material_new_less_sparse_full_depth_l2_thesis_or_build_filter_failure_attribution_before_execution,Recommended next action
