scenario_id,scope,family_id,entry_timing_policy,horizon_seconds,depth_threshold_quantile,trade_rows,diagnostic_trade_dates,symbols,positive_symbol_date_cells,net_pnl_inr,side_flip_net_pnl_inr,random_side_net_pnl_inr,annualized_return_pct,side_flip_annualized_return_pct,random_side_annualized_return_pct,control_pass,above12,acceptance_candidate
P345_0002_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H300_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,300,0.75,6,3,5,5,2175.185253362426,-4824.303060997235,2175.185253362426,73.08622451297752,-162.0965828495071,73.08622451297752,0,1,0
P345_0065_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H1800_Q0p75,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.75,2,2,2,1,1135.1671988583882,-1922.5321594552174,-1775.5211462992174,57.21242682246277,-96.89562083654296,-89.48626577348055,1,1,0
P345_0062_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H900_Q0p75,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.75,2,2,2,1,778.1939067423883,-1502.4755384152174,624.1892867423883,39.220972899816374,-75.72476713612696,31.459140051816366,1,1,0
P345_0012_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H900_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.0,19,6,11,7,2274.5650038543045,-9467.315044776042,-2692.2131116676446,38.21269206475231,-159.0508927522375,-45.22918027601643,1,1,0
P345_0007_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.5,11,5,8,4,1745.2396959147825,-6179.552385978037,-2269.9491143424084,35.18403226964201,-124.57977610131725,-45.76217414514295,1,1,0
P345_0026_P344_CATALYST_CATEGORY_CONTINUATION_delay_300s_H1800_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_300s,1800,0.75,2,1,2,1,347.8335265168233,-1100.2099554080057,-1100.2099554080057,35.06161947289579,-110.90116350512699,-110.90116350512699,1,1,0
P345_0004_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,900,0.5,11,5,8,5,1562.7533491048116,-6043.334024583627,-2850.6664829363913,31.505107517953,-121.8336139356059,-57.46943629599765,1,1,0
P345_0015_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H1800_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.0,19,6,11,8,1793.510995159402,-9056.369651873318,1387.6477176344079,30.13098471867795,-152.14701015147173,23.312481656258054,1,1,0
P345_0006_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.0,19,6,10,7,1728.5913514758213,-9289.099863740857,-8031.673188925634,29.040334704793796,-156.0568777108464,-134.93210957395067,1,1,0
P345_0008_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H1800_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,1800,0.75,6,3,5,3,377.01978778197986,-2910.2450577916175,-3928.0956318460203,12.667864869474526,-97.78423394179833,-131.98401323002628,1,1,0
P345_0003_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,900,0.0,19,6,10,6,742.4051355589904,-8314.56850292805,-6974.150028936842,12.47240627739104,-139.68475084919123,-117.16572048613897,1,1,0
P345_0013_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H900_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,900,0.5,6,4,5,1,409.9625493015915,-2639.332217795235,405.76296832398,10.331056242400107,-66.51117188843992,10.225226801764295,1,0,0
P345_0010_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H300_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,300,0.5,6,4,5,1,370.56549689433905,-2632.8313415172206,-1065.5790639548522,9.338250521737345,-66.34734980623396,-26.852592411662272,1,0,0
P345_0005_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H900_Q0p75,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,900,0.75,6,3,5,3,27.445942057173852,-2586.301392184838,-1011.1648195276321,0.9221836531210416,-86.89972677741055,-33.97513793612844,1,0,0
P345_0048_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H900_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,900,0.0,36,7,18,10,-71.72392799718597,-13473.90024978781,-5087.764101114173,-1.032824563159478,-194.02416359694448,-73.2638030560441,1,0,0
P345_0001_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H300_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,300,0.5,11,5,8,4,-93.62272481715925,-4495.025322126464,-2515.2800702651793,-1.8874341323139305,-90.61971049406951,-50.708046216546016,1,0,0
P345_0009_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H300_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,300,0.0,19,6,11,5,-114.89622239802966,-7222.362439020233,-2538.6638290536125,-1.9302565362868982,-121.33568897553992,-42.6495523281007,1,0,0
P345_0061_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H900_Q0p5,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,900,0.5,7,4,3,1,-105.29225808260594,-2481.7228506476117,-131.94624910798555,-2.6533649036816698,-62.53941583631982,-3.3250454775212357,1,0,0
P345_0047_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H300_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,300,0.75,1,1,1,0,-59.44483418321164,-294.05331858878833,-59.44483418321164,-5.992039285667733,-29.640574513749865,-5.992039285667733,0,0,0
P345_0000_P344_CATALYST_CATEGORY_CONTINUATION_market_open_or_first_tick_after_announcement_H300_Q0p0,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,market_open_or_first_tick_after_announcement,300,0.0,19,6,10,7,-477.2936095115092,-7256.525885313284,-6493.033008951226,-8.018532639793355,-121.90963487326316,-109.08295455038062,1,0,0
P345_0064_P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC_delay_300s_H1800_Q0p5,capacity_capped,P344_SBIN_AND_BANK_CATALYST_DIAGNOSTIC,delay_300s,1800,0.5,7,4,3,1,-392.6220290796264,-2235.4934750900293,-1759.0713012276206,-9.894075132806584,-56.33443557226874,-44.32859679093604,1,0,0
P345_0035_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_first_valid_tick_H1800_Q0p75,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,first_valid_tick,1800,0.75,7,4,5,1,-604.08294556082,-2403.6779015716056,-6115.7744830796055,-15.222890228132664,-60.572683119604456,-154.11751697360606,1,0,0
P345_0051_P344_FULL_DEPTH_CATALYST_REACTION_FILTER_delay_300s_H1800_Q0p0,capacity_capped,P344_FULL_DEPTH_CATALYST_REACTION_FILTER,delay_300s,1800,0.0,35,7,18,10,-1937.6564716392443,-11219.2215837911,-7076.415917776452,-27.902253191605116,-161.55679080659183,-101.90038921598091,1,0,0
P345_0016_P344_CATALYST_CATEGORY_CONTINUATION_delay_60s_H1800_Q0p5,capacity_capped,P344_CATALYST_CATEGORY_CONTINUATION,delay_60s,1800,0.5,6,4,5,1,-1136.921716534409,-1089.8233535636175,-2680.4688076243942,-28.650427256667104,-27.463548509803164,-67.54781395213473,0,0,0
