phase218_feature_contract_id,phase206_feature_id,feature_family,horizon_sec,required_columns,present_columns,target_bindings,same_horizon_binding,feature_available,eligible_for_phase219_fit_dry_run,model_fit_execution_allowed_phase218,strategy_replay_allowed,test_replay_allowed_next
P218_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H1s,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,cross_symbol_receive_flow,1,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,3,1,1,1,0,0,0
P218_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H5s,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,cross_symbol_receive_flow,5,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,3,1,1,1,0,0,0
P218_P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_H15s,P206_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,cross_symbol_receive_flow,15,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,cross_symbol_arrival_count;cross_symbol_arrival_share;phase176_universe_symbols,1,1,1,1,0,0,0
P218_P206_DEPTH_REFRESH_INTENSITY_H1s,P206_DEPTH_REFRESH_INTENSITY,top_five_depth_churn,1,depth_refresh_count;top5_qty_imbalance,depth_refresh_count;top5_qty_imbalance,3,1,1,1,0,0,0
P218_P206_DEPTH_REFRESH_INTENSITY_H5s,P206_DEPTH_REFRESH_INTENSITY,top_five_depth_churn,5,depth_refresh_count;top5_qty_imbalance,depth_refresh_count;top5_qty_imbalance,3,1,1,1,0,0,0
P218_P206_DEPTH_REFRESH_INTENSITY_H15s,P206_DEPTH_REFRESH_INTENSITY,top_five_depth_churn,15,depth_refresh_count;top5_qty_imbalance,depth_refresh_count;top5_qty_imbalance,1,1,1,1,0,0,0
P218_P206_QUOTE_CHURN_RATE_H1s,P206_QUOTE_CHURN_RATE,book_state_churn,1,quote_churn_count,quote_churn_count,3,1,1,1,0,0,0
P218_P206_QUOTE_CHURN_RATE_H5s,P206_QUOTE_CHURN_RATE,book_state_churn,5,quote_churn_count,quote_churn_count,3,1,1,1,0,0,0
P218_P206_QUOTE_CHURN_RATE_H15s,P206_QUOTE_CHURN_RATE,book_state_churn,15,quote_churn_count,quote_churn_count,1,1,1,1,0,0,0
P218_P206_RECEIVE_EVENT_RATE_ZSCORE_H1s,P206_RECEIVE_EVENT_RATE_ZSCORE,receive_cadence,1,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,3,1,1,1,0,0,0
P218_P206_RECEIVE_EVENT_RATE_ZSCORE_H5s,P206_RECEIVE_EVENT_RATE_ZSCORE,receive_cadence,5,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,3,1,1,1,0,0,0
P218_P206_RECEIVE_EVENT_RATE_ZSCORE_H15s,P206_RECEIVE_EVENT_RATE_ZSCORE,receive_cadence,15,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,receive_event_rate_zscore;receive_event_count;receive_event_rate_baseline_days,1,1,1,1,0,0,0
P218_P206_RECEIVE_FLOW_REGIME_STATE_H1s,P206_RECEIVE_FLOW_REGIME_STATE,source_quality_context,1,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,3,1,1,1,0,0,0
P218_P206_RECEIVE_FLOW_REGIME_STATE_H5s,P206_RECEIVE_FLOW_REGIME_STATE,source_quality_context,5,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,3,1,1,1,0,0,0
P218_P206_RECEIVE_FLOW_REGIME_STATE_H15s,P206_RECEIVE_FLOW_REGIME_STATE,source_quality_context,15,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,receive_event_rate_zscore;quote_churn_count;stale_quote_duration_ms;cross_symbol_arrival_share,1,1,1,1,0,0,0
P218_P206_STALE_QUOTE_DURATION_H1s,P206_STALE_QUOTE_DURATION,feed_staleness,1,stale_quote_duration_ms,stale_quote_duration_ms,3,1,1,1,0,0,0
P218_P206_STALE_QUOTE_DURATION_H5s,P206_STALE_QUOTE_DURATION,feed_staleness,5,stale_quote_duration_ms,stale_quote_duration_ms,3,1,1,1,0,0,0
P218_P206_STALE_QUOTE_DURATION_H15s,P206_STALE_QUOTE_DURATION,feed_staleness,15,stale_quote_duration_ms,stale_quote_duration_ms,1,1,1,1,0,0,0
