model_id,train_rows,feature_weights,feature_means,feature_stds,score_threshold,selection_split,validation_used_for_fit,extension_used_for_fit,test_used_for_fit
P196_IMBALANCE_EVENT_H1_SIGNED_Q975_S1p5,284015,top5_qty_imbalance:0.00679395;l1_qty_imbalance:0.00368279;receive_event_rate_zscore:-0.00000847;top5_x_event_z:-0.00097448;l1_x_event_z:0.00176039,"{""l1_qty_imbalance"": -0.05350334659428589, ""l1_x_event_z"": 0.003610365740176986, ""receive_event_rate_zscore"": 0.0042477442488997414, ""top5_qty_imbalance"": -0.05146747839646559, ""top5_x_event_z"": 0.0008487616018865153}","{""l1_qty_imbalance"": 0.6852900091603217, ""l1_x_event_z"": 0.7140266458329338, ""receive_event_rate_zscore"": 1.0387528249538556, ""top5_qty_imbalance"": 0.46656843884295257, ""top5_x_event_z"": 0.48769842205585745}",0.017703891783257576,train,0,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q975_S2p5,438053,top5_qty_imbalance:0.00606874;l1_qty_imbalance:0.00412127;receive_event_rate_zscore:-0.00012753;top5_x_event_z:-0.00144018;l1_x_event_z:0.00076211,"{""l1_qty_imbalance"": -0.04965352529919921, ""l1_x_event_z"": 0.0016819754173662545, ""receive_event_rate_zscore"": 0.010392790455108243, ""top5_qty_imbalance"": -0.041226349362005976, ""top5_x_event_z"": -0.00043794659649088553}","{""l1_qty_imbalance"": 0.6851756624515547, ""l1_x_event_z"": 0.7314235396516098, ""receive_event_rate_zscore"": 1.0588031241173188, ""top5_qty_imbalance"": 0.4600988930637711, ""top5_x_event_z"": 0.4870877841324229}",0.017107013933542494,train,0,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q990_S1p5,284015,top5_qty_imbalance:0.00679395;l1_qty_imbalance:0.00368279;receive_event_rate_zscore:-0.00000847;top5_x_event_z:-0.00097448;l1_x_event_z:0.00176039,"{""l1_qty_imbalance"": -0.05350334659428589, ""l1_x_event_z"": 0.003610365740176986, ""receive_event_rate_zscore"": 0.0042477442488997414, ""top5_qty_imbalance"": -0.05146747839646559, ""top5_x_event_z"": 0.0008487616018865153}","{""l1_qty_imbalance"": 0.6852900091603217, ""l1_x_event_z"": 0.7140266458329338, ""receive_event_rate_zscore"": 1.0387528249538556, ""top5_qty_imbalance"": 0.46656843884295257, ""top5_x_event_z"": 0.48769842205585745}",0.01893489578872174,train,0,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q990_S2p5,438053,top5_qty_imbalance:0.00606874;l1_qty_imbalance:0.00412127;receive_event_rate_zscore:-0.00012753;top5_x_event_z:-0.00144018;l1_x_event_z:0.00076211,"{""l1_qty_imbalance"": -0.04965352529919921, ""l1_x_event_z"": 0.0016819754173662545, ""receive_event_rate_zscore"": 0.010392790455108243, ""top5_qty_imbalance"": -0.041226349362005976, ""top5_x_event_z"": -0.00043794659649088553}","{""l1_qty_imbalance"": 0.6851756624515547, ""l1_x_event_z"": 0.7314235396516098, ""receive_event_rate_zscore"": 1.0588031241173188, ""top5_qty_imbalance"": 0.4600988930637711, ""top5_x_event_z"": 0.4870877841324229}",0.018180484157948314,train,0,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q975_S1p5,284015,top5_qty_imbalance:0.00679395;l1_qty_imbalance:0.00368279;receive_event_rate_zscore:-0.00000847;top5_x_event_z:-0.00097448;l1_x_event_z:0.00176039,"{""l1_qty_imbalance"": -0.05350334659428589, ""l1_x_event_z"": 0.003610365740176986, ""receive_event_rate_zscore"": 0.0042477442488997414, ""top5_qty_imbalance"": -0.05146747839646559, ""top5_x_event_z"": 0.0008487616018865153}","{""l1_qty_imbalance"": 0.6852900091603217, ""l1_x_event_z"": 0.7140266458329338, ""receive_event_rate_zscore"": 1.0387528249538556, ""top5_qty_imbalance"": 0.46656843884295257, ""top5_x_event_z"": 0.48769842205585745}",0.017703891783257576,train,0,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q975_S2p5,438053,top5_qty_imbalance:0.00606874;l1_qty_imbalance:0.00412127;receive_event_rate_zscore:-0.00012753;top5_x_event_z:-0.00144018;l1_x_event_z:0.00076211,"{""l1_qty_imbalance"": -0.04965352529919921, ""l1_x_event_z"": 0.0016819754173662545, ""receive_event_rate_zscore"": 0.010392790455108243, ""top5_qty_imbalance"": -0.041226349362005976, ""top5_x_event_z"": -0.00043794659649088553}","{""l1_qty_imbalance"": 0.6851756624515547, ""l1_x_event_z"": 0.7314235396516098, ""receive_event_rate_zscore"": 1.0588031241173188, ""top5_qty_imbalance"": 0.4600988930637711, ""top5_x_event_z"": 0.4870877841324229}",0.017107013933542494,train,0,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q990_S1p5,284015,top5_qty_imbalance:0.00679395;l1_qty_imbalance:0.00368279;receive_event_rate_zscore:-0.00000847;top5_x_event_z:-0.00097448;l1_x_event_z:0.00176039,"{""l1_qty_imbalance"": -0.05350334659428589, ""l1_x_event_z"": 0.003610365740176986, ""receive_event_rate_zscore"": 0.0042477442488997414, ""top5_qty_imbalance"": -0.05146747839646559, ""top5_x_event_z"": 0.0008487616018865153}","{""l1_qty_imbalance"": 0.6852900091603217, ""l1_x_event_z"": 0.7140266458329338, ""receive_event_rate_zscore"": 1.0387528249538556, ""top5_qty_imbalance"": 0.46656843884295257, ""top5_x_event_z"": 0.48769842205585745}",0.01893489578872174,train,0,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q990_S2p5,438053,top5_qty_imbalance:0.00606874;l1_qty_imbalance:0.00412127;receive_event_rate_zscore:-0.00012753;top5_x_event_z:-0.00144018;l1_x_event_z:0.00076211,"{""l1_qty_imbalance"": -0.04965352529919921, ""l1_x_event_z"": 0.0016819754173662545, ""receive_event_rate_zscore"": 0.010392790455108243, ""top5_qty_imbalance"": -0.041226349362005976, ""top5_x_event_z"": -0.00043794659649088553}","{""l1_qty_imbalance"": 0.6851756624515547, ""l1_x_event_z"": 0.7314235396516098, ""receive_event_rate_zscore"": 1.0588031241173188, ""top5_qty_imbalance"": 0.4600988930637711, ""top5_x_event_z"": 0.4870877841324229}",0.018180484157948314,train,0,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q975_S1p5,284015,top5_qty_imbalance:0.00679395;quote_churn_log:0.00000000;depth_refresh_log:0.00000000;top5_x_churn:0.00627097;liquidity_tightness:0.00028920,"{""depth_refresh_log"": NaN, ""liquidity_tightness"": -0.8445413384722136, ""quote_churn_log"": NaN, ""top5_qty_imbalance"": -0.05146747839646559, ""top5_x_churn"": -0.029237755219113717}","{""depth_refresh_log"": 1.0, ""liquidity_tightness"": 0.3208398335719912, ""quote_churn_log"": 1.0, ""top5_qty_imbalance"": 0.46656843884295257, ""top5_x_churn"": 0.3349205079327842}",,train,0,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q975_S2p5,438053,top5_qty_imbalance:0.00606874;quote_churn_log:0.00000000;depth_refresh_log:0.00000000;top5_x_churn:0.00493787;liquidity_tightness:-0.00039357,"{""depth_refresh_log"": NaN, ""liquidity_tightness"": -1.2223027341630839, ""quote_churn_log"": NaN, ""top5_qty_imbalance"": -0.041226349362005976, ""top5_x_churn"": -0.02399642716292259}","{""depth_refresh_log"": 1.0, ""liquidity_tightness"": 0.5983895595987211, ""quote_churn_log"": 1.0, ""top5_qty_imbalance"": 0.4600988930637711, ""top5_x_churn"": 0.32703759338617533}",,train,0,0,0
