model_id,latency_profile_id,split_bucket,decision_events,decision_rate,dates_with_events,symbols_with_events,net_return_bps_after_cost_proxy_mean,net_edge_over_shuffled_time_bps_mean,net_positive_event_fraction,test_rows_used,promotion_allowed
P196_IMBALANCE_EVENT_H1_SIGNED_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,7101,0.02500220058799711,3,29,-6.850258826753881,5.795050219512141,0.0009857766511758908,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q975_S1p5,P180_STRESSED_RETAIL,train,7101,0.02500220058799711,3,29,-8.639470919257453,5.805506116707951,0.0008449514152936206,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,10952,0.025001540909433333,3,31,-10.083065291368928,2.0130881405337164,0.000547845142439737,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q975_S2p5,P180_STRESSED_RETAIL,train,10952,0.025001540909433333,3,31,-12.186885052214208,2.0100511327391364,0.0004565376186997809,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,2841,0.010002992799676074,3,29,-10.913892913436088,0.13591256323214,0.0007039774727208729,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q990_S1p5,P180_STRESSED_RETAIL,train,2841,0.010002992799676074,3,29,-12.565755399226902,0.1232488298602589,0.00035198873636043646,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,4382,0.010003355758321482,3,31,-7.188580280657505,9.252043150105067,0.0011410314924691922,0,0
P196_IMBALANCE_EVENT_H1_SIGNED_Q990_S2p5,P180_STRESSED_RETAIL,train,4382,0.010003355758321482,3,31,-9.154715168150826,4.692164840165932,0.0009128251939753537,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,7101,0.02500220058799711,3,29,-15.747407155125366,-5.797966040172238,0.0001408252358822701,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q975_S1p5,P180_STRESSED_RETAIL,train,7101,0.02500220058799711,3,29,-17.536619247628938,-5.801625354539595,0.0001408252358822701,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,10952,0.025001540909433333,3,31,-14.175887003905437,-2.029807413150622,0.0003652300949598247,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q975_S2p5,P180_STRESSED_RETAIL,train,10952,0.025001540909433333,3,31,-16.279706764750717,-2.0166748620137787,0.0003652300949598247,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,2841,0.010002992799676074,3,29,-11.363946316242755,-0.10065218429499292,0.00035198873636043646,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q990_S1p5,P180_STRESSED_RETAIL,train,2841,0.010002992799676074,3,29,-13.015808802033568,-0.10633925954239054,0.00035198873636043646,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,4382,0.010003355758321482,3,31,-16.755538696614146,-9.267415717758526,0.00022820629849383843,0,0
P196_IMBALANCE_EVENT_H1_INVERSE_Q990_S2p5,P180_STRESSED_RETAIL,train,4382,0.010003355758321482,3,31,-18.721673584107467,-9.227429030627542,0.00022820629849383843,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q975_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q975_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q990_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_SIGNED_Q990_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_INVERSE_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_INVERSE_Q975_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_INVERSE_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_INVERSE_Q975_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_INVERSE_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_INVERSE_Q990_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_INVERSE_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H1_INVERSE_Q990_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_STALE_SYNCHRONY_H1_SIGNED_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,7101,0.02500220058799711,3,29,-5.62531855969198,5.745006370224647,0.0009857766511758908,0,0
P196_STALE_SYNCHRONY_H1_SIGNED_Q975_S1p5,P180_STRESSED_RETAIL,train,7101,0.02500220058799711,3,29,-7.506717789179894,5.748347542271667,0.0007041261794113505,0,0
P196_STALE_SYNCHRONY_H1_SIGNED_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,10952,0.025001540909433333,3,31,-5.7138483269014815,9.255225992345501,0.0010043827611395178,0,0
P196_STALE_SYNCHRONY_H1_SIGNED_Q975_S2p5,P180_STRESSED_RETAIL,train,10952,0.025001540909433333,3,31,-7.867576282656451,7.437077406887633,0.0008217677136596055,0,0
P196_STALE_SYNCHRONY_H1_SIGNED_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,2841,0.010002992799676074,3,29,-7.699369744961009,0.10569845967824804,0.00035198873636043646,0,0
P196_STALE_SYNCHRONY_H1_SIGNED_Q990_S1p5,P180_STRESSED_RETAIL,train,2841,0.010002992799676074,3,29,-9.518750663671067,0.09633704796552846,0.00035198873636043646,0,0
P196_STALE_SYNCHRONY_H1_SIGNED_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,4381,0.010001072929531358,3,31,-5.166094938405968,0.09688827514986278,0.0006847751654873316,0,0
P196_STALE_SYNCHRONY_H1_SIGNED_Q990_S2p5,P180_STRESSED_RETAIL,train,4381,0.010001072929531358,3,31,-7.2382695602186,9.25825689454726,0.0006847751654873316,0,0
P196_STALE_SYNCHRONY_H1_INVERSE_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,7101,0.02500220058799711,3,29,-17.155416268035594,-2.9543598547264445,0.0005633009435290804,0,0
P196_STALE_SYNCHRONY_H1_INVERSE_Q975_S1p5,P180_STRESSED_RETAIL,train,7101,0.02500220058799711,3,29,-19.036815497523506,-8.573127446592821,0.0005633009435290804,0,0
P196_STALE_SYNCHRONY_H1_INVERSE_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,10952,0.025001540909433333,3,31,-18.740974924122707,-7.425088722463417,0.0003652300949598247,0,0
P196_STALE_SYNCHRONY_H1_INVERSE_Q975_S2p5,P180_STRESSED_RETAIL,train,10952,0.025001540909433333,3,31,-20.894702879877677,-9.248879254806422,0.0003652300949598247,0,0
P196_STALE_SYNCHRONY_H1_INVERSE_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,2841,0.010002992799676074,3,29,-14.930818014188242,-0.05335376090412842,0.0007039774727208729,0,0
P196_STALE_SYNCHRONY_H1_INVERSE_Q990_S1p5,P180_STRESSED_RETAIL,train,2841,0.010002992799676074,3,29,-16.750198932898304,-0.14032057814899612,0.0007039774727208729,0,0
P196_STALE_SYNCHRONY_H1_INVERSE_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,4381,0.010001072929531358,3,31,-19.11905531944355,-9.267486595177283,0.00045651677699155445,0,0
P196_STALE_SYNCHRONY_H1_INVERSE_Q990_S2p5,P180_STRESSED_RETAIL,train,4381,0.010001072929531358,3,31,-21.191229941256182,-4.694391218025794,0.00045651677699155445,0,0
P196_FULL_MICRO_H1_SIGNED_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_SIGNED_Q975_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_SIGNED_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_SIGNED_Q975_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_SIGNED_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_SIGNED_Q990_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_SIGNED_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_SIGNED_Q990_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_INVERSE_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_INVERSE_Q975_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_INVERSE_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_INVERSE_Q975_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_INVERSE_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_INVERSE_Q990_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_INVERSE_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_FULL_MICRO_H1_INVERSE_Q990_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_IMBALANCE_EVENT_H5_SIGNED_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,2634,0.025007832749437468,3,29,-7.168932980724023,7.949566952083432,0.0026575550493545936,0,0
P196_IMBALANCE_EVENT_H5_SIGNED_Q975_S1p5,P180_STRESSED_RETAIL,train,2634,0.025007832749437468,3,29,-9.055650197674002,0.3429361191536272,0.002277904328018223,0,0
P196_IMBALANCE_EVENT_H5_SIGNED_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,4121,0.02500515757921435,3,31,-6.970740188807057,5.230026566856587,0.001941276389225916,0,0
P196_IMBALANCE_EVENT_H5_SIGNED_Q975_S2p5,P180_STRESSED_RETAIL,train,4121,0.02500515757921435,3,31,-9.172663257269042,5.241968597859194,0.0016986168405726766,0,0
P196_IMBALANCE_EVENT_H5_SIGNED_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,1054,0.01000693079647194,3,29,-1.406463155836062,0.1311039398128526,0.0018975332068311196,0,0
P196_IMBALANCE_EVENT_H5_SIGNED_Q990_S1p5,P180_STRESSED_RETAIL,train,1054,0.01000693079647194,3,29,-3.2029892274116025,19.245776806948722,0.0018975332068311196,0,0
P196_IMBALANCE_EVENT_H5_SIGNED_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,1649,0.010005703675837046,3,31,0.42998098606113083,12.434689817077642,0.004244996967859308,0,0
P196_IMBALANCE_EVENT_H5_SIGNED_Q990_S2p5,P180_STRESSED_RETAIL,train,1649,0.010005703675837046,3,31,-1.6551104452255854,12.441339250028562,0.0036385688295936932,0,0
P196_IMBALANCE_EVENT_H5_INVERSE_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,2634,0.025007832749437468,3,29,-15.627099688597713,-7.892864500091953,0.0011389521640091116,0,0
P196_IMBALANCE_EVENT_H5_INVERSE_Q975_S1p5,P180_STRESSED_RETAIL,train,2634,0.025007832749437468,3,29,-17.513816905547692,-7.9771630853032445,0.0007593014426727411,0,0
P196_IMBALANCE_EVENT_H5_INVERSE_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,4121,0.02500515757921435,3,31,-17.499985633455598,-0.39543187532920826,0.0012132977432661976,0,0
P196_IMBALANCE_EVENT_H5_INVERSE_Q975_S2p5,P180_STRESSED_RETAIL,train,4121,0.02500515757921435,3,31,-19.701908701917585,-5.253700338583977,0.0012132977432661976,0,0
P196_IMBALANCE_EVENT_H5_INVERSE_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,1054,0.01000693079647194,3,29,-21.182990760924316,-19.198156298148398,0.0009487666034155598,0,0
P196_IMBALANCE_EVENT_H5_INVERSE_Q990_S1p5,P180_STRESSED_RETAIL,train,1054,0.01000693079647194,3,29,-22.97951683249986,-0.21125289932669794,0.0,0,0
P196_IMBALANCE_EVENT_H5_INVERSE_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,1649,0.010005703675837046,3,31,-24.670287613615972,-24.62122317217158,0.0006064281382656155,0,0
P196_IMBALANCE_EVENT_H5_INVERSE_Q990_S2p5,P180_STRESSED_RETAIL,train,1649,0.010005703675837046,3,31,-26.75537904490269,-24.599886729854326,0.0006064281382656155,0,0
P196_LIQUIDITY_CHURN_H5_SIGNED_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_SIGNED_Q975_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_SIGNED_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_SIGNED_Q975_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_SIGNED_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_SIGNED_Q990_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_SIGNED_Q990_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_SIGNED_Q990_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_INVERSE_Q975_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_INVERSE_Q975_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_INVERSE_Q975_S2p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_INVERSE_Q975_S2p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_INVERSE_Q990_S1p5,P180_RETAIL_MARKETABLE_DEFAULT,train,0,0.0,0,0,,,,0,0
P196_LIQUIDITY_CHURN_H5_INVERSE_Q990_S1p5,P180_STRESSED_RETAIL,train,0,0.0,0,0,,,,0,0
