event_id,symbol,dense_file_path,file_exists,file_min_epoch,file_max_epoch,window_start_epoch,window_end_epoch,timestamp_overlap,materialized_rows,source_rows,row_groups
P306_EVT_0001,ADANIPORTS,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ADANIPORTS\part-00000.parquet,1,1787130875,1789579457,1785903300,1785906000,0,0,15549968,31
P306_EVT_0001,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=AXISBANK\part-00000.parquet,1,1787130875,1789583957,1785903300,1785906000,0,0,15555918,31
P306_EVT_0001,BAJAJ-AUTO,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BAJAJ-AUTO\part-00000.parquet,1,1787130875,1789580957,1785903300,1785906000,0,0,15542034,31
P306_EVT_0001,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BANKBEES\part-00000.parquet,1,1787130875,1789582957,1785903300,1785906000,0,0,15557902,31
P306_EVT_0001,BHARTIARTL,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BHARTIARTL\part-00000.parquet,1,1787130875,1789581957,1785903300,1785906000,0,0,15575752,31
P306_EVT_0001,BPCL,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BPCL\part-00000.parquet,1,1787130725,1789588457,1785903300,1785906000,0,0,15512283,31
P306_EVT_0001,BRITANNIA,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=BRITANNIA\part-00000.parquet,1,1787130875,1789584457,1785903300,1785906000,0,0,15561869,31
P306_EVT_0001,CIPLA,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=CIPLA\part-00000.parquet,1,1787130875,1789593457,1785903300,1785906000,0,0,15549968,31
P306_EVT_0001,DRREDDY,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=DRREDDY\part-00000.parquet,1,1787130875,1789584957,1785903300,1785906000,0,0,15563852,31
P306_EVT_0001,GOLDBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=GOLDBEES\part-00000.parquet,1,1787130875,1789579457,1785903300,1785906000,0,0,15551951,31
P306_EVT_0001,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=HCLTECH\part-00000.parquet,1,1787130875,1789585457,1785903300,1785906000,0,0,15575752,31
P306_EVT_0001,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=HDFCBANK\part-00000.parquet,1,1787130875,1789586189,1785903300,1785906000,0,0,15551951,31
P306_EVT_0001,HINDUNILVR,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=HINDUNILVR\part-00000.parquet,1,1787130875,1789597457,1785903300,1785906000,0,0,15542034,31
P306_EVT_0001,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ICICIBANK\part-00000.parquet,1,1787130875,1789582957,1785903300,1785906000,0,0,15569802,31
P306_EVT_0001,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=INFY\part-00000.parquet,1,1787130875,1789581957,1785903300,1785906000,0,0,15565835,31
P306_EVT_0001,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ITBEES\part-00000.parquet,1,1787130875,1789580457,1785903300,1785906000,0,0,15551951,31
P306_EVT_0001,ITC,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ITC\part-00000.parquet,1,1787130875,1789576957,1785903300,1785906000,0,0,15577736,31
P306_EVT_0001,JUNIORBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=JUNIORBEES\part-00000.parquet,1,1787130875,1789581957,1785903300,1785906000,0,0,15547985,31
P306_EVT_0001,KOTAKBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=KOTAKBANK\part-00000.parquet,1,1787130475,1789596457,1785903300,1785906000,0,0,15557902,31
P306_EVT_0001,LT,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=LT\part-00000.parquet,1,1787130875,1789596707,1785903300,1785906000,0,0,15581703,31
P306_EVT_0001,M&M,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=M&M\part-00000.parquet,1,1787130875,1789595957,1785903300,1785906000,0,0,15565835,31
P306_EVT_0001,MARUTI,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=MARUTI\part-00000.parquet,1,1787130875,1789595457,1785903300,1785906000,0,0,15569802,31
P306_EVT_0001,NESTLEIND,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=NESTLEIND\part-00000.parquet,1,1787130875,1789577707,1785903300,1785906000,0,0,15524184,31
P306_EVT_0001,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=NIFTYBEES\part-00000.parquet,1,1787130875,1789585957,1785903300,1785906000,0,0,15553935,31
P306_EVT_0001,ONGC,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ONGC\part-00000.parquet,1,1787130725,1789586457,1785903300,1785906000,0,0,15561869,31
P306_EVT_0001,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=RELIANCE\part-00000.parquet,1,1787130475,1789587957,1785903300,1785906000,0,0,15569802,31
P306_EVT_0001,SBIN,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=SBIN\part-00000.parquet,1,1787130875,1789580957,1785903300,1785906000,0,0,15595587,31
P306_EVT_0001,SUNPHARMA,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=SUNPHARMA\part-00000.parquet,1,1787130475,1789586707,1785903300,1785906000,0,0,15561869,31
P306_EVT_0001,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=TCS\part-00000.parquet,1,1787130875,1789601457,1785903300,1785906000,0,0,15546001,31
P306_EVT_0001,TECHM,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=TECHM\part-00000.parquet,1,1787130875,1789597457,1785903300,1785906000,0,0,15569802,31
P306_EVT_0001,ULTRACEMCO,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=ULTRACEMCO\part-00000.parquet,1,1787130475,1789582957,1785903300,1785906000,0,0,15534101,31
P306_EVT_0001,WIPRO,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=WIPRO\part-00000.parquet,1,1787130875,1789579957,1785903300,1785906000,0,0,15546001,31
