canonical_work_order_id,panel,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,decision_delay_seconds,horizon_seconds,status,start_ms,start_tick_ms,decision_ms,exit_ms,forced_exit,start_mid,decision_mid,exit_mid,impulse_bps,impulse_side_sign,start_top5_qty,decision_top5_qty,replenishment_ratio,decision_top5_qty_imbalance,decision_l2_l5_qty_imbalance,decision_top5_order_imbalance,entry_long_price,exit_long_price,entry_short_price,exit_short_price,scenario_id,scenario_role,side,side_sign,quantity,buy_value_inr,sell_value_inr,gross_pnl_inr,cost200_inr,net_pnl_inr,capacity_selected,cost_model_version
P341_2026-07-08_CIPLA_106690396,existing_phase341,CIPLA,08-Jul-2026 13:37:12,regular_session,2026-07-08,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,120,900,ready,1783498032000,1783498032499,1783498152808,1783499053498,0,1445.8,1446.6999999999998,1437.0,6.224927375846339,1.0,401.0,557.0,0.38902743142144636,0.1813285457809695,0.19101123595505617,-0.058823529411764705,1446.8,1436.7,1446.6,1437.3,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,long,1.0,69,99829.2,99132.3,-696.8999999999942,165.27445973800002,-862.1744597379942,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-08_SBIN_106690529,existing_phase341,SBIN,08-Jul-2026 15:25:29,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,120,900,ready,1783504529000,1783504532045,1783504654585,1783504799991,1,1017.95,1018.8499999999999,1019.25,8.841298688539354,1.0,9632.0,12856.0,0.3347176079734219,0.16303671437461106,0.2959317585301837,0.1388888888888889,1018.9,1018.6,1018.8,1019.9,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,long,1.0,98,99852.2,99822.8,-29.39999999999418,165.3292181,-194.72921809999417,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-09_BHARTIARTL_106691845,existing_phase341,BHARTIARTL,09-Jul-2026 13:38:41,regular_session,2026-07-09,first_real_tick_after_announcement,Copy of Newspaper Publication,120,900,ready,1783584521000,1783584521479,1783584643989,1783585545928,0,1931.3,1929.85,1935.5,-7.507896235696399,-1.0,737.0,1666.0,1.2605156037991858,-0.23769507803121248,-0.3355048859934853,-0.2777777777777778,1929.9,1935.3,1929.8,1935.7,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,short,-1.0,51,98720.7,98419.8,-300.8999999999942,165.07171708600004,-465.9717170859942,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-10_TCS_106692052,existing_phase341,TCS,09-Jul-2026 15:52:21,post_close,2026-07-10,market_open_next_available_real_l2_day,Outcome of Board Meeting,120,900,ready,1783655100000,1783655104834,1783655225163,1783656125411,0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.004725897920604915,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,long,1.0,47,99804.5,97675.4,-2129.100000000006,165.16213627880006,-2294.262136278806,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-10_TCS_106692059,existing_phase341,TCS,09-Jul-2026 15:54:18,post_close,2026-07-10,market_open_next_available_real_l2_day,Dividend,120,900,ready,1783655100000,1783655104834,1783655225163,1783656125411,0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.004725897920604915,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,long,1.0,47,99804.5,97675.4,-2129.100000000006,165.16213627880006,-2294.262136278806,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-10_TCS_106692063,existing_phase341,TCS,09-Jul-2026 15:56:06,post_close,2026-07-10,market_open_next_available_real_l2_day,Press Release,120,900,ready,1783655100000,1783655104834,1783655225163,1783656125411,0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.004725897920604915,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,long,1.0,47,99804.5,97675.4,-2129.100000000006,165.16213627880006,-2294.262136278806,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-10_TCS_106692067,existing_phase341,TCS,09-Jul-2026 15:57:25,post_close,2026-07-10,market_open_next_available_real_l2_day,General Updates,120,900,ready,1783655100000,1783655104834,1783655225163,1783656125411,0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.004725897920604915,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,long,1.0,47,99804.5,97675.4,-2129.100000000006,165.16213627880006,-2294.262136278806,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-10_TCS_106692731,existing_phase341,TCS,09-Jul-2026 22:27:13,post_close,2026-07-10,market_open_next_available_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,120,900,ready,1783655100000,1783655104834,1783655225163,1783656125411,0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.004725897920604915,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,long,1.0,47,99804.5,97675.4,-2129.100000000006,165.16213627880006,-2294.262136278806,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-10_HCLTECH_106692256,existing_phase341,HCLTECH,09-Jul-2026 17:02:22,post_close,2026-07-10,market_open_next_available_real_l2_day,Updates,120,900,ready,1783655100000,1783655104833,1783655228901,1783656128911,0,1182.5,1188.65,1171.5500000000002,52.008456659620215,1.0,826.0,1700.0,1.0581113801452784,0.4435294117647059,0.2948237059264816,0.10344827586206896,1188.9,1171.4,1188.4,1171.7,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,long,1.0,84,99867.6,98397.6,-1470.0,165.22467214239987,-1635.2246721423999,0,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
P341_2026-07-13_MARUTI_106693600,existing_phase341,MARUTI,10-Jul-2026 15:53:31,post_close,2026-07-13,market_open_next_available_real_l2_day,General Updates,120,900,ready,1783914300000,1783914300712,1783914420715,1783915321960,0,13691.5,13652.5,13612.0,-28.484826352116276,-1.0,107.0,203.0,0.897196261682243,-0.1625615763546798,-0.20441988950276244,0.15384615384615385,13655.0,13610.0,13650.0,13614.0,P362_D120_I2p5_D0p15_R0p0_CONTINUATION,impulse_continuation,short,-1.0,7,95298.0,95550.0,252.0,162.39560057600002,89.60439942399998,1,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14
