canonical_work_order_id,panel,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,decision_delay_seconds,horizon_seconds,status,start_ms,start_tick_ms,decision_ms,exit_ms,forced_exit,start_mid,decision_mid,exit_mid,impulse_bps,impulse_side_sign,start_top5_qty,decision_top5_qty,replenishment_ratio,decision_top5_qty_imbalance,decision_l2_l5_qty_imbalance,decision_top5_order_imbalance,entry_long_price,exit_long_price,entry_short_price,exit_short_price
P341_2026-07-08_CIPLA_106690396,existing_phase341,CIPLA,08-Jul-2026 13:37:12,regular_session,2026-07-08,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,60,900,ready,1783498032000,1783498032499,1783498092502,1783498997027,0,1445.8,1446.2,1437.65,2.7666343892660876,1.0,401.0,422.0,0.05236907730673317,0.13270142180094788,-0.014084507042253521,-0.10526315789473684,1446.5,1437.3,1445.9,1438.0
P341_2026-07-08_CIPLA_106690396,existing_phase341,CIPLA,08-Jul-2026 13:37:12,regular_session,2026-07-08,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,120,900,ready,1783498032000,1783498032499,1783498152808,1783499053498,0,1445.8,1446.6999999999998,1437.0,6.224927375846339,1.0,401.0,557.0,0.38902743142144636,0.1813285457809695,0.19101123595505617,-0.058823529411764705,1446.8,1436.7,1446.6,1437.3
P341_2026-07-08_LT_106690276,existing_phase341,LT,08-Jul-2026 12:29:03,regular_session,2026-07-08,first_real_tick_after_announcement,Press Release,60,900,ready,1783493943000,1783496075001,1783496135750,1783497035993,0,3977.3,3977.0,3971.95,-0.7542805420767402,-1.0,790.0,457.0,-0.4215189873417722,0.028446389496717725,0.056074766355140186,-0.4074074074074074,3977.6,3971.9,3976.4,3972.0
P341_2026-07-08_LT_106690276,existing_phase341,LT,08-Jul-2026 12:29:03,regular_session,2026-07-08,first_real_tick_after_announcement,Press Release,120,900,ready,1783493943000,1783496075001,1783496195024,1783497095393,0,3977.3,3978.45,3970.85,2.891408744624836,1.0,790.0,373.0,-0.5278481012658228,0.28150134048257375,0.28957528957528955,-0.2857142857142857,3978.5,3970.5,3978.4,3971.2
P341_2026-07-08_SBIN_106690529,existing_phase341,SBIN,08-Jul-2026 15:25:29,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,60,900,ready,1783504529000,1783504532045,1783504592749,1783504799991,1,1017.95,1017.95,1019.25,0.0,0.0,9632.0,4820.0,-0.4995847176079734,0.33443983402489624,0.4529616724738676,0.36666666666666664,1018.0,1018.6,1017.9,1019.9
P341_2026-07-08_SBIN_106690529,existing_phase341,SBIN,08-Jul-2026 15:25:29,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,120,900,ready,1783504529000,1783504532045,1783504654585,1783504799991,1,1017.95,1018.8499999999999,1019.25,8.841298688539354,1.0,9632.0,12856.0,0.3347176079734219,0.16303671437461106,0.2959317585301837,0.1388888888888889,1018.9,1018.6,1018.8,1019.9
P341_2026-07-09_BHARTIARTL_106691845,existing_phase341,BHARTIARTL,09-Jul-2026 13:38:41,regular_session,2026-07-09,first_real_tick_after_announcement,Copy of Newspaper Publication,60,900,ready,1783584521000,1783584521479,1783584585210,1783585488150,0,1931.3,1930.3,1935.4499999999998,-5.177859472893906,-1.0,737.0,2885.0,2.914518317503392,0.021837088388214906,0.01579140653690782,0.40298507462686567,1930.6,1935.3,1930.0,1935.6
P341_2026-07-09_BHARTIARTL_106691845,existing_phase341,BHARTIARTL,09-Jul-2026 13:38:41,regular_session,2026-07-09,first_real_tick_after_announcement,Copy of Newspaper Publication,120,900,ready,1783584521000,1783584521479,1783584643989,1783585545928,0,1931.3,1929.85,1935.5,-7.507896235696399,-1.0,737.0,1666.0,1.2605156037991858,-0.23769507803121248,-0.3355048859934853,-0.2777777777777778,1929.9,1935.3,1929.8,1935.7
P341_2026-07-09_DRREDDY_106691390,existing_phase341,DRREDDY,09-Jul-2026 09:18:50,regular_session,2026-07-09,first_real_tick_after_announcement,General Updates,60,900,ready,1783568930000,1783578354989,1783578414990,1783579315486,0,1269.25,1270.5,1274.4,9.848335631278314,1.0,1151.0,1158.0,0.006081668114682885,-0.29533678756476683,-0.2708333333333333,-0.3877551020408163,1270.9,1274.2,1270.1,1274.6
P341_2026-07-09_DRREDDY_106691390,existing_phase341,DRREDDY,09-Jul-2026 09:18:50,regular_session,2026-07-09,first_real_tick_after_announcement,General Updates,120,900,ready,1783568930000,1783578354989,1783578475240,1783579375486,0,1269.25,1272.1,1274.6,22.45420523931384,1.0,1151.0,1049.0,-0.08861859252823631,-0.06959008579599618,-0.03761061946902655,0.15384615384615385,1272.3,1274.4,1271.9,1274.8
P341_2026-07-09_DRREDDY_106691463,existing_phase341,DRREDDY,09-Jul-2026 09:38:43,regular_session,2026-07-09,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,60,900,ready,1783570123000,1783578354989,1783578414990,1783579315486,0,1269.25,1270.5,1274.4,9.848335631278314,1.0,1151.0,1158.0,0.006081668114682885,-0.29533678756476683,-0.2708333333333333,-0.3877551020408163,1270.9,1274.2,1270.1,1274.6
P341_2026-07-09_DRREDDY_106691463,existing_phase341,DRREDDY,09-Jul-2026 09:38:43,regular_session,2026-07-09,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,120,900,ready,1783570123000,1783578354989,1783578475240,1783579375486,0,1269.25,1272.1,1274.6,22.45420523931384,1.0,1151.0,1049.0,-0.08861859252823631,-0.06959008579599618,-0.03761061946902655,0.15384615384615385,1272.3,1274.4,1271.9,1274.8
P341_2026-07-09_RELIANCE_106691045,existing_phase341,RELIANCE,08-Jul-2026 19:08:15,post_close,2026-07-09,market_open_next_available_real_l2_day,Other Restructuring,60,900,ready,1783568700000,1783578354989,1783578415241,1783579315737,0,1288.6,1288.85,1290.6999999999998,1.9400900201769364,1.0,17098.0,4762.0,-0.7214878933208563,0.4246115077698446,0.4757239277160897,-0.16279069767441862,1288.9,1290.6,1288.8,1290.8
P341_2026-07-09_RELIANCE_106691045,existing_phase341,RELIANCE,08-Jul-2026 19:08:15,post_close,2026-07-09,market_open_next_available_real_l2_day,Other Restructuring,120,900,ready,1783568700000,1783578354989,1783578474989,1783579375235,0,1288.6,1289.1,1290.55,3.880180040353873,1.0,17098.0,6924.0,-0.5950403555971459,0.9061236279607163,0.9123852472217748,0.7142857142857143,1289.2,1290.5,1289.0,1290.6
P341_2026-07-09_SBIN_106691111,existing_phase341,SBIN,08-Jul-2026 20:27:40,post_close,2026-07-09,market_open_next_available_real_l2_day,General Updates,60,900,ready,1783568700000,1783578354989,1783578415241,1783579316486,0,1025.85,1026.15,1024.85,2.9244041526556703,1.0,8706.0,7143.0,-0.17953135768435563,-0.4484110317793644,-0.40372046254399196,-0.3473684210526316,1026.3,1024.8,1026.0,1024.9
P341_2026-07-09_SBIN_106691111,existing_phase341,SBIN,08-Jul-2026 20:27:40,post_close,2026-07-09,market_open_next_available_real_l2_day,General Updates,120,900,ready,1783568700000,1783578354989,1783578474989,1783579375235,0,1025.85,1026.1,1025.0,2.437003460544914,1.0,8706.0,5164.0,-0.40684585343441304,0.4632068164213788,0.4473684210526316,0.42168674698795183,1026.2,1024.9,1026.0,1025.1
P341_2026-07-09_SBIN_106691289,existing_phase341,SBIN,08-Jul-2026 23:59:50,post_close,2026-07-09,market_open_next_available_real_l2_day,General Updates,60,900,ready,1783568700000,1783578354989,1783578415241,1783579316486,0,1025.85,1026.15,1024.85,2.9244041526556703,1.0,8706.0,7143.0,-0.17953135768435563,-0.4484110317793644,-0.40372046254399196,-0.3473684210526316,1026.3,1024.8,1026.0,1024.9
P341_2026-07-09_SBIN_106691289,existing_phase341,SBIN,08-Jul-2026 23:59:50,post_close,2026-07-09,market_open_next_available_real_l2_day,General Updates,120,900,ready,1783568700000,1783578354989,1783578474989,1783579375235,0,1025.85,1026.1,1025.0,2.437003460544914,1.0,8706.0,5164.0,-0.40684585343441304,0.4632068164213788,0.4473684210526316,0.42168674698795183,1026.2,1024.9,1026.0,1025.1
