scenario_id,scope,proxy_symbol,lookback_seconds,rule_id,trade_rows,diagnostic_trade_dates,symbols,positive_trade_rows,positive_symbols,positive_symbol_date_cells,net_pnl_inr,annualized_return_pct,above12,event_floor_met,breadth_met,acceptance_candidate,uses_real_l2,uses_market_proxy_l2,uses_official_catalyst_events,uses_full_depth_1_5,uses_depth_2_5,l1_only_variant
P354_capacity_selected_events_NIFTYBEES_LB900_market_neutral_top5_fade,capacity_selected_events,NIFTYBEES,900,market_neutral_top5_fade,14,7,11,8,6,6,1701.7706064420217,24.505496732765113,1,0,1,0,1,1,1,1,0,0
P354_capacity_selected_events_NIFTYBEES_LB300_market_neutral_top5_fade,capacity_selected_events,NIFTYBEES,300,market_neutral_top5_fade,13,7,10,8,6,6,1601.200838218816,23.05729207035095,1,0,1,0,1,1,1,1,0,0
P354_capacity_selected_events_BANKBEES_LB300_market_neutral_top5_fade,capacity_selected_events,BANKBEES,300,market_neutral_top5_fade,13,7,9,7,5,5,1570.0182806544212,22.608263241423664,1,0,1,0,1,1,1,1,0,0
P354_capacity_selected_events_BANKBEES_LB900_market_neutral_top5_fade,capacity_selected_events,BANKBEES,900,market_neutral_top5_fade,13,7,9,7,5,5,1408.6338455928194,20.2843273765366,1,0,1,0,1,1,1,1,0,0
P354_lead_catalyst_categories_NIFTYBEES_LB900_market_stretched_deep_fade,lead_catalyst_categories,NIFTYBEES,900,market_stretched_deep_fade,2,2,2,1,1,1,-18.98040689600421,-0.9566125075586124,0,0,0,0,1,1,1,1,1,0
P354_lead_catalyst_categories_BANKBEES_LB300_market_stretched_deep_fade,lead_catalyst_categories,BANKBEES,300,market_stretched_deep_fade,2,2,2,1,1,1,-18.98040689600421,-0.9566125075586124,0,0,0,0,1,1,1,1,1,0
P354_lead_catalyst_categories_BANKBEES_LB900_market_stretched_deep_fade,lead_catalyst_categories,BANKBEES,900,market_stretched_deep_fade,2,2,2,1,1,1,-18.98040689600421,-0.9566125075586124,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_BANKBEES_LB300_market_stretched_deep_fade,all_official_catalyst_events,BANKBEES,300,market_stretched_deep_fade,3,2,3,1,1,1,-106.14615743439452,-5.349766334693484,0,0,0,0,1,1,1,1,1,0
P354_capacity_selected_events_BANKBEES_LB300_market_stretched_deep_fade,capacity_selected_events,BANKBEES,300,market_stretched_deep_fade,3,2,3,1,1,1,-106.14615743439452,-5.349766334693484,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_BANKBEES_LB900_market_stretched_deep_fade,all_official_catalyst_events,BANKBEES,900,market_stretched_deep_fade,3,3,3,1,1,1,-196.395646028407,-6.598893706554475,0,0,0,0,1,1,1,1,1,0
P354_capacity_selected_events_BANKBEES_LB900_market_stretched_deep_fade,capacity_selected_events,BANKBEES,900,market_stretched_deep_fade,3,3,3,1,1,1,-196.395646028407,-6.598893706554475,0,0,0,0,1,1,1,1,1,0
P354_lead_catalyst_categories_NIFTYBEES_LB300_market_stretched_deep_fade,lead_catalyst_categories,NIFTYBEES,300,market_stretched_deep_fade,3,3,3,1,1,1,-270.11344465920445,-9.075811740549272,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_NIFTYBEES_LB900_market_stretched_deep_fade,all_official_catalyst_events,NIFTYBEES,900,market_stretched_deep_fade,4,3,4,1,1,1,-283.56139656679727,-9.527662924644389,0,0,0,0,1,1,1,1,1,0
P354_capacity_selected_events_NIFTYBEES_LB900_market_stretched_deep_fade,capacity_selected_events,NIFTYBEES,900,market_stretched_deep_fade,4,3,4,1,1,1,-283.56139656679727,-9.527662924644389,0,0,0,0,1,1,1,1,1,0
P354_all_official_catalyst_events_NIFTYBEES_LB300_market_stretched_deep_fade,all_official_catalyst_events,NIFTYBEES,300,market_stretched_deep_fade,4,3,4,1,1,1,-357.2791951975948,-12.004580958639185,0,0,0,0,1,1,1,1,1,0
