scenario_id,trade_count,unique_trade_dates,gross_pnl_inr,zerodha_total_charges_inr,adverse_slippage_inr,net_pnl_inr,win_rate,avg_net_per_trade_inr,annualized_return_pct,max_daily_drawdown_inr,model_name,threshold,fixed_capital_inr,adverse_slippage_round_trip_bps
primary_threshold_0.50_cost200,309,21,2400.7137499999662,25515.085552991153,6133.43808742,-29247.809890411187,0.025889967637540454,-94.65310644146015,-350.9737186849343,-27203.073405217765,primary,0.5,100000.0,2.0
primary_threshold_0.52_cost200,251,21,1702.4173499998433,20724.98611166347,4981.856386920001,-24004.42514858363,0.02390438247011952,-95.63515995451645,-288.0531017830035,-22405.458021913186,primary,0.52,100000.0,2.0
primary_threshold_0.54_cost200,212,21,1221.5441499999288,17505.96445387388,4208.57977246,-20493.00007633395,0.02358490566037736,-96.66509469968844,-245.9160009160074,-19102.803595126465,primary,0.54,100000.0,2.0
primary_threshold_0.56_cost200,173,21,1590.5855499998434,14285.602159405398,3434.72162474,-16129.738234145556,0.028901734104046242,-93.23548112222865,-193.55685880974667,-15113.572992159163,primary,0.56,100000.0,2.0
primary_threshold_0.58_cost200,132,21,1643.738049999898,10898.695677534597,2620.5304734600004,-11875.488100994698,0.030303030303030304,-89.96581894692953,-142.5058572119364,-11135.27357646059,primary,0.58,100000.0,2.0
primary_threshold_0.60_cost200,91,21,1173.4551999997784,7516.024765971788,1806.7363360000002,-8149.30590197201,0.02197802197802198,-89.55281210958253,-97.79167082366413,-7668.367112937707,primary,0.6,100000.0,2.0
shuffled_threshold_0.50_cost200,309,21,-1537.8908500001708,25515.144632060154,6133.43808742,-33186.473569480324,0.012944983818770227,-107.39959083974215,-398.23768283376387,-30853.324958169804,shuffled,0.5,100000.0,2.0
shuffled_threshold_0.52_cost200,213,21,-1494.2333000001381,17588.428993621696,4228.16047642,-23310.82277004183,0.018779342723004695,-109.44048248845928,-279.72987324050195,-21744.72535428985,shuffled,0.52,100000.0,2.0
shuffled_threshold_0.54_cost200,139,21,-1017.3745000000054,11477.453823473876,2758.5472564600004,-15253.37557993388,0.007194244604316547,-109.73651496355309,-183.04050695920654,-14708.190362285866,shuffled,0.54,100000.0,2.0
shuffled_threshold_0.56_cost200,76,21,-373.84549999998126,6274.2165992851615,1507.5058215600002,-8155.567920845144,0.013157894736842105,-107.31010422164663,-97.86681505014172,-7881.722330175527,shuffled,0.56,100000.0,2.0
shuffled_threshold_0.58_cost200,46,21,-313.3019999999524,3797.180252434022,912.0904347799999,-5022.572687213976,0.021739130434782608,-109.18636276552121,-60.270872246567706,-4895.492410196475,shuffled,0.58,100000.0,2.0
shuffled_threshold_0.60_cost200,25,21,-167.97219999993104,2063.305555701697,494.808276,-2726.0860317016277,0.0,-109.04344126806511,-32.713032380419534,-2599.005754684127,shuffled,0.6,100000.0,2.0
l25_threshold_threshold_0.50_cost200,309,21,-787.0245499997691,25515.13336906565,6133.43808742,-32435.596006485423,0.009708737864077669,-104.9695663640305,-389.22715207782505,-29907.339468599977,l25_threshold,0.5,100000.0,2.0
l25_threshold_threshold_0.52_cost200,297,21,-834.5220499997376,24523.997387538846,5895.4228304200005,-31253.942267958588,0.010101010101010102,-105.23212884834541,-375.04730721550305,-28880.696706438015,l25_threshold,0.52,100000.0,2.0
l25_threshold_threshold_0.54_cost200,285,21,-711.5070499997528,23532.543041252567,5656.79475942,-29900.844850672318,0.010526315789473684,-104.91524509007832,-358.8101382080678,-27658.25929728058,l25_threshold,0.54,100000.0,2.0
l25_threshold_threshold_0.56_cost200,271,21,-957.357049999715,22375.94795893228,5378.55759492,-28711.862603851994,0.01107011070110701,-105.94783248653873,-344.542351246224,-26469.277050460252,l25_threshold,0.56,100000.0,2.0
l25_threshold_threshold_0.58_cost200,259,21,-907.9920499997243,21384.646747464027,5140.23737692,-27432.87617438375,0.011583011583011582,-105.91844082773649,-329.19451409260495,-25262.274353539477,l25_threshold,0.58,100000.0,2.0
l25_threshold_threshold_0.60_cost200,247,21,-1016.1345499997406,20394.372991780212,4901.96850542,-26312.47604719995,0.012145748987854251,-106.52824310607268,-315.7497125663994,-24217.26003197358,l25_threshold,0.6,100000.0,2.0
