phase219_model_fit_id,target_label,horizon_sec,split_role,threshold,candidate_score_rows,decision_events,activation_rate,row_level_prediction_export_allowed,test_rows_used
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_surprise_vol_expansion_conditional_label,1,train,0.55,52764,86,0.0016298991736790236,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_surprise_vol_expansion_conditional_label,1,train,0.6,52764,2,3.7904631946023805e-05,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_surprise_vol_expansion_conditional_label,1,train,0.65,52764,1,1.8952315973011903e-05,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_surprise_vol_expansion_conditional_label,1,train,0.7,52764,1,1.8952315973011903e-05,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_surprise_vol_expansion_conditional_label,1,validation,0.55,31457,12,0.0003814731220396096,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_surprise_vol_expansion_conditional_label,1,validation,0.6,31457,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_surprise_vol_expansion_conditional_label,1,validation,0.65,31457,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,event_surprise_vol_expansion_conditional_label,1,validation,0.7,31457,0,0.0,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_surprise_vol_expansion_conditional_label,5,train,0.55,25922,18835,0.7266028855798163,0,0
P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H5s,event_surprise_vol_expansion_conditional_label,5,train,0.6,25922,13899,0.5361854795154695,0,0
