phase221_candidate_id,phase219_model_fit_id,model_family,target_label,horizon_sec,split_role,threshold,latency_profile_id,control_name,decision_events,hit_rate,gross_label_payoff_bps_proxy_mean,cost_bound_bps_mean,net_after_cost_bps_proxy_mean,net_positive_event_fraction,test_rows_used,promotion_allowed,paper_or_live_acceptance_allowed,profitability_claim_allowed
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.55,P180_ZERO_LATENCY_CONTROL_DIAGNOSTIC_ONLY,shuffled_event_label_control,86,0.45348837209302323,-0.09302325581395349,12.15769431136695,-12.250717567180903,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.55,P180_RETAIL_MARKETABLE_DEFAULT,shuffled_event_label_control,86,0.45348837209302323,-0.09302325581395349,13.401025028079891,-13.494048283893845,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.55,P180_STRESSED_RETAIL,shuffled_event_label_control,86,0.45348837209302323,-0.09302325581395349,15.616749322634572,-15.709772578448526,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.6,P180_ZERO_LATENCY_CONTROL_DIAGNOSTIC_ONLY,shuffled_event_label_control,2,0.5,0.0,17.670714867604875,-17.670714867604875,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.6,P180_RETAIL_MARKETABLE_DEFAULT,shuffled_event_label_control,2,0.5,0.0,18.666737357579848,-18.666737357579848,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.6,P180_STRESSED_RETAIL,shuffled_event_label_control,2,0.5,0.0,22.013408564456043,-22.013408564456043,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.65,P180_ZERO_LATENCY_CONTROL_DIAGNOSTIC_ONLY,shuffled_event_label_control,1,0.0,-1.0,14.46870905596055,-15.46870905596055,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.65,P180_RETAIL_MARKETABLE_DEFAULT,shuffled_event_label_control,1,0.0,-1.0,15.76049844261895,-16.76049844261895,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.65,P180_STRESSED_RETAIL,shuffled_event_label_control,1,0.0,-1.0,18.602435093267484,-19.602435093267484,0.0,0,0,0,0
P221_CANDIDATE_01,P219_P218_EVENT_ONLY_TREE_STUMP_DIAGNOSTIC_event_surprise_vol_expansion_conditional_label_H1s,low_depth_tree_or_stump_diagnostic,event_surprise_vol_expansion_conditional_label,1,train,0.7,P180_ZERO_LATENCY_CONTROL_DIAGNOSTIC_ONLY,shuffled_event_label_control,1,0.0,-1.0,14.46870905596055,-15.46870905596055,0.0,0,0,0,0
