horizon_sec,trade_date,exchange,symbol,split_role,event_only_joined_rows,test_rows_used
1,2026-07-08,NSE,ADANIPORTS,train,0,0
1,2026-07-08,NSE,AXISBANK,train,0,0
1,2026-07-08,NSE,BAJAJ-AUTO,train,0,0
1,2026-07-08,NSE,BANKBEES,train,0,0
1,2026-07-08,NSE,BHARTIARTL,train,0,0
1,2026-07-08,NSE,BPCL,train,0,0
1,2026-07-08,NSE,BRITANNIA,train,0,0
1,2026-07-08,NSE,CIPLA,train,0,0
1,2026-07-08,NSE,DRREDDY,train,0,0
1,2026-07-08,NSE,GOLDBEES,train,0,0
1,2026-07-08,NSE,HCLTECH,train,0,0
1,2026-07-08,NSE,HDFCBANK,train,0,0
1,2026-07-08,NSE,HINDUNILVR,train,0,0
1,2026-07-08,NSE,ICICIBANK,train,0,0
1,2026-07-08,NSE,INFY,train,0,0
1,2026-07-08,NSE,ITBEES,train,0,0
1,2026-07-08,NSE,ITC,train,0,0
1,2026-07-08,NSE,JUNIORBEES,train,0,0
1,2026-07-08,NSE,KOTAKBANK,train,0,0
1,2026-07-08,NSE,LT,train,0,0
1,2026-07-08,NSE,M&M,train,0,0
1,2026-07-08,NSE,MARUTI,train,0,0
1,2026-07-08,NSE,NESTLEIND,train,0,0
1,2026-07-08,NSE,NIFTYBEES,train,0,0
1,2026-07-08,NSE,ONGC,train,0,0
1,2026-07-08,NSE,RELIANCE,train,0,0
1,2026-07-08,NSE,SBIN,train,0,0
1,2026-07-08,NSE,SUNPHARMA,train,0,0
1,2026-07-08,NSE,TCS,train,0,0
1,2026-07-08,NSE,TECHM,train,0,0
1,2026-07-08,NSE,ULTRACEMCO,train,0,0
1,2026-07-08,NSE,WIPRO,train,0,0
1,2026-07-09,NSE,ADANIPORTS,train,509,0
1,2026-07-09,NSE,AXISBANK,train,529,0
1,2026-07-09,NSE,BAJAJ-AUTO,train,328,0
1,2026-07-09,NSE,BANKBEES,train,855,0
1,2026-07-09,NSE,BHARTIARTL,train,960,0
1,2026-07-09,NSE,BPCL,train,365,0
1,2026-07-09,NSE,BRITANNIA,train,909,0
1,2026-07-09,NSE,CIPLA,train,421,0
1,2026-07-09,NSE,DRREDDY,train,5218,0
1,2026-07-09,NSE,GOLDBEES,train,590,0
1,2026-07-09,NSE,HCLTECH,train,1575,0
1,2026-07-09,NSE,HDFCBANK,train,866,0
1,2026-07-09,NSE,HINDUNILVR,train,659,0
1,2026-07-09,NSE,ICICIBANK,train,822,0
1,2026-07-09,NSE,INFY,train,541,0
1,2026-07-09,NSE,ITBEES,train,705,0
1,2026-07-09,NSE,ITC,train,789,0
1,2026-07-09,NSE,JUNIORBEES,train,815,0
1,2026-07-09,NSE,KOTAKBANK,train,760,0
1,2026-07-09,NSE,LT,train,805,0
1,2026-07-09,NSE,M&M,train,592,0
1,2026-07-09,NSE,MARUTI,train,729,0
1,2026-07-09,NSE,NESTLEIND,train,287,0
1,2026-07-09,NSE,NIFTYBEES,train,657,0
1,2026-07-09,NSE,ONGC,train,543,0
