gate_id,passed,observed_value,required_value,severity
P458_PHASE457_PRECOMMIT_USED,True,1,1,hard
P458_REQUIRED_FILES_PRESENT,True,30,30,hard
P458_DELAYED_METRICS_PRESENT,True,640,>0,hard
P458_NOT_FIRST_WINDOW,True,window_start_row=5000,not_first_window,hard
P458_LOW_TURNOVER_CAP_APPLIED,True,max_one_event_per_target_date,applied,hard
P458_CROSS_ASSET_SOURCE_USED,True,NIFTYBEES;BANKBEES;ITBEES,etf_proxies,hard
P458_FULL_DEPTH_L2_L5_PRIMARY,True,ETF and target L2-L5 pressure used,levels_2_to_5,hard
P458_COMPLETED_ROUND_TRIPS_GE_30,True,146,>=30,hard
P458_DATE_BREADTH_GE_5,True,64,>=5,hard
P458_SYMBOL_BREADTH_GE_3,True,3,>=3,hard
P458_POSITIVE_DATE_FRACTION_GE_0_60,False,0.0,>=0.60,hard
P458_ANNUALIZED_GE_12_COST200,False,-9.495752514558031,>=12.0,hard
P458_TIME_SHIFT_NOT_DOMINANT,False,primary=-24116.1968623696;shift=-23785.8080896416,primary_gt_shift,hard
P458_SIDE_FLIP_NOT_DOMINANT,False,primary=-24116.1968623696;side_flip=-24116.1968623696,primary_gt_side_flip,hard
P458_TARGET_ONLY_NOT_DOMINANT,True,primary=-24116.1968623696;target_only=-73665.3896771728,primary_gt_target_only,hard
P458_ETF_L1_ONLY_NOT_DOMINANT,False,primary=-24116.1968623696;etf_l1=-24116.1968623696,primary_gt_etf_l1,hard
P458_COST200_FIXED_CAPITAL,True,cost=2.0;capital=1000000.0;notional=100000.0,cost200_fixed_capital,hard
P458_NO_PROMOTION_PAPER_LIVE,True,promotion=0;paper_live=0;claim=0,all_zero,hard
