trade_date,exchange,symbol,source_1s_rows,raw_parquet_files
2026-07-17,NSE,ADANIPORTS,9788,1587
2026-07-17,NSE,AXISBANK,15187,1587
2026-07-17,NSE,BAJAJ-AUTO,16014,1587
2026-07-17,NSE,BANKBEES,12160,1587
2026-07-17,NSE,BHARTIARTL,11307,1587
2026-07-17,NSE,BPCL,7766,1587
2026-07-17,NSE,BRITANNIA,6408,1587
2026-07-17,NSE,CIPLA,9665,1588
2026-07-17,NSE,DRREDDY,9658,1587
2026-07-17,NSE,GOLDBEES,9591,1587
2026-07-17,NSE,HCLTECH,11264,1587
2026-07-17,NSE,HDFCBANK,16885,1587
2026-07-17,NSE,HINDUNILVR,10211,1587
2026-07-17,NSE,ICICIBANK,15199,1587
2026-07-17,NSE,INFY,15746,1587
2026-07-17,NSE,ITBEES,7084,1587
2026-07-17,NSE,ITC,16719,1588
2026-07-17,NSE,JUNIORBEES,14291,1587
2026-07-17,NSE,KOTAKBANK,12686,1587
2026-07-17,NSE,LT,14368,1588
2026-07-17,NSE,M&M,13089,1587
2026-07-17,NSE,MARUTI,12478,1587
2026-07-17,NSE,NESTLEIND,9219,1587
2026-07-17,NSE,NIFTYBEES,12712,1587
2026-07-17,NSE,ONGC,10037,1587
2026-07-17,NSE,RELIANCE,14957,1587
2026-07-17,NSE,SBIN,14058,1587
2026-07-17,NSE,SUNPHARMA,12336,1587
2026-07-17,NSE,TCS,16592,1587
2026-07-17,NSE,TECHM,15841,1587
2026-07-17,NSE,ULTRACEMCO,8714,1587
2026-07-17,NSE,WIPRO,13263,1587
