feature_id,quality_gate_id,gate_definition,minimum_required,failure_action
P175_RECEIVE_EVENT_RATE_ZSCORE,P175_RECEIVE_EVENT_RATE_ZSCORE_COVERAGE,"train and test coverage must be reported by date, symbol and horizon before any strategy precommit",>=5 ready dates and >=30 symbols/date,do_not_activate_feature
P175_RECEIVE_EVENT_RATE_ZSCORE,P175_RECEIVE_EVENT_RATE_ZSCORE_LEAKAGE,feature timestamp must be <= label/signal decision timestamp; train-fitted transforms only,zero known future-leakage rows,block_feature_family_and_emit_leakage_ledger
P175_QUOTE_CHURN_RATE,P175_QUOTE_CHURN_RATE_COVERAGE,"train and test coverage must be reported by date, symbol and horizon before any strategy precommit",>=5 ready dates and >=30 symbols/date,do_not_activate_feature
P175_QUOTE_CHURN_RATE,P175_QUOTE_CHURN_RATE_LEAKAGE,feature timestamp must be <= label/signal decision timestamp; train-fitted transforms only,zero known future-leakage rows,block_feature_family_and_emit_leakage_ledger
P175_DEPTH_REFRESH_INTENSITY,P175_DEPTH_REFRESH_INTENSITY_COVERAGE,"train and test coverage must be reported by date, symbol and horizon before any strategy precommit",>=5 ready dates and >=30 symbols/date,do_not_activate_feature
P175_DEPTH_REFRESH_INTENSITY,P175_DEPTH_REFRESH_INTENSITY_LEAKAGE,feature timestamp must be <= label/signal decision timestamp; train-fitted transforms only,zero known future-leakage rows,block_feature_family_and_emit_leakage_ledger
P175_STALE_QUOTE_DURATION,P175_STALE_QUOTE_DURATION_COVERAGE,"train and test coverage must be reported by date, symbol and horizon before any strategy precommit",>=5 ready dates and >=30 symbols/date,do_not_activate_feature
P175_STALE_QUOTE_DURATION,P175_STALE_QUOTE_DURATION_LEAKAGE,feature timestamp must be <= label/signal decision timestamp; train-fitted transforms only,zero known future-leakage rows,block_feature_family_and_emit_leakage_ledger
P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_COVERAGE,"train and test coverage must be reported by date, symbol and horizon before any strategy precommit",>=5 ready dates and >=30 symbols/date,do_not_activate_feature
P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY,P175_CROSS_SYMBOL_ARRIVAL_SYNCHRONY_LEAKAGE,feature timestamp must be <= label/signal decision timestamp; train-fitted transforms only,zero known future-leakage rows,block_feature_family_and_emit_leakage_ledger
P175_RECEIVE_FLOW_REGIME_STATE,P175_RECEIVE_FLOW_REGIME_STATE_COVERAGE,"train and test coverage must be reported by date, symbol and horizon before any strategy precommit",>=5 ready dates and >=30 symbols/date,do_not_activate_feature
P175_RECEIVE_FLOW_REGIME_STATE,P175_RECEIVE_FLOW_REGIME_STATE_LEAKAGE,feature timestamp must be <= label/signal decision timestamp; train-fitted transforms only,zero known future-leakage rows,block_feature_family_and_emit_leakage_ledger
