quarter_profile,scenario_day,trade_date,regime_code,symbol,open,high,low,close,bars,shock_bars,mean_spread_multiplier,mean_depth_multiplier,daily_return,high_low_range
Q-A,1,2026-07-14,D04,ADANIPORTS,1814.399999998349,1866.5999999983012,1811.2999999983517,1842.3999999983234,75,0,1.0,1.0,0.015432098765432167,0.030530558162645605
Q-A,1,2026-07-14,D04,AXISBANK,1318.3999999988002,1364.2999999987585,1316.399999998802,1347.4999999987738,75,0,1.0,1.0,0.022072208737864196,0.03638711637800052
Q-A,1,2026-07-14,D04,BAJAJ-AUTO,10276.5,10587.5,10254.5,10469.0,75,0,1.0,1.0,0.01873205858025595,0.03247354819835202
Q-A,1,2026-07-14,D04,BANKBEES,599.76,611.34,598.89,604.89,75,0,1.0,1.0,0.00855342136854742,0.020788458648499875
Q-A,1,2026-07-14,D04,BHARTIARTL,1903.3999999982677,1956.1999999982197,1901.0999999982698,1930.8999999982427,75,0,1.0,1.0,0.014447830198591971,0.028983220240913266
Q-A,1,2026-07-14,D04,BPCL,306.1499999997214,314.54999999971375,305.449999999722,310.5499999997174,75,0,1.0,1.0,0.014372039849746887,0.02979211000163695
Q-A,1,2026-07-14,D04,BRITANNIA,5354.0,5514.5,5353.0,5456.5,75,0,1.0,1.0,0.019144564811355957,0.030169998131888587
Q-A,1,2026-07-14,D04,CIPLA,1428.4999999987,1469.3999999986627,1425.299999998703,1449.6999999986806,75,0,1.0,1.0,0.014840742037101728,0.030940854556935182
Q-A,1,2026-07-14,D04,DRREDDY,1233.4999999988775,1263.79999999885,1231.699999998879,1251.0999999988614,75,0,1.0,1.0,0.0142683421159302,0.026061540959649188
Q-A,1,2026-07-14,D04,GOLDBEES,116.8,120.0,116.60000000000001,119.01,75,0,1.0,1.0,0.018921232876712324,0.029159519725557415
Q-A,1,2026-07-14,D04,HCLTECH,1219.59999999889,1257.2999999988558,1217.7999999988917,1236.8999999988744,75,0,1.0,1.0,0.014184978681534899,0.03243553949745448
Q-A,1,2026-07-14,D04,HDFCBANK,817.3499999992562,845.5999999992305,815.4999999992579,835.7499999992394,75,0,1.0,1.0,0.02251177586101427,0.036909871244635184
Q-A,1,2026-07-14,D04,HINDUNILVR,2127.099999998064,2182.5999999980136,2125.6999999980653,2168.699999998026,75,0,1.0,1.0,0.019557143528748044,0.026767653008420877
Q-A,1,2026-07-14,D04,ICICIBANK,1405.1999999987213,1452.1999999986783,1402.0999999987241,1437.199999998692,75,0,1.0,1.0,0.022772559066325027,0.03573211611154692
Q-A,1,2026-07-14,D04,INFY,1101.0999999989979,1140.2999999989622,1099.3999999989994,1124.1999999989769,75,0,1.0,1.0,0.020979020979021046,0.03720211024195019
Q-A,1,2026-07-14,D04,ITBEES,32.13,32.64,32.04,32.29,75,0,1.0,1.0,0.004979769685651947,0.01872659176029967
Q-A,1,2026-07-14,D04,ITC,280.2999999997449,287.3499999997385,280.199999999745,284.74999999974085,75,0,1.0,1.0,0.015875847306457302,0.025517487508922132
Q-A,1,2026-07-14,D04,JUNIORBEES,777.0,793.52,776.47,786.9,75,0,1.0,1.0,0.012741312741312738,0.02195834996844681
Q-A,1,2026-07-14,D04,KOTAKBANK,379.2999999996548,391.8499999996434,378.0999999996559,387.1999999996476,75,0,1.0,1.0,0.020827840759293448,0.03636604072996574
Q-A,1,2026-07-14,D04,LT,3927.399999996426,4036.2999999963267,3920.0999999964324,3978.799999996379,75,0,1.0,1.0,0.013087538829760215,0.02964210096681219
Q-A,1,2026-07-14,D04,M&M,3150.199999997133,3249.7999999970425,3143.499999997139,3222.699999997067,75,0,1.0,1.0,0.02301441178337882,0.03381581040241777
Q-A,1,2026-07-14,D04,MARUTI,13720.0,14191.0,13695.0,14033.0,75,0,1.0,1.0,0.02281341107871726,0.03621759766338073
Q-A,1,2026-07-14,D04,NESTLEIND,1434.0999999986948,1472.9999999986594,1433.899999998695,1455.0999999986757,75,0,1.0,1.0,0.014643330311693736,0.027268289280981906
Q-A,1,2026-07-14,D04,NIFTYBEES,274.89,281.45,274.74,279.7,75,0,1.0,1.0,0.017497908254210826,0.024423090922326418
Q-A,1,2026-07-14,D04,ONGC,246.98000000000002,254.48000000000002,246.41,251.43,75,0,1.0,1.0,0.018017653251275467,0.03275029422507214
Q-A,1,2026-07-14,D04,RELIANCE,1299.6999999988172,1337.4999999987829,1296.69999999882,1318.4999999988001,75,0,1.0,1.0,0.014464876509963753,0.03146448677411895
Q-A,1,2026-07-14,D04,SBIN,1036.5999999990565,1074.9999999990216,1034.2999999990586,1063.599999999032,75,0,1.0,1.0,0.026046691105537256,0.03935028521705508
Q-A,1,2026-07-14,D04,SUNPHARMA,1925.8999999982473,1974.2999999982032,1922.1999999982506,1956.0999999982198,75,0,1.0,1.0,0.01568098032088905,0.027104359587972082
Q-A,1,2026-07-14,D04,TCS,2180.799999998015,2244.0999999979576,2176.9999999980187,2218.6999999979807,75,0,1.0,1.0,0.01737894350697,0.030822232429949414
Q-A,1,2026-07-14,D04,TECHM,1505.39999999863,1552.499999998587,1502.5999999986325,1535.8999999986022,75,0,1.0,1.0,0.020260395908064277,0.03320910421935319
