gate_id,passed,observed_value,required_value,severity
P331_PHASE330_COMPLETE,True,1,1,hard
P331_PHASE330_MATRIX_BREADTH,True,1600,1600,hard
P331_PHASE330_TARGET_SEPARATION,True,0,0,hard
P331_PHASE330_DEPTH_COLUMNS_PRESENT,True,23,>=20,hard
P331_FAMILY_CATALOG_PRESENT,True,15,>=15,hard
P331_ALL_FAMILIES_USE_DEPTH_BEYOND_L1,True,15/15,all,hard
P331_SEARCH_GRID_PRESENT,True,69120,>0,hard
P331_COST200_PRESENT,True,17280,>0,hard
P331_PASSIVE_AWARE_ROWS_PRESENT,True,34560,>0,hard
P331_FIXED_CAPITAL_PRESENT,True,present,present,hard
P331_PASSIVE_REALISM_PENALTIES_PRESENT,True,fill+adverse+flatten,present,hard
P331_WORK_ORDER_PRESENT,True,10,>=10,hard
P331_NO_STRATEGY_SEARCH_EXECUTED_NOW,True,phase331_execution_now=0,0,hard
P331_BOUNDARIES_CLOSED,True,replay=0;promotion=0;paper=0;claim=0,all_zero,hard
