family_id,signal_formula,required_live_feature_columns,target_columns,uses_depth_beyond_l1,description
P331_DEPTH_PRESSURE_CONTINUATION,sign(event_depth_l2_l5_pressure),event_depth_l2_l5_pressure,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Follow depth-beyond-L1 pressure after catalyst events.
P331_DEPTH_PRESSURE_REVERSAL,-sign(event_depth_l2_l5_pressure),event_depth_l2_l5_pressure,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Fade depth-beyond-L1 pressure after catalyst events.
P331_DEPTH_ACCEL_CONTINUATION,sign(event_depth_l2_l5_pressure - pre300_depth_l2_l5_pressure_avg),event_depth_l2_l5_pressure;pre300_depth_l2_l5_pressure_avg,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Follow event-time acceleration versus pre-event depth-beyond-L1 pressure.
P331_DEPTH_ACCEL_REVERSAL,-sign(event_depth_l2_l5_pressure - pre300_depth_l2_l5_pressure_avg),event_depth_l2_l5_pressure;pre300_depth_l2_l5_pressure_avg,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Fade event-time acceleration versus pre-event depth-beyond-L1 pressure.
P331_QTY_IMBALANCE_CONTINUATION,sign(event_depth_l2_l5_qty_imbalance),event_depth_l2_l5_qty_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Follow levels 2-5 quantity imbalance.
P331_QTY_IMBALANCE_REVERSAL,-sign(event_depth_l2_l5_qty_imbalance),event_depth_l2_l5_qty_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Fade levels 2-5 quantity imbalance.
P331_ORDER_IMBALANCE_CONTINUATION,sign(event_depth_l2_l5_order_imbalance),event_depth_l2_l5_order_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Follow order-count imbalance across levels 2-5.
P331_ORDER_IMBALANCE_REVERSAL,-sign(event_depth_l2_l5_order_imbalance),event_depth_l2_l5_order_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Fade order-count imbalance across levels 2-5.
P331_MICROPRICE_DEPTH_CONFIRM,sign(pre300_microprice_minus_mid_avg) when same sign as event_depth_l2_l5_qty_imbalance,pre300_microprice_minus_mid_avg;event_depth_l2_l5_qty_imbalance,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Require top-of-book microprice and depth-beyond-L1 quantity imbalance to agree.
P331_PRE900_TO_EVENT_PRESSURE_SHIFT,sign(event_depth_l2_l5_pressure - pre900_depth_l2_l5_pressure_avg),event_depth_l2_l5_pressure;pre900_depth_l2_l5_pressure_avg,target_post_300s_mid_return_bps;target_post_1800s_mid_return_bps,1,Trade pressure shifts from long pre-event context into event time.
P331_DEPTH_SHARE_COMPRESSION_REVERSAL,-sign(event_l2_l5_depth_share - pre300_l2_l5_depth_share_avg),event_l2_l5_depth_share;pre300_l2_l5_depth_share_avg,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Fade sudden displayed-depth compression beyond L1.
P331_DEPTH_SHARE_EXPANSION_CONTINUATION,sign(event_l2_l5_depth_share - pre300_l2_l5_depth_share_avg),event_l2_l5_depth_share;pre300_l2_l5_depth_share_avg,target_post_300s_mid_return_bps;target_post_900s_mid_return_bps,1,Follow sudden displayed-depth expansion beyond L1.
P331_SPREAD_ADJUSTED_PRESSURE_CONTINUATION,sign(event_depth_pressure),event_depth_pressure;event_l1_spread,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Follow spread-adjusted full visible-depth pressure.
P331_SPREAD_ADJUSTED_PRESSURE_REVERSAL,-sign(event_depth_pressure),event_depth_pressure;event_l1_spread,target_post_60s_mid_return_bps;target_post_300s_mid_return_bps,1,Fade spread-adjusted full visible-depth pressure.
P331_DEPTH_PRESSURE_TARGET_SHIFT,sign(pre300_depth_l2_l5_pressure_avg),pre300_depth_l2_l5_pressure_avg,target_post_300s_depth_pressure_shift,1,Use pre-event L2-L5 pressure to predict subsequent liquidity-pressure shift.
