sampled_rows,trade_dates,min_trade_date,max_trade_date,avg_spread_bps,avg_abs_top5_imbalance,avg_abs_beyond_l1_imbalance,avg_abs_microprice_dev_l5,trade_month,symbol,file_path,sample_stride
63686,22,2026-01-01,2026-01-30,1.4476811539616457,0.5725319932577684,0.572531926620757,0.00012565672836202963,2026-01,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,256
57921,20,2026-02-02,2026-02-27,1.556607217213451,0.5720769975928819,0.5720743366423527,0.00012878144643813344,2026-02,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,256
63686,22,2026-03-02,2026-03-31,1.416769605578159,0.572564339492973,0.5725664632686227,0.00012497449434519282,2026-03,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet,256
63624,22,2026-04-01,2026-04-30,1.5693323101174823,0.5719855865822897,0.5719824713240984,0.00012864624831523762,2026-04,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-04\symbol=HDFCBANK\part-00000.parquet,256
60804,21,2026-05-01,2026-05-29,1.5722424884907373,0.5724888686724428,0.572487722427081,0.00012937349368188043,2026-05,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-05\symbol=HDFCBANK\part-00000.parquet,256
63515,22,2026-06-01,2026-06-30,1.6695466821987894,0.5724701133697171,0.5724681934002984,0.00013233148096042507,2026-06,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-06\symbol=HDFCBANK\part-00000.parquet,256
66529,23,2026-07-01,2026-07-31,1.4390494253705959,0.5725022876378685,0.5725037448159143,0.0001258068783159638,2026-07,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-07\symbol=HDFCBANK\part-00000.parquet,256
60749,21,2026-08-03,2026-08-31,1.6192582219806382,0.5721498124747749,0.5721460514945312,0.00013037871195346266,2026-08,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-08\symbol=HDFCBANK\part-00000.parquet,256
63593,22,2026-09-01,2026-09-30,1.7391112959562915,0.5728286816586096,0.5728275968128762,0.00013467718506611286,2026-09,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-09\symbol=HDFCBANK\part-00000.parquet,256
63624,22,2026-10-01,2026-10-30,1.2720251503658477,0.5721479693516803,0.5721487648480186,0.00012027275449510305,2026-10,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-10\symbol=HDFCBANK\part-00000.parquet,256
60881,21,2026-11-02,2026-11-30,1.5110094135756793,0.5721720943660155,0.5721688372137846,0.00012746505030795114,2026-11,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-11\symbol=HDFCBANK\part-00000.parquet,256
40520,14,2026-12-01,2026-12-18,1.528264392408104,0.5726845308685777,0.5726886547818656,0.00012821462332437012,2026-12,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-12\symbol=HDFCBANK\part-00000.parquet,256
