trade_month,symbol,path,exists
2026-01,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=NIFTYBEES\part-00000.parquet,1
2026-01,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=BANKBEES\part-00000.parquet,1
2026-01,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ITBEES\part-00000.parquet,1
2026-01,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=AXISBANK\part-00000.parquet,1
2026-01,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HDFCBANK\part-00000.parquet,1
2026-01,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=ICICIBANK\part-00000.parquet,1
2026-01,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=INFY\part-00000.parquet,1
2026-01,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=HCLTECH\part-00000.parquet,1
2026-01,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=TCS\part-00000.parquet,1
2026-01,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-01\symbol=RELIANCE\part-00000.parquet,1
2026-02,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=NIFTYBEES\part-00000.parquet,1
2026-02,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=BANKBEES\part-00000.parquet,1
2026-02,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ITBEES\part-00000.parquet,1
2026-02,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=AXISBANK\part-00000.parquet,1
2026-02,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HDFCBANK\part-00000.parquet,1
2026-02,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=ICICIBANK\part-00000.parquet,1
2026-02,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=INFY\part-00000.parquet,1
2026-02,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=HCLTECH\part-00000.parquet,1
2026-02,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=TCS\part-00000.parquet,1
2026-02,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-02\symbol=RELIANCE\part-00000.parquet,1
2026-03,NIFTYBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=NIFTYBEES\part-00000.parquet,1
2026-03,BANKBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=BANKBEES\part-00000.parquet,1
2026-03,ITBEES,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ITBEES\part-00000.parquet,1
2026-03,AXISBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=AXISBANK\part-00000.parquet,1
2026-03,HDFCBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HDFCBANK\part-00000.parquet,1
2026-03,ICICIBANK,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=ICICIBANK\part-00000.parquet,1
2026-03,INFY,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=INFY\part-00000.parquet,1
2026-03,HCLTECH,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=HCLTECH\part-00000.parquet,1
2026-03,TCS,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=TCS\part-00000.parquet,1
2026-03,RELIANCE,raw_synthetic_l2_dense_full_year\trade_month=2026-03\symbol=RELIANCE\part-00000.parquet,1
