scope,shock_type,variant,events,median_abs_jump_bps,median_volatility_multiplier,median_spread_multiplier
market,broad_risk_off,continuation,10,115.5985,5.6718,2.97775
market,broad_risk_off,negative_shock,10,147.94965000000002,3.8501000000000003,3.3758999999999997
market,broad_risk_off,no_shock,10,0.0,1.0,1.0
market,broad_risk_off,positive_shock,10,137.10675,5.32175,2.5968
market,broad_risk_off,quick_recovery,10,160.8774,4.981199999999999,3.2422
market,global_overnight_gap,continuation,2,55.042100000000005,3.6098,1.25495
market,global_overnight_gap,negative_shock,2,76.68305000000001,3.2163,2.0441000000000003
market,global_overnight_gap,no_shock,2,0.0,1.0,1.0
market,global_overnight_gap,positive_shock,2,32.33315,2.3741,1.8740999999999999
market,global_overnight_gap,quick_recovery,2,68.286,3.0321,1.76845
market,global_overnight_gap_fade,continuation,1,44.5217,2.7466,2.1934
market,global_overnight_gap_fade,negative_shock,1,107.2043,2.1799,1.7956
market,global_overnight_gap_fade,no_shock,1,0.0,1.0,1.0
market,global_overnight_gap_fade,positive_shock,1,57.1913,1.908,1.8212
market,global_overnight_gap_fade,quick_recovery,1,91.0382,3.2229,1.775
market,liquidity_stress_episode,continuation,1,22.0169,3.2488,4.632
market,liquidity_stress_episode,negative_shock,1,35.3185,3.1513,4.8538
market,liquidity_stress_episode,no_shock,1,0.0,1.0,1.0
market,liquidity_stress_episode,positive_shock,1,49.7915,2.5821,2.8644
market,liquidity_stress_episode,quick_recovery,1,78.6729,3.4376,4.555
market,relief_rally,continuation,3,100.6421,3.0322,2.0432
market,relief_rally,negative_shock,3,102.7058,3.5996,1.7481
market,relief_rally,no_shock,3,0.0,1.0,1.0
market,relief_rally,positive_shock,3,33.2488,3.6421,1.7811
market,relief_rally,quick_recovery,3,82.2475,3.7125,1.5611
market,scheduled_event_decision,continuation,15,58.7402,3.6176,2.5441
market,scheduled_event_decision,negative_shock,15,72.7551,2.9577,2.3529
market,scheduled_event_decision,no_shock,15,0.0,1.0,1.0
market,scheduled_event_decision,positive_shock,15,48.6814,3.416,2.0873
market,scheduled_event_decision,quick_recovery,15,82.6341,3.2938,2.1391
market,shock_and_normalize,continuation,4,157.25535000000002,5.0985499999999995,3.5180499999999997
market,shock_and_normalize,negative_shock,4,160.46305,4.36175,2.47445
market,shock_and_normalize,no_shock,4,0.0,1.0,1.0
market,shock_and_normalize,positive_shock,4,101.40225000000001,4.5835,3.1132
market,shock_and_normalize,quick_recovery,4,78.94275,3.87695,3.0787000000000004
market,sudden_macro_surprise,continuation,4,52.0475,2.84,1.7132
market,sudden_macro_surprise,negative_shock,4,29.98725,2.0244999999999997,2.03355
market,sudden_macro_surprise,no_shock,4,0.0,1.0,1.0
market,sudden_macro_surprise,positive_shock,4,58.842699999999994,2.1427,2.1741
market,sudden_macro_surprise,quick_recovery,4,51.622749999999996,2.1807,2.0343
ticker,block_volume_burst,continuation,32,118.05369999999999,4.34285,2.60175
ticker,block_volume_burst,negative_shock,32,102.43115,3.97205,2.7298
ticker,block_volume_burst,positive_shock,32,127.03905,3.8946,2.6691000000000003
ticker,block_volume_burst,quick_recovery,32,147.2514,3.7100999999999997,2.78655
ticker,earnings_beat,continuation,39,111.7744,3.5771,2.5612
ticker,earnings_beat,negative_shock,39,106.1,3.6822,2.7819
ticker,earnings_beat,positive_shock,39,116.0038,4.2672,2.7104
ticker,earnings_beat,quick_recovery,39,112.2439,3.7101,2.6109
ticker,earnings_miss,continuation,41,90.6797,3.6899,2.707
ticker,earnings_miss,negative_shock,41,89.9103,3.562,2.5476
ticker,earnings_miss,positive_shock,41,114.4614,3.887,2.8352
ticker,earnings_miss,quick_recovery,41,93.534,3.7821,2.8047
ticker,false_breakout_depth_withdrawal,continuation,35,91.9445,3.9563,2.9131
ticker,false_breakout_depth_withdrawal,negative_shock,35,112.8148,4.0099,2.4747
ticker,false_breakout_depth_withdrawal,positive_shock,35,140.8607,4.2161,2.7485
ticker,false_breakout_depth_withdrawal,quick_recovery,35,107.9998,3.5338,2.5242
ticker,guidance_change,continuation,40,100.74889999999999,3.80555,2.5545999999999998
ticker,guidance_change,negative_shock,40,100.01265000000001,3.8171,2.8916500000000003
ticker,guidance_change,positive_shock,40,92.13419999999999,3.6923500000000002,2.81245
ticker,guidance_change,quick_recovery,40,97.28005,3.8693,2.46335
ticker,headline_rumor_reversal,continuation,34,102.94614999999999,3.6250999999999998,2.621
ticker,headline_rumor_reversal,negative_shock,34,100.16305,3.69345,2.6281499999999998
ticker,headline_rumor_reversal,positive_shock,34,83.86155,4.0134,2.9491500000000004
ticker,headline_rumor_reversal,quick_recovery,34,97.97794999999999,4.43915,2.6643
ticker,liquidity_disappearance,continuation,34,125.1343,3.4939,2.68335
ticker,liquidity_disappearance,negative_shock,34,105.7359,3.856,2.7093499999999997
ticker,liquidity_disappearance,positive_shock,34,127.8624,3.90235,3.0343999999999998
ticker,liquidity_disappearance,quick_recovery,34,104.55930000000001,3.76985,2.78055
ticker,regulatory_action,continuation,35,93.333,3.6551,2.914
ticker,regulatory_action,negative_shock,35,105.0962,3.6242,2.6292
ticker,regulatory_action,positive_shock,35,111.5452,3.6659,3.0997
ticker,regulatory_action,quick_recovery,35,97.0417,3.6771,2.6945
ticker,sharp_move_absorption,continuation,36,104.526,3.79345,2.81415
ticker,sharp_move_absorption,negative_shock,36,101.43395,3.9561,2.67675
ticker,sharp_move_absorption,positive_shock,36,127.62835,3.95805,2.70245
ticker,sharp_move_absorption,quick_recovery,36,120.44775,3.918,3.09455
