feature_id,feature_family,split_role,rows_scanned,candidate_columns,present_column_count,required_column_count,min_usable_rows_any_column,feature_available_for_future_search,test_rows_used
P197_TIME_OF_DAY_CONTEXT,intraday_time_context,train,1079615,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist,3,3,1079615,1,0
P197_TIME_OF_DAY_CONTEXT,intraday_time_context,unassigned,1133776,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist,3,3,1133776,1,0
P197_TIME_OF_DAY_CONTEXT,intraday_time_context,validation,561386,seconds_from_open_ist;time_of_day_sin_ist;time_of_day_cos_ist,3,3,561386,1,0
P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,train,1079615,symbol_train_spread_bps_median;symbol_train_receive_event_count_median;relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median,4,4,1079615,1,0
P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,unassigned,1133776,symbol_train_spread_bps_median;symbol_train_receive_event_count_median;relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median,4,4,1133776,1,0
P197_SYMBOL_LIQUIDITY_REGIME,symbol_liquidity_regime,validation,561386,symbol_train_spread_bps_median;symbol_train_receive_event_count_median;relative_spread_to_symbol_train_median;relative_receive_count_to_symbol_train_median,4,4,561386,1,0
P197_MARKET_CONTEXT_LAGGED,lagged_market_context,train,1079615,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share,5,5,1079524,1,0
P197_MARKET_CONTEXT_LAGGED,lagged_market_context,unassigned,1133776,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share,5,5,1133722,1,0
P197_MARKET_CONTEXT_LAGGED,lagged_market_context,validation,561386,prior_market_active_symbol_count;prior_market_median_spread_bps;prior_market_median_top5_imbalance;prior_market_receive_event_count_sum;prior_market_cross_symbol_arrival_share,5,5,561359,1,0
P197_ASSET_CLASS_PROXY,instrument_context,train,1079615,asset_class_proxy,1,1,1079615,1,0
P197_ASSET_CLASS_PROXY,instrument_context,unassigned,1133776,asset_class_proxy,1,1,1133776,1,0
P197_ASSET_CLASS_PROXY,instrument_context,validation,561386,asset_class_proxy,1,1,561386,1,0
P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,train,1079615,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms,4,4,1079615,1,0
P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,unassigned,1133776,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms,4,4,1133776,1,0
P197_MICROSTRUCTURE_TRANSFORMS,nonlinear_microstructure_context,validation,561386,spread_bps;quote_churn_log;depth_refresh_log;stale_quote_log_ms,4,4,561386,1,0
