horizon_sec,trade_date,exchange,symbol,split_role,rows_joined,used_in_phase184,used_in_phase197_feature_precommit
1,2026-07-08,NSE,ADANIPORTS,train,3617,1,1
1,2026-07-08,NSE,AXISBANK,train,5829,1,1
1,2026-07-08,NSE,BAJAJ-AUTO,train,3323,1,1
1,2026-07-08,NSE,BANKBEES,train,5645,1,1
1,2026-07-08,NSE,BHARTIARTL,train,3952,1,1
1,2026-07-08,NSE,BPCL,train,2852,1,1
1,2026-07-08,NSE,BRITANNIA,train,2151,1,1
1,2026-07-08,NSE,CIPLA,train,2953,1,1
1,2026-07-08,NSE,DRREDDY,train,2935,1,1
1,2026-07-08,NSE,GOLDBEES,train,4078,1,1
1,2026-07-08,NSE,HCLTECH,train,2706,1,1
1,2026-07-08,NSE,HDFCBANK,train,6816,1,1
1,2026-07-08,NSE,HINDUNILVR,train,3470,1,1
1,2026-07-08,NSE,ICICIBANK,train,6210,1,1
1,2026-07-08,NSE,INFY,train,5152,1,1
1,2026-07-08,NSE,ITBEES,train,2355,1,1
1,2026-07-08,NSE,ITC,train,4271,1,1
1,2026-07-08,NSE,JUNIORBEES,train,5241,1,1
1,2026-07-08,NSE,KOTAKBANK,train,4944,1,1
1,2026-07-08,NSE,LT,train,6328,1,1
1,2026-07-08,NSE,M&M,train,6037,1,1
1,2026-07-08,NSE,MARUTI,train,4917,1,1
1,2026-07-08,NSE,NESTLEIND,train,2943,1,1
1,2026-07-08,NSE,NIFTYBEES,train,5016,1,1
1,2026-07-08,NSE,ONGC,train,4121,1,1
1,2026-07-08,NSE,RELIANCE,train,6547,1,1
1,2026-07-08,NSE,SBIN,train,5499,1,1
1,2026-07-08,NSE,SUNPHARMA,train,3352,1,1
1,2026-07-08,NSE,TCS,train,3904,1,1
1,2026-07-08,NSE,TECHM,train,2802,1,1
1,2026-07-08,NSE,ULTRACEMCO,train,3043,1,1
1,2026-07-08,NSE,WIPRO,train,2625,1,1
1,2026-07-09,NSE,ADANIPORTS,train,5553,1,1
1,2026-07-09,NSE,AXISBANK,train,7446,1,1
1,2026-07-09,NSE,BAJAJ-AUTO,train,5049,1,1
1,2026-07-09,NSE,BANKBEES,train,8885,1,1
1,2026-07-09,NSE,BHARTIARTL,train,9411,1,1
1,2026-07-09,NSE,BPCL,train,4696,1,1
1,2026-07-09,NSE,BRITANNIA,train,4229,1,1
1,2026-07-09,NSE,CIPLA,train,4886,1,1
1,2026-07-09,NSE,DRREDDY,train,9053,1,1
