metric,value,description
phase380_expanded_reversal_acceptance_retest_precommit_complete,1,Phase380 complete
phase380_frozen_primary_scenario_id,P362_D120_I2p5_D0p25_R0p0_REVERSAL_CONTROL,Frozen primary scenario
phase380_adapted_work_order_rows,233,Expanded work-order rows
phase380_adapted_work_order_dates,13,Diagnostic dates
phase380_adapted_work_order_symbols,27,Symbols
phase380_phase379_estimated_selected_after_refresh,32.29268292682927,Phase379 selected-event estimate
phase380_event_floor_open,1,Event floor open
phase380_parameter_search_allowed,0,No search
phase380_strategy_retest_executed_now,0,No retest in precommit
phase380_strategy_promotion_allowed,0,No promotion
phase380_paper_or_live_acceptance_allowed,0,No paper/live
phase380_deployable_profitability_claim_allowed,0,No deployable claim
phase380_hard_gate_pass_rows,6,Passed gates
phase380_hard_gate_rows,6,Gates
phase380_next_best_action,execute_phase381_expanded_real_l2_frozen_reversal_acceptance_retest_no_search_no_paper_live,Recommended next action
