panel,trade_date,symbol,signal_index,entry_index,exit_index,signal_ts_ms,entry_ts_ms,exit_ts_ms,actual_forward_ticks_after_entry,hold_ms,l1_imbalance,l2_l5_imbalance,top5_imbalance,spread_bps_feature,book_slope,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pnl_inr,short_net_pnl_inr,long_gross_pnl_inr,short_gross_pnl_inr,long_cost200_inr,short_cost200_inr,bid_depth_change,ask_depth_change,total_depth_change,order_churn,spread_change,book_slope_change,microtrend_bps,best_side_int,best_net_pnl_inr,signed_label_inr,full_depth_score,l1_only_score,model_side_int,abs_score,scenario_id,side,entry_price,exit_price,gross_pnl_inr,cost200_inr,net_pnl_inr
synthetic,2026-02-02,ADANIPORTS,1535,1536,2286,1786613486.0,1786613487.0,1786613737.0,750,250.0,0.1935483870967742,0.1956989247311828,0.1954459203036053,2.207261891623943,-0.08809975603144483,1824.5,1824.1,1824.1,1824.5,-186.65116941280584,-186.65116941280584,-21.60000000000582,-21.60000000000582,165.05116941280002,165.05116941280002,0.06077950395203053,0.07515400410677618,0.06651376146788991,0.05714285714285714,0.009459693821245452,0.00296702627558032,-42.857142857142264,1,-186.65116941280584,0.0,0.9795688717514915,0.06150829410720386,1,0.9795688717514915,P435_full_depth_ranker_validation,long,1824.5,1824.1,-21.60000000000582,165.05116941280002,-186.65116941280584
synthetic,2026-02-02,ADANIPORTS,60,61,311,1786612535.0,1786612536.0,1786612786.0,250,250.0,0.24153498871331827,0.23762227238525208,0.23808259195325987,2.192621827550792,-0.10476696321869605,1824.5,1824.1,1824.1,1824.5,-186.65116941280584,-186.65116941280584,-21.60000000000582,-21.60000000000582,165.05116941280002,165.05116941280002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.65116941280584,0.0,-0.1941652783580409,-0.09296060997638676,-1,0.1941652783580409,P435_full_depth_ranker_validation,short,1824.1,1824.5,-21.60000000000582,165.05116941280002,-186.65116941280584
synthetic,2026-02-02,ADANIPORTS,85,86,336,1786612560.0,1786612561.0,1786612811.0,250,250.0,0.24153498871331827,0.23762227238525208,0.23808259195325987,2.192621827550792,-0.10476696321869605,1824.5,1824.1,1824.1,1824.5,-186.65116941280584,-186.65116941280584,-21.60000000000582,-21.60000000000582,165.05116941280002,165.05116941280002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.65116941280584,0.0,-0.1941652783580409,-0.09296060997638676,-1,0.1941652783580409,P435_full_depth_ranker_validation,short,1824.1,1824.5,-21.60000000000582,165.05116941280002,-186.65116941280584
synthetic,2026-02-02,ADANIPORTS,110,111,361,1786612585.0,1786612586.0,1786612836.0,250,250.0,0.24153498871331827,0.23762227238525208,0.23808259195325987,2.192621827550792,-0.10476696321869605,1824.5,1824.1,1824.1,1824.5,-186.65116941280584,-186.65116941280584,-21.60000000000582,-21.60000000000582,165.05116941280002,165.05116941280002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.65116941280584,0.0,-0.1941652783580409,-0.09296060997638676,-1,0.1941652783580409,P435_full_depth_ranker_validation,short,1824.1,1824.5,-21.60000000000582,165.05116941280002,-186.65116941280584
synthetic,2026-02-02,ADANIPORTS,135,136,386,1786612610.0,1786612611.0,1786612861.0,250,250.0,0.24153498871331827,0.23762227238525208,0.23808259195325987,2.192621827550792,-0.10476696321869605,1824.5,1824.1,1824.1,1824.5,-186.65116941280584,-186.65116941280584,-21.60000000000582,-21.60000000000582,165.05116941280002,165.05116941280002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.65116941280584,0.0,-0.1941652783580409,-0.09296060997638676,-1,0.1941652783580409,P435_full_depth_ranker_validation,short,1824.1,1824.5,-21.60000000000582,165.05116941280002,-186.65116941280584
synthetic,2026-02-02,ADANIPORTS,160,161,411,1786612635.0,1786612636.0,1786612886.0,250,250.0,0.24153498871331827,0.23762227238525208,0.23808259195325987,2.192621827550792,-0.10476696321869605,1824.5,1824.1,1824.1,1824.5,-186.65116941280584,-186.65116941280584,-21.60000000000582,-21.60000000000582,165.05116941280002,165.05116941280002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.65116941280584,0.0,-0.1941652783580409,-0.09296060997638676,-1,0.1941652783580409,P435_full_depth_ranker_validation,short,1824.1,1824.5,-21.60000000000582,165.05116941280002,-186.65116941280584
synthetic,2026-02-02,ADANIPORTS,185,186,436,1786612660.0,1786612661.0,1786612911.0,250,250.0,0.24153498871331827,0.23762227238525208,0.23808259195325987,2.192621827550792,-0.10476696321869605,1824.5,1824.1,1824.1,1824.5,-186.65116941280584,-186.65116941280584,-21.60000000000582,-21.60000000000582,165.05116941280002,165.05116941280002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.65116941280584,0.0,-0.1941652783580409,-0.09296060997638676,-1,0.1941652783580409,P435_full_depth_ranker_validation,short,1824.1,1824.5,-21.60000000000582,165.05116941280002,-186.65116941280584
synthetic,2026-02-02,ADANIPORTS,210,211,461,1786612685.0,1786612686.0,1786612936.0,250,250.0,0.24153498871331827,0.23762227238525208,0.23808259195325987,2.192621827550792,-0.10476696321869605,1824.5,1824.1,1824.1,1824.5,-186.65116941280584,-186.65116941280584,-21.60000000000582,-21.60000000000582,165.05116941280002,165.05116941280002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.65116941280584,0.0,-0.1941652783580409,-0.09296060997638676,-1,0.1941652783580409,P435_full_depth_ranker_validation,short,1824.1,1824.5,-21.60000000000582,165.05116941280002,-186.65116941280584
synthetic,2026-02-02,AXISBANK,510,511,1259,1786613478.0,1786613478.0,1786613728.0,748,250.0,0.004651162790697674,0.00496124031007752,0.004924760601915185,1.5120586678766577,-0.0024623803009575923,1326.4,1327.9,1326.2,1328.1,-52.761811869999974,-307.76946187,112.5,-142.5,165.26181186999997,165.26946187,0.060536649214659684,0.07938109653548604,0.06982915906452147,0.058823529411764705,0.006034571492485208,0.003830609600988844,-39.90963855421859,1,-52.761811869999974,255.00765,1.1975443360312032,-0.022282642936531982,1,1.1975443360312032,P435_full_depth_ranker_validation,long,1326.4,1327.9,112.5,165.26181186999997,-52.761811869999974
synthetic,2026-02-02,AXISBANK,535,536,1286,1786613486.0,1786613487.0,1786613737.0,750,250.0,0.03398058252427184,0.03365695792880259,0.0336950314106225,1.5079544597756573,-0.014848657909765849,1328.1,1327.9,1327.9,1328.1,-180.27900040000003,-180.27900040000003,-15.0,-15.0,165.27900040000003,165.27900040000003,0.045157068062827224,0.004372687521022536,0.025045612871122905,0.029411764705882353,0.0019303633914848906,-0.008555668007819412,-12.801204819276046,1,-180.27900040000003,0.0,0.11446750973360048,-0.11856469317647483,1,0.11446750973360048,P435_full_depth_ranker_validation,long,1328.1,1327.9,-15.0,165.27900040000003,-180.27900040000003
