panel,trade_date,symbol,signal_index,entry_index,exit_index,signal_ts_ms,entry_ts_ms,exit_ts_ms,actual_forward_ticks_after_entry,hold_ms,l1_imbalance,l2_l5_imbalance,top5_imbalance,spread_bps_feature,book_slope,long_entry_price,long_exit_price,short_entry_price,short_exit_price,long_net_pnl_inr,short_net_pnl_inr,long_gross_pnl_inr,short_gross_pnl_inr,long_cost200_inr,short_cost200_inr,bid_depth_change,ask_depth_change,total_depth_change,order_churn,spread_change,book_slope_change,microtrend_bps,best_side_int,best_net_pnl_inr,signed_label_inr
synthetic,2026-01-01,ADANIPORTS,60,61,560,1784021005.0,1784021005.0,1784021255.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,85,86,586,1784021017.0,1784021018.0,1784021268.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,110,111,610,1784021030.0,1784021030.0,1784021280.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,135,136,636,1784021042.0,1784021043.0,1784021293.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,160,161,660,1784021055.0,1784021055.0,1784021305.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,185,186,686,1784021067.0,1784021068.0,1784021318.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,210,211,710,1784021080.0,1784021080.0,1784021330.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,235,236,736,1784021092.0,1784021093.0,1784021343.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,260,261,760,1784021105.0,1784021105.0,1784021355.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,285,286,786,1784021117.0,1784021118.0,1784021368.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,310,311,810,1784021130.0,1784021130.0,1784021380.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,335,336,836,1784021142.0,1784021143.0,1784021393.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,360,361,860,1784021155.0,1784021155.0,1784021405.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,385,386,886,1784021167.0,1784021168.0,1784021418.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,410,411,910,1784021180.0,1784021180.0,1784021430.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,435,436,936,1784021192.0,1784021193.0,1784021443.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,460,461,960,1784021205.0,1784021205.0,1784021455.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,485,486,986,1784021217.0,1784021218.0,1784021468.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,510,511,1010,1784021230.0,1784021230.0,1784021480.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,535,536,1036,1784021242.0,1784021243.0,1784021493.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,560,561,1060,1784021255.0,1784021255.0,1784021505.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,585,586,1086,1784021267.0,1784021268.0,1784021518.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,610,611,1110,1784021280.0,1784021280.0,1784021530.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,635,636,1136,1784021292.0,1784021293.0,1784021543.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,660,661,1160,1784021305.0,1784021305.0,1784021555.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,685,686,1186,1784021317.0,1784021318.0,1784021568.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,710,711,1210,1784021330.0,1784021330.0,1784021580.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,735,736,1236,1784021342.0,1784021343.0,1784021593.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,760,761,1260,1784021355.0,1784021355.0,1784021605.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,785,786,1286,1784021367.0,1784021368.0,1784021618.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,810,811,1310,1784021380.0,1784021380.0,1784021630.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,835,836,1336,1784021392.0,1784021393.0,1784021643.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,860,861,1360,1784021405.0,1784021405.0,1784021655.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,885,886,1386,1784021417.0,1784021418.0,1784021668.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,910,911,1410,1784021430.0,1784021430.0,1784021680.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
synthetic,2026-01-01,ADANIPORTS,935,936,1436,1784021442.0,1784021443.0,1784021693.0,500,250.0,0.22401847575057737,0.22771362586605082,0.22727890232305392,2.190100744633506,-0.10311099035457139,1818.9,1818.5,1818.5,1818.9,-186.58777911520582,-186.58777911520582,-21.60000000000582,-21.60000000000582,164.9877791152,164.9877791152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-186.58777911520582,0.0
synthetic,2026-01-01,ADANIPORTS,960,961,1460,1784021455.0,1784021455.0,1784021705.0,499,250.0,0.2364066193853428,0.2310116608887488,0.23164627363737486,2.1993731786445867,-0.1017797552836485,1826.6,1818.5,1826.2,1818.9,-602.4438339447942,229.1811140551971,-437.3999999999942,394.1999999999971,165.04383394479999,165.0188859448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,229.1811140551971,-831.6249479999913
