feature,weight,mean,std
l1_imbalance,-0.04161564650023322,0.1733661514142111,0.11581518964405836
spread_bps_feature,0.1532070117806578,2.533290751051332,0.7477767561631002
microtrend_bps,-0.011228165169244337,0.42521678202842494,3.585038712000843
l2_l5_imbalance,-0.05331178430075019,0.16525965721740288,0.12068113143567187
top5_imbalance,-0.05201657114661775,0.16621324087046582,0.12003578985609006
book_slope,0.06084234294877619,-0.07132593151661348,0.05589839048987086
bid_depth_change,0.022132066025895836,0.0002970671883751977,0.008368932937903808
ask_depth_change,0.02408517328764026,5.9161395257348374e-05,0.006873040183244283
total_depth_change,0.023029135643310224,0.00019473503970925606,0.007636879188772529
order_churn,0.02481418000885287,0.0006709134351597588,0.0069300149440978415
spread_change,0.003980496018267555,-0.00010657326560858243,0.0008878167607650952
book_slope_change,0.020345750009451855,-5.80812704624024e-05,0.0006530661921494081
