symbol,strategy_id,side,shard_symbol_label_rows,symbols,trade_dates,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,mean_after_cost_bps_if_touched,mean_adverse_selection_rate,mean_cost_clearing_rate,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance,touch_rate,label_candidate
BANKBEES,P66_FADE_IMBALANCE,-1,1,1,1,243948,3500,-11.770886810569353,-8.634454048285779,-20.039006810569386,1.0,0.0,-58.43017061937572,-0.2458009012695772,3.4586064260977576,0.3282948672550244,0.014347319920638825,False
NESTLEIND,P66_JOIN_IMBALANCE,1,2,1,1,245932,2550,-12.541679699342914,-8.838087663619598,-20.809799699342896,1.0,0.0,-222.90388548057317,0.0,2.734602915372096,0.4065085736888482,0.010368719808727616,False
JUNIORBEES,P66_JOIN_IMBALANCE,-1,1,1,1,247916,3800,-12.600821274330542,-8.282007961842307,-20.868941274330563,1.0,0.0,-106.5420087159219,0.0,3.555954075928058,0.6972820306922527,0.01532777230997596,False
ITBEES,P66_FADE_IMBALANCE,-1,1,1,1,245932,3050,-15.505044131629308,-10.825858335909988,-23.773164131629297,1.0,0.0,-78.50985221674934,-1.5379883112898174,3.088492394037665,0.7409319230205476,0.012401802124164403,False
BANKBEES,P66_JOIN_IMBALANCE,1,1,1,1,243948,2250,-16.126698538342367,-12.75730664449859,-24.394818538342403,1.0,0.0,-103.34657865822882,-0.24621041141759115,3.4586064260977265,0.32829486725501034,0.009223277091839245,False
NIFTYBEES,P66_FADE_IMBALANCE,-1,1,1,1,247916,3700,-16.136737816289656,-12.324108291308367,-24.404857816289592,1.0,0.0,-114.24083395808692,-1.0710460549812062,1.4327347675030397,0.6214443122278354,0.014924409880766066,False
ITC,P66_FADE_IMBALANCE,-1,1,1,1,245932,3500,-16.346988559525734,-12.265872990272486,-24.615108559525762,1.0,0.0,-76.16879705830692,-0.8727526618967918,1.7541271576305593,0.5099275348140427,0.014231576208057511,False
ULTRACEMCO,P66_FADE_IMBALANCE,-1,2,1,1,243948,3450,-17.368184275397205,-13.134430232278337,-25.636304275397258,1.0,0.0,-152.47508025004186,-0.422083403680551,2.5441283904607017,0.41438728438914585,0.014142358207486841,False
SUNPHARMA,P66_JOIN_IMBALANCE,-1,1,1,1,89196,1450,-17.373038992693868,-16.258510313992282,-25.64115899269383,1.0,0.0,-74.07783246232702,0.0,2.0440211813813,0.30563872428251426,0.016256334364769722,False
ITBEES,P66_JOIN_IMBALANCE,1,1,1,1,245932,2350,-18.400805934812517,-13.916808411937875,-26.668925934812467,1.0,0.0,-78.52193995381174,-1.5368065160581423,3.08849239403765,0.740931923020528,0.0095554868825529,False
CIPLA,P66_FADE_IMBALANCE,-1,1,1,1,247916,3600,-19.722409743209433,-11.634273200109568,-27.990529743209514,1.0,0.0,-142.93493057446204,-0.6806425265459826,2.7495395591200653,0.5689112394236723,0.014521047451556171,False
ITC,P66_JOIN_IMBALANCE,1,1,1,1,245932,2450,-19.73440316735708,-13.231013495635935,-28.00252316735711,1.0,0.0,-196.7987404880589,-0.8731336767675568,1.754127157630483,0.5099275348139979,0.009962103345640258,False
ICICIBANK,P66_JOIN_IMBALANCE,-1,1,1,1,249900,3700,-19.820059650560886,-14.207057489659114,-28.088179650560964,1.0,0.0,-69.87143655673434,-1.1102230246251565e-12,1.3936203271839338,0.3676780411771886,0.014805922368947578,False
NESTLEIND,P66_FADE_IMBALANCE,-1,1,1,1,241964,3350,-19.951033056480593,-13.675213675213849,-28.21915305648053,1.0,0.0,-196.23875715453764,0.0,2.7414371455295212,0.41301714737769063,0.013845034798565076,False
JUNIORBEES,P66_FADE_IMBALANCE,1,1,1,1,247916,2100,-20.187596211124937,-12.914075593484231,-28.455716211124884,1.0,0.0,-194.0877119874729,0.0,3.555954075928277,0.6972820306922277,0.008470611013407767,False
RELIANCE,P66_FADE_IMBALANCE,-1,1,1,1,245932,3450,-20.23051972549454,-15.740948954350298,-28.498639725494584,1.0,0.0,-87.11978971085222,-2.2431583669824118,1.5109850580937332,0.44440654301586097,0.014028267976513834,False
NIFTYBEES,P66_JOIN_IMBALANCE,1,1,1,1,247916,2350,-21.76665402243469,-9.959096567667691,-30.034774022434636,1.0,0.0,-214.7588859605376,-1.426991545075973,1.4327347675029072,0.6214443122278117,0.009479017086432501,False
RELIANCE,P66_JOIN_IMBALANCE,1,1,1,1,245932,2650,-22.419017184468405,-16.72495058537504,-30.687137184468426,1.0,0.0,-176.4884108468412,0.0,1.5109850580937767,0.444406543015879,0.010775336271814973,False
HDFCBANK,P66_JOIN_IMBALANCE,-1,1,1,1,236012,3500,-22.541503023096357,-14.268727705113449,-30.809623023096332,0.9714285714285714,0.0,-213.43638525564867,2.220446049250313e-12,1.1974263956253666,0.5711840326371106,0.014829754419266816,False
CIPLA,P66_JOIN_IMBALANCE,1,1,1,1,247916,2550,-23.761390983214003,-16.387845681120616,-32.02951098321403,1.0,0.0,-164.8844429113494,0.0,2.7495395591201732,0.5689112394237662,0.01028574194485229,False
ICICIBANK,P66_FADE_IMBALANCE,1,1,1,1,249900,2550,-23.996710035821895,-15.293708724364308,-32.26483003582195,1.0,0.0,-294.15836101882473,0.0,1.393620327183876,0.3676780411771803,0.01020408163265306,False
ULTRACEMCO,P66_JOIN_IMBALANCE,1,1,1,1,237996,2500,-25.699683880388445,-12.780673339423675,-33.967803880388395,1.0,0.0,-248.3869607388356,-1.266517499050046,2.5460993366370728,0.4368994178611756,0.010504378224844116,False
HCLTECH,P66_FADE_IMBALANCE,1,1,1,1,55468,600,-26.79776025869721,-15.621590014245346,-35.06588025869719,1.0,0.0,-157.5902653101935,-4.4054627738387975,2.410635366100651,0.30314541901432257,0.010817047667123386,False
HDFCBANK,P66_FADE_IMBALANCE,1,1,1,1,236012,2400,-26.872192579136208,-12.842905927247795,-35.14031257913612,1.0,0.0,-240.5169319133682,0.0,1.1974263956253373,0.5711840326371063,0.010168974458925817,False
HCLTECH,P66_JOIN_IMBALANCE,-1,1,1,1,55468,750,-28.496164111696483,-24.58487828470024,-36.76428411169649,1.0,0.0,-120.19806724702487,-4.41696113073986,2.410635366100712,0.3031454190143242,0.013521309583904233,False
SUNPHARMA,P66_FADE_IMBALANCE,1,1,1,1,89196,750,-34.16425401436623,-19.26586899209215,-42.43237401436624,1.0,0.0,-179.8212005108557,-1.5291299250730361,2.044021181381292,0.3056387242825082,0.008408448809363648,False
