shard_index,trade_date,symbol,strategy_id,side,spread_bucket,imbalance_bucket,candidate_orders,inferred_touches,mean_gross_bps_if_touched,median_gross_bps_if_touched,adverse_selection_rate,cost_clearing_rate,mean_after_cost_bps_if_touched,worst_gross_bps_if_touched,best_gross_bps_if_touched,mean_spread_bps,mean_abs_l1_imbalance
4,2026-01-01,BANKBEES,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I01_0p30_0p40,243948,3500,-11.770886810569353,-8.634454048285779,1.0,0.0,-20.039006810569386,-58.43017061937572,-0.2458009012695772,3.4586064260977576,0.3282948672550244
4,2026-01-01,BANKBEES,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I01_0p30_0p40,243948,2250,-16.126698538342367,-12.75730664449859,1.0,0.0,-24.394818538342403,-103.34657865822882,-0.24621041141759115,3.4586064260977265,0.32829486725501034
8,2026-01-01,CIPLA,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I02_0p40_0p60,247916,2550,-23.761390983214003,-16.387845681120616,1.0,0.0,-32.02951098321403,-164.8844429113494,0.0,2.7495395591201732,0.5689112394237662
8,2026-01-01,CIPLA,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I02_0p40_0p60,247916,3600,-19.722409743209433,-11.634273200109568,1.0,0.0,-27.990529743209514,-142.93493057446204,-0.6806425265459826,2.7495395591200653,0.5689112394236723
11,2026-01-01,HCLTECH,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,55468,750,-28.496164111696483,-24.58487828470024,1.0,0.0,-36.76428411169649,-120.19806724702487,-4.41696113073986,2.410635366100712,0.3031454190143242
11,2026-01-01,HCLTECH,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,55468,600,-26.79776025869721,-15.621590014245346,1.0,0.0,-35.06588025869719,-157.5902653101935,-4.4054627738387975,2.410635366100651,0.30314541901432257
12,2026-01-01,HDFCBANK,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,236012,3500,-22.541503023096357,-14.268727705113449,0.9714285714285714,0.0,-30.809623023096332,-213.43638525564867,2.220446049250313e-12,1.1974263956253666,0.5711840326371106
12,2026-01-01,HDFCBANK,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,236012,2400,-26.872192579136208,-12.842905927247795,1.0,0.0,-35.14031257913612,-240.5169319133682,0.0,1.1974263956253373,0.5711840326371063
14,2026-01-01,ICICIBANK,P66_FADE_IMBALANCE,1,S02_1_2p5bp,I01_0p30_0p40,249900,2550,-23.996710035821895,-15.293708724364308,1.0,0.0,-32.26483003582195,-294.15836101882473,0.0,1.393620327183876,0.3676780411771803
14,2026-01-01,ICICIBANK,P66_JOIN_IMBALANCE,-1,S02_1_2p5bp,I01_0p30_0p40,249900,3700,-19.820059650560886,-14.207057489659114,1.0,0.0,-28.088179650560964,-69.87143655673434,-1.1102230246251565e-12,1.3936203271839338,0.3676780411771886
16,2026-01-01,ITBEES,P66_FADE_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,245932,3050,-15.505044131629308,-10.825858335909988,1.0,0.0,-23.773164131629297,-78.50985221674934,-1.5379883112898174,3.088492394037665,0.7409319230205476
16,2026-01-01,ITBEES,P66_JOIN_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,245932,2350,-18.400805934812517,-13.916808411937875,1.0,0.0,-26.668925934812467,-78.52193995381174,-1.5368065160581423,3.08849239403765,0.740931923020528
17,2026-01-01,ITC,P66_JOIN_IMBALANCE,1,S02_1_2p5bp,I02_0p40_0p60,245932,2450,-19.73440316735708,-13.231013495635935,1.0,0.0,-28.00252316735711,-196.7987404880589,-0.8731336767675568,1.754127157630483,0.5099275348139979
17,2026-01-01,ITC,P66_FADE_IMBALANCE,-1,S02_1_2p5bp,I02_0p40_0p60,245932,3500,-16.346988559525734,-12.265872990272486,1.0,0.0,-24.615108559525762,-76.16879705830692,-0.8727526618967918,1.7541271576305593,0.5099275348140427
18,2026-01-01,JUNIORBEES,P66_FADE_IMBALANCE,1,S03_2p5_5bp,I03_0p60_0p80,247916,2100,-20.187596211124937,-12.914075593484231,1.0,0.0,-28.455716211124884,-194.0877119874729,0.0,3.555954075928277,0.6972820306922277
18,2026-01-01,JUNIORBEES,P66_JOIN_IMBALANCE,-1,S03_2p5_5bp,I03_0p60_0p80,247916,3800,-12.600821274330542,-8.282007961842307,1.0,0.0,-20.868941274330563,-106.5420087159219,0.0,3.555954075928058,0.6972820306922527
