candidate_id,family_id,split,trade_month,trades,symbols,net_pnl_inr,gross_pnl_inr,cost_pnl_drag_inr,precision_cost_clear
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-07,610,6,-89971.74083809473,-29341.9434013394,60629.79743675533,0.36721311475409835
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-08,655,4,-142907.52068176563,-77860.06814354513,65047.4525382205,0.3801526717557252
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-09,524,10,20992.09850922715,73618.62902099552,52626.53051176837,0.49809160305343514
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-10,718,9,-29585.412049942068,41687.731858456675,71273.14390839875,0.435933147632312
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-11,616,7,13869.131417063985,74951.42961412699,61082.298197063006,0.4659090909090909
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-12,261,4,-17819.364415751483,8466.892091542322,26286.256507293805,0.5478927203065134
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-01,561,9,-52987.11998040047,2669.0086716572014,55656.128652057676,0.3850267379679144
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-02,550,7,42037.67419607371,97029.59087207582,54991.91667600211,0.509090909090909
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-03,582,4,-58455.01217311262,-934.0475841420053,57520.96458897062,0.49312714776632305
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-04,434,4,-16407.459477074204,26932.93645813859,43340.39593521279,0.4930875576036866
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-05,502,6,-68527.42110982683,-18223.994691826727,50303.426418000105,0.4123505976095618
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-06,535,7,-74765.13137780201,-20654.151819681105,54110.97955812091,0.4747663551401869
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-07,320,6,-53431.383750822846,-21178.262328485995,32253.12142233685,0.403125
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-08,347,4,-71858.91027566399,-37002.895248920744,34856.01502674324,0.3861671469740634
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-09,262,10,8018.414914897272,35020.6060972052,27002.191182307924,0.48854961832061067
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-10,326,7,6316.612663733382,39126.55884722133,32809.94618348795,0.5460122699386503
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-11,345,7,68966.2033240563,103586.28766417509,34620.08434011879,0.6202898550724638
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-12,103,1,-16942.785482597177,-6277.7721857129145,10665.01329688426,0.6019417475728155
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-01,172,7,-43368.98360515278,-25886.535933757026,17482.447671395756,0.3488372093023256
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-02,322,7,69755.6410740734,102520.10593954305,32764.464865469654,0.6242236024844721
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-03,235,3,-22389.913994449147,900.0434272331327,23289.95742168228,0.5787234042553191
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-04,174,3,18195.587672395926,36194.6448372606,17999.057164864673,0.5632183908045977
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-05,286,6,-41966.87711432608,-13039.55096076652,28927.326153559556,0.4405594405594406
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-06,263,4,-95497.87616280757,-68978.19645178459,26519.679711022985,0.38022813688212925
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-07,243,2,-52334.47441548233,-28599.123804301227,23735.3506111811,0.29218106995884774
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-08,231,1,-42739.83786285778,-20239.412256123767,22500.425606734007,0.4025974025974026
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-09,209,4,-17360.943562781897,3619.070608960995,20980.014171742892,0.45933014354066987
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-10,250,3,2519.750447305172,26519.561161991485,23999.81071468632,0.456
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-11,254,3,27097.93450717955,51935.46111534449,24837.526608164946,0.5078740157480315
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-12,124,1,-30134.101224231985,-17609.341218245532,12524.76000598645,0.46774193548387094
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-01,209,3,-18990.806139249344,1371.4845387757905,20362.290678025136,0.3923444976076555
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-02,210,3,32994.7552755263,53653.923657519794,20659.168381993495,0.5285714285714286
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-03,243,1,-30511.499716890077,-6703.963520423849,23807.53619646623,0.5061728395061729
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-04,190,1,-8606.665269035931,10273.432896165781,18880.09816520171,0.5526315789473685
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-05,194,2,-33301.23078418152,-13969.297106014754,19331.933678166766,0.4020618556701031
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-06,217,2,-37773.36857053085,-15404.966779859,22368.401790671858,0.5023041474654378
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-07,153,2,-21850.338128675816,-6660.397325027544,15189.940803648273,0.39215686274509803
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-08,150,1,-27666.54815657052,-12858.629728568538,14807.918428001982,0.44
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-09,128,4,-18426.88084237349,-5130.125852662426,13296.754989711066,0.484375
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-10,132,3,6146.07964298669,18951.78628898748,12805.706646000794,0.5227272727272727
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-11,160,3,40400.394567765434,56315.78700434326,15915.392436577833,0.64375
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,2026-12,89,1,-16545.49800574229,-7350.195874254573,9195.302131487717,0.5730337078651685
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-01,99,3,-18538.31901134567,-8604.134152547082,9934.184858798586,0.3838383838383838
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-02,135,3,42543.65922417174,56087.04264600933,13543.383421837598,0.6296296296296297
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-03,157,1,-27000.76613119711,-11356.262517815507,15644.503613381603,0.5477707006369427
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-04,100,1,-11025.405097596424,-686.2850256468811,10339.12007194954,0.53
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-05,151,2,-21347.11450295816,-6114.840868256031,15232.273634702127,0.44370860927152317
P90_MARKET_IMBALANCE_CONTINUATION_F0_95_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,train,2026-06,130,1,-38703.14663037784,-25507.063404613007,13196.083225764836,0.4230769230769231
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-07,190,1,-31717.037267311905,-11512.419392093321,20204.617875218588,0.3
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-08,180,1,-39379.10681522818,-20246.906550431733,19132.200264796447,0.34444444444444444
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-09,148,1,19814.008585486332,35317.380685748445,15503.372100262113,0.5405405405405406
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-10,225,1,3611.8272419500527,27153.124258247106,23541.297016297056,0.48444444444444446
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-11,217,1,-6568.373415164366,16403.641382524736,22972.014797689102,0.4608294930875576
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-12,74,1,5363.737854073098,13281.059587475553,7917.321733402454,0.5945945945945946
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-01,176,1,-11124.607402357571,7234.288447267457,18358.895849625027,0.38636363636363635
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-02,171,1,4385.704622732924,22500.480272956735,18114.77565022381,0.49122807017543857
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-03,204,1,-11638.247983570247,9892.069980521977,21530.317964092224,0.4852941176470588
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-04,128,1,-14438.757017462132,-1034.8252435635306,13403.931773898601,0.4453125
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-05,134,1,-16229.302989389278,-1855.2604160897654,14374.042573299514,0.3880597014925373
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-06,127,1,-26326.934539069774,-12836.184853185085,13490.74968588469,0.3464566929133858
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-07,38,1,-3097.52776195574,1046.5816721670346,4144.109434122776,0.39473684210526316
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-08,34,1,-18176.803284136684,-14588.298831412973,3588.504452723713,0.14705882352941177
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-09,43,1,15491.443287509746,20021.25628978757,4529.813002277823,0.627906976744186
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-10,59,1,10830.095105354287,17112.816373681428,6282.721268327142,0.6440677966101694
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,test,2026-11,68,1,29561.781934448707,36778.43417808018,7216.652243631471,0.8088235294117647
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-01,11,1,-4139.075817954804,-2937.202222856261,1201.8735950985429,0.09090909090909091
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-02,55,1,19230.43285184885,25071.407828678217,5840.974976829367,0.7454545454545455
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-03,38,1,12305.253342759748,16262.62976738141,3957.37642462166,0.8157894736842105
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-04,11,1,-3421.9775454735463,-2228.6364260578616,1193.3411194156845,0.18181818181818182
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-05,28,1,-8941.937355451508,-5899.981917354302,3041.9554380972063,0.25
P90_SECTOR_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_SECTOR_IMBALANCE_CONTINUATION,train,2026-06,37,1,-22149.56770079636,-18211.935994890617,3937.631705905743,0.21621621621621623
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,test,2026-07,25,1,136.677339999673,2857.8533689815113,2721.1760289818385,0.4
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,test,2026-08,34,1,-19468.117994012166,-15809.571985259518,3658.5460087526462,0.20588235294117646
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,test,2026-09,16,1,-5004.358346803494,-3338.9031798962133,1665.455166907281,0.1875
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,test,2026-10,25,1,-657.7091963812677,1993.7536498190416,2651.4628462003084,0.68
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,test,2026-11,37,1,15890.97420242437,19774.154090540753,3883.179888116381,0.8648648648648649
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,train,2026-01,1,1,1188.2073403709887,1297.92872208101,109.72138171002109,1.0
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,train,2026-02,23,1,-3386.4085414917395,-951.0300472583829,2435.378494233356,0.5652173913043478
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,train,2026-03,26,1,11310.901569675525,13996.541878307235,2685.640308631709,0.8846153846153846
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,train,2026-04,6,1,-135.78709431032277,515.0182150987614,650.8053094090842,0.5
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,train,2026-05,22,1,-11506.455234161445,-9112.503901789714,2393.951332371731,0.13636363636363635
P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION_F0_9_I0_75,P90_SYMBOL_SECTOR_DIVERGENCE_REVERSION,train,2026-06,13,1,608.8533708319084,1961.9528472977318,1353.099476465824,0.6153846153846154
