candidate_id,family_id,split,symbol,trades,months,net_pnl_inr,gross_pnl_inr,cost_pnl_drag_inr,precision_cost_clear
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,HCLTECH,195,6,-14848.210903668938,5966.9622056975695,20815.173109366504,0.49230769230769234
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,HDFCBANK,1842,6,-174664.29671658282,5848.710138132848,180513.00685471567,0.4207383279044517
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,ICICIBANK,857,6,-11242.594891825229,72762.86310746156,84005.4579992868,0.4690781796966161
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,INFY,53,4,-9124.467849937437,-3510.866809038493,5613.601040898945,0.37735849056603776
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,KOTAKBANK,10,2,1105.6721704476959,2187.314857315825,1081.6426868681292,0.5
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,LT,3,1,762.4576878937482,1055.0822270655403,292.624539171792,1.0
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,M&M,49,4,-10894.50674793791,-6144.488415045679,4750.018332892232,0.3673469387755102
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,MARUTI,10,2,-1401.9568943620247,-292.2149417371678,1109.741952624857,0.0
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,SUNPHARMA,357,6,-25339.772604127316,12571.414907822997,37911.18751195031,0.4257703081232493
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,test,WIPRO,8,3,224.86869083744355,1077.8937625619765,853.0250717245331,0.75
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,HCLTECH,179,6,-12295.695348124804,6829.996887513736,19125.692235638537,0.4860335195530726
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,HDFCBANK,1822,6,-160742.935895934,19469.416766194754,180212.35266212877,0.45389681668496157
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,ICICIBANK,773,6,-40837.37555900495,34712.06544414879,75549.44100315376,0.47089262613195343
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,INFY,43,4,2323.0863309667743,6859.117966181871,4536.031635215097,0.6046511627906976
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,KOTAKBANK,9,2,2526.538757597424,3498.195008776217,971.6562511787927,0.8888888888888888
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,M&M,38,4,-309.09424658077097,3366.1699095341664,3675.264156114937,0.4473684210526316
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,MARUTI,5,1,-532.8422941797741,21.088143463809942,553.930437643584,0.0
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,SUNPHARMA,292,6,-18859.77221200936,12108.554408712891,30968.32662072225,0.4349315068493151
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_75,P90_MARKET_IMBALANCE_CONTINUATION,train,WIPRO,3,2,-376.3794548729621,-45.262628304465466,331.1168265684966,0.6666666666666666
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,HCLTECH,63,5,-6768.267216401043,-52.421767132403716,6715.845449268637,0.47619047619047616
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,HDFCBANK,1106,6,-58789.69855506951,51856.15013559279,110645.8486906623,0.4918625678119349
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,ICICIBANK,285,5,26720.43728264302,55312.846952878375,28592.409670235353,0.5789473684210527
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,INFY,39,4,-7910.391390473918,-3703.756580531392,4206.634809942527,0.3076923076923077
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,KOTAKBANK,5,1,-1373.2217153826139,-831.8402866649421,541.3814287176716,0.0
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,LT,3,1,762.4576878937482,1055.0822270655403,292.624539171792,1.0
P90_MARKET_IMBALANCE_CONTINUATION_F0_9_I0_9,P90_MARKET_IMBALANCE_CONTINUATION,test,M&M,37,4,-8191.162392167525,-4585.842858087019,3605.319534080506,0.3783783783783784
