panel,scenario_id,family_id,completed_round_trips,trade_dates,symbols,positive_date_fraction,net_pnl_inr,gross_pnl_inr,cost200_inr,annualized_return_pct,acceptance_survivor
synthetic,P428_book_slope_migration_L360_F12_S12p0_I0p55_D0p4,book_slope_migration,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p1,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p25,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p4,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p1,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p25,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p4,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p1,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p25,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p4,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S8p0_I0p25_D0p1,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic,P428_depth_pressure_continuation_L60_F3_S8p0_I0p25_D0p25,depth_pressure_continuation,0,0,0,0.0,0.0,0.0,0.0,0.0,0
