scenario_id,family_id,l1_only_annualized_return_pct,l1_only_trips,side_flip_annualized_return_pct,side_flip_trips
P428_book_slope_migration_L360_F12_S12p0_I0p55_D0p4,book_slope_migration,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p1,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p25,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p25_D0p4,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p1,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p25,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p4_D0p4,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p1,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p25,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S4p0_I0p55_D0p4,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p25_D0p1,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p25_D0p25,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p25_D0p4,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p4_D0p1,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p4_D0p25,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p4_D0p4,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p55_D0p1,depth_pressure_continuation,0.0,0,0.0,0
P428_depth_pressure_continuation_L60_F3_S8p0_I0p55_D0p25,depth_pressure_continuation,0.0,0,0.0,0
P428_book_slope_migration_L360_F6_S8p0_I0p4_D0p4,book_slope_migration,0.0,0,0.0,0
P428_book_slope_migration_L360_F6_S8p0_I0p55_D0p1,book_slope_migration,0.0,0,0.0,0
P428_book_slope_migration_L360_F6_S8p0_I0p55_D0p25,book_slope_migration,0.0,0,0.0,0
P428_book_slope_migration_L360_F6_S8p0_I0p55_D0p4,book_slope_migration,0.0,0,0.0,0
P428_book_slope_migration_L360_F6_S12p0_I0p25_D0p1,book_slope_migration,0.0,0,0.0,0
P428_book_slope_migration_L360_F6_S12p0_I0p25_D0p25,book_slope_migration,0.0,0,0.0,0
P428_book_slope_migration_L360_F6_S12p0_I0p25_D0p4,book_slope_migration,0.0,0,0.0,0
