metric,value,description
phase426_queue_depletion_continuation_interpretation_complete,1,Phase426 interpretation completed
phase426_selected_verdict,P426_QUEUE_DEPLETION_CONTINUATION_REJECTED_ZERO_SYNTHETIC_EVENTS,Selected verdict
phase426_phase425_primary_completed_round_trips,0,Phase425 synthetic primary round trips
phase426_phase425_primary_annualized_return_pct,0.0,Phase425 synthetic primary annualized return
phase426_phase425_hard_gate_pass_rows,13,Phase425 hard gates passed
phase426_phase425_hard_gate_rows,19,Phase425 hard gates
phase426_queue_depletion_route_preserved,0,Frozen route closed for acceptance
phase426_same_family_tuning_allowed,0,No same-family tuning
phase426_strategy_promotion_allowed,0,No promotion
phase426_paper_or_live_acceptance_allowed,0,No paper/live
phase426_deployable_profitability_claim_allowed,0,No deployable claim
phase426_hard_gate_pass_rows,9,Passed hard gates
phase426_hard_gate_rows,9,Hard gates
phase426_next_best_action,precommit_broader_full_depth_feature_family_sweep_or_pause_for_decision_report,Recommended next action
