scenario_id,trade_date,symbol,input_ticks,candidate_scan_points,selected_trades,l1_only,side_flip,exact_forward_tick_rule,min_forward_hold_ms
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-17,ADANIPORTS,589,2,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-17,AXISBANK,550,2,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-17,BAJAJ-AUTO,1008,4,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-17,BANKBEES,213,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-17,BHARTIARTL,687,2,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-17,BPCL,194,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-17,BRITANNIA,168,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-17,CIPLA,259,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-20,ADANIPORTS,270,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-20,AXISBANK,1345,5,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-20,BAJAJ-AUTO,482,2,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-20,BANKBEES,1092,4,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-20,BHARTIARTL,716,3,1,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-20,BPCL,251,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-20,BRITANNIA,195,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-20,CIPLA,354,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-21,ADANIPORTS,411,1,1,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-21,AXISBANK,1262,5,1,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-21,BAJAJ-AUTO,965,3,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-21,BANKBEES,710,2,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-21,BHARTIARTL,496,2,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-21,BPCL,214,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-21,BRITANNIA,174,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-21,CIPLA,209,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-22,ADANIPORTS,253,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-22,AXISBANK,894,3,1,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-22,BAJAJ-AUTO,1305,5,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-22,BANKBEES,313,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-22,BHARTIARTL,218,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-22,BPCL,269,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-22,BRITANNIA,190,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-22,CIPLA,909,3,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-23,ADANIPORTS,403,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-23,AXISBANK,765,3,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-23,BAJAJ-AUTO,1193,4,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-23,BANKBEES,449,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-23,BHARTIARTL,339,1,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-23,BPCL,918,3,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-23,BRITANNIA,195,0,0,0,0,3,250.0
P425_PRIMARY_QUEUE_DEPLETION_CONTINUATION,2026-07-23,CIPLA,595,2,0,0,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-17,ADANIPORTS,589,2,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-17,AXISBANK,550,2,2,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-17,BAJAJ-AUTO,1008,4,2,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-17,BANKBEES,213,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-17,BHARTIARTL,687,2,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-17,BPCL,194,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-17,BRITANNIA,168,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-17,CIPLA,259,1,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-20,ADANIPORTS,270,1,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-20,AXISBANK,1345,5,2,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-20,BAJAJ-AUTO,482,2,2,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-20,BANKBEES,1092,4,4,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-20,BHARTIARTL,716,3,3,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-20,BPCL,251,1,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-20,BRITANNIA,195,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-20,CIPLA,354,1,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-21,ADANIPORTS,411,1,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-21,AXISBANK,1262,5,3,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-21,BAJAJ-AUTO,965,3,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-21,BANKBEES,710,2,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-21,BHARTIARTL,496,2,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-21,BPCL,214,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-21,BRITANNIA,174,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-21,CIPLA,209,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-22,ADANIPORTS,253,1,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-22,AXISBANK,894,3,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-22,BAJAJ-AUTO,1305,5,4,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-22,BANKBEES,313,1,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-22,BHARTIARTL,218,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-22,BPCL,269,1,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-22,BRITANNIA,190,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-22,CIPLA,909,3,2,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-23,ADANIPORTS,403,1,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-23,AXISBANK,765,3,3,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-23,BAJAJ-AUTO,1193,4,2,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-23,BANKBEES,449,1,1,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-23,BHARTIARTL,339,1,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-23,BPCL,918,3,3,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-23,BRITANNIA,195,0,0,1,0,3,250.0
P425_L1_ONLY_CONTROL,2026-07-23,CIPLA,595,2,0,1,0,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-17,ADANIPORTS,589,2,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-17,AXISBANK,550,2,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-17,BAJAJ-AUTO,1008,4,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-17,BANKBEES,213,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-17,BHARTIARTL,687,2,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-17,BPCL,194,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-17,BRITANNIA,168,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-17,CIPLA,259,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-20,ADANIPORTS,270,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-20,AXISBANK,1345,5,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-20,BAJAJ-AUTO,482,2,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-20,BANKBEES,1092,4,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-20,BHARTIARTL,716,3,1,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-20,BPCL,251,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-20,BRITANNIA,195,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-20,CIPLA,354,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-21,ADANIPORTS,411,1,1,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-21,AXISBANK,1262,5,1,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-21,BAJAJ-AUTO,965,3,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-21,BANKBEES,710,2,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-21,BHARTIARTL,496,2,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-21,BPCL,214,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-21,BRITANNIA,174,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-21,CIPLA,209,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-22,ADANIPORTS,253,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-22,AXISBANK,894,3,1,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-22,BAJAJ-AUTO,1305,5,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-22,BANKBEES,313,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-22,BHARTIARTL,218,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-22,BPCL,269,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-22,BRITANNIA,190,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-22,CIPLA,909,3,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-23,ADANIPORTS,403,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-23,AXISBANK,765,3,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-23,BAJAJ-AUTO,1193,4,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-23,BANKBEES,449,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-23,BHARTIARTL,339,1,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-23,BPCL,918,3,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-23,BRITANNIA,195,0,0,0,1,3,250.0
P425_SIDE_FLIP_CONTROL,2026-07-23,CIPLA,595,2,0,0,1,3,250.0
