symbol,instrument_class,ticker_state,classification_reason,market_return_corr_5m,event_rate_per_second,total_return,median_spread_ticks,stale_bins,volume_increment_total,gross_abs_return,evidence_label
ADANIPORTS,equity,illiquid/stale,stale gaps plus low event rate,0.7048167163152895,0.6088482941308139,-0.0006904360794277586,4.0000000000045475,2,1152967.0,0.05821522203591212,one_day_candidate
AXISBANK,equity,market follower,positive market correlation,0.5897517520054506,0.803904475652219,0.0042951081378994616,2.0000000000022737,2,3661119.0,0.06802839673091399,one_day_candidate
BAJAJ-AUTO,equity,spread stress,median spread in top cross-sectional tail,0.23311702086877803,1.1038618480081333,0.03247397124442242,6.0,2,1008244.0,0.12437731807248775,one_day_candidate
BANKBEES,etf,spread stress,median spread in top cross-sectional tail,0.6524889481257916,0.8379597726150352,0.008458362702648436,20.000000000019895,1,926762.0,0.04174170903707175,one_day_candidate
BHARTIARTL,equity,laggard,total return in bottom cross-sectional tail,0.043312662655618284,0.8576316169666368,-0.0055124487290016955,3.0000000000022737,2,7814972.0,0.04447536713054523,one_day_candidate
BPCL,equity,illiquid/stale,stale gaps plus low event rate,0.29905395035324267,0.4691089310103396,0.008775526941687595,1.0000000000011369,2,5503590.0,0.056850187185650825,one_day_candidate
BRITANNIA,equity,illiquid/stale,stale gaps plus low event rate,0.18066985857563717,0.3743373852889271,0.0013128282070518082,4.0,2,132453.0,0.053216450330278664,one_day_candidate
CIPLA,equity,illiquid/stale,stale gaps plus low event rate,0.14256832806822076,0.5114220439825589,-0.010384107800236242,4.0000000000045475,2,842918.0,0.04923456266227966,one_day_candidate
DRREDDY,equity,illiquid/stale,stale gaps plus low event rate,0.1124212950190631,0.5381720372272615,-0.007391636202948693,4.000000000002274,2,2429905.0,0.05339291770565591,one_day_candidate
GOLDBEES,etf,illiquid/stale,stale gaps plus low event rate,-0.032494746791534725,0.5751501041202447,0.0005563639476162674,1.000000000001421,1,19576385.0,0.03081041662076045,one_day_candidate
HCLTECH,equity,high-beta follower,positive market correlation with larger move,0.4981478200036261,1.2849916652927336,0.0533792509685751,3.0000000000045475,2,9015192.0,0.15149548295415027,one_day_candidate
HDFCBANK,equity,market follower,positive market correlation,0.23229799400649792,1.5788738347248972,0.0003671633570969668,2.0000000000022737,2,21219046.0,0.07003933879615654,one_day_candidate
HINDUNILVR,equity,illiquid/stale,stale gaps plus low event rate,0.27975269259214863,0.5344873658918817,-0.004340723453909123,4.0000000000045475,2,1830885.0,0.05445529256407333,one_day_candidate
ICICIBANK,equity,market follower,positive market correlation,0.4260240438545282,1.1624101309966053,0.01004808727481521,2.0000000000022737,2,9961531.0,0.05053318796732342,one_day_candidate
INFY,equity,high-beta follower,positive market correlation with larger move,0.5003181070552393,1.5152855655339823,0.04207838872866554,2.0000000000022737,2,20929392.0,0.12475580577696577,one_day_candidate
ITBEES,etf,illiquid/stale,stale gaps plus low event rate,0.45851923196511135,0.5086447004458848,0.031054906355050482,1.0000000000003553,1,58316856.0,0.09008256447148377,one_day_candidate
ITC,equity,illiquid/stale,stale gaps plus low event rate,0.2348075902877367,0.5435287304263906,-0.005775211017325588,1.0000000000011369,2,12495457.0,0.031026119172524957,one_day_candidate
JUNIORBEES,etf,illiquid/stale,stale gaps plus low event rate,0.6805452756463003,0.7727358997628363,0.0059904978310267865,28.00000000002842,1,320257.0,0.029977128279555454,one_day_candidate
KOTAKBANK,equity,illiquid/stale,stale gaps plus low event rate,0.4415016962160343,0.6187021664981931,0.024953420282139982,2.0000000000022737,2,14151342.0,0.0630736123810931,one_day_candidate
LT,equity,high-beta follower,positive market correlation with larger move,0.5850597287957201,0.8546999165102286,0.008705701078582484,5.0000000000045475,2,1736169.0,0.05252329616816931,one_day_candidate
M&M,equity,high-beta follower,positive market correlation with larger move,0.5514895935774429,1.1268034214941514,0.021072052825791276,3.0000000000045475,2,1758281.0,0.07208845799752484,one_day_candidate
MARUTI,equity,market follower,positive market correlation,0.2424307476323138,1.2138259451311155,0.0005112847856256764,4.0,2,457493.0,0.07920376923947703,one_day_candidate
NESTLEIND,equity,illiquid/stale,stale gaps plus low event rate,0.17196740845552416,0.5671698736995497,-0.015456642225205597,4.000000000002274,2,2165526.0,0.05924345751743554,one_day_candidate
NIFTYBEES,etf,market follower,positive market correlation,0.862355320840792,0.9930222179749781,0.007799483696149689,4.000000000005684,1,6546086.0,0.028576870133826482,one_day_candidate
ONGC,equity,illiquid/stale,stale gaps plus low event rate,-0.03662718493908164,0.7598161951715559,0.007005076142132083,4.000000000002842,2,12380093.0,0.06687022060511705,one_day_candidate
RELIANCE,equity,market follower,positive market correlation,0.5930137402702672,1.144086889482594,-0.002346424587452378,2.0000000000022737,2,9416233.0,0.03519186785289252,one_day_candidate
SBIN,equity,high-beta follower,positive market correlation with larger move,0.613873179992766,1.0857474397251663,0.013338544974837552,2.0000000000022737,2,8331069.0,0.08241948821914236,one_day_candidate
SUNPHARMA,equity,illiquid/stale,stale gaps plus low event rate,0.31355971862551874,0.641490217340047,-0.0036051457620086547,3.0000000000045475,2,1569108.0,0.05241648395225773,one_day_candidate
TCS,equity,high-beta follower,positive market correlation with larger move,0.4883163057362144,1.6012210853070985,0.050963391136801706,4.0000000000045475,2,12328489.0,0.12249123757002878,one_day_candidate
TECHM,equity,market follower,positive market correlation,0.3890908287142721,0.8396891797680396,0.03904142748461159,5.0000000000045475,2,2283371.0,0.13402826190477146,one_day_candidate
ULTRACEMCO,equity,illiquid/stale,stale gaps plus low event rate,0.48472304563548857,0.3681906301938709,-0.004399396161311242,3.0,2,120978.0,0.04426025029455416,one_day_candidate
WIPRO,equity,high-beta follower,positive market correlation with larger move,0.5918218508649482,0.8928173907866198,0.02187607376016487,4.000000000002842,2,22350219.0,0.08519615700767647,one_day_candidate
