metric,value,description
phase323_multievent_strategy_search_interpretation_complete,1,Phase323 multi-event strategy-search interpretation completed
phase323_fixed_capital_profitable_research_leads_exist,1,Fixed-capital profitable research leads exist
phase323_acceptance_grade_candidates_exist,0,Acceptance-grade candidates exist
phase323_best_2x_cost_lead_is_sparse,1,Best 2x cost lead is sparse
phase323_breadth_universe_limits_acceptance,1,Current event universe limits acceptance
phase323_best_family_preserved_for_breadth_expansion,P321_DEPTH_ACCEL_REVERSAL,Best family preserved for breadth expansion
phase323_passive_aware_rescue_status,diagnostic_only_not_dominant,Passive-aware diagnostic status
phase323_replay_allowed,0,No replay
phase323_strategy_promotion_allowed,0,No promotion
phase323_paper_or_live_acceptance_allowed,0,No paper/live
phase323_deployable_profitability_claim_allowed,0,No deployable profitability claim
phase323_selected_next_route,P324_EVENT_CATALYST_BREADTH_EXPANSION_PRECOMMIT,Selected next route
phase323_hard_gate_pass_rows,8,Passed hard gates
phase323_hard_gate_rows,8,Hard gates
phase323_next_best_action,run_phase324_event_catalyst_breadth_expansion_precommit_no_replay,Recommended next action
