metric,value,description
phase237_threshold_transfer_search_complete,1,Phase237 expanded real-anchor search completed
phase237_expanded_variant_rows,3584,Expanded variants evaluated
phase237_positive_variant_rows,5,Positive real-anchor variants
phase237_breadth_positive_candidate_rows,3,Positive breadth candidates
phase237_best_candidate_id,P237_BAR_RETURN_REVERSAL_H6_EQ0_95_SQ0_95,Best candidate by real-anchor net P&L
phase237_best_family_id,bar_return_reversal,Best candidate family
phase237_best_real_anchor_net_pnl_inr,7041.523067663933,Best real-anchor net P&L after costs
phase237_best_real_anchor_trade_rows,71,Best selected trades
phase237_best_real_anchor_dates,6,Best dates represented
phase237_best_real_anchor_symbols,21,Best symbols represented
phase237_best_control_pass_rows,3,Best candidate controls passed
phase237_best_control_rows,4,Best candidate controls evaluated
phase237_hard_gate_pass_rows,6,Hard Phase237 gates passed
phase237_hard_gate_rows,6,Hard Phase237 gates evaluated
phase237_candidate_opened_for_phase238,1,Whether Phase238 validation precommit is opened
phase237_strategy_promotion_allowed,0,No strategy promotion from Phase237
phase237_paper_or_live_acceptance_allowed,0,No paper/live acceptance from Phase237
phase237_deployable_profitability_claim_allowed,0,No deployable profitability claim from Phase237
phase237_next_best_action,run_phase238_precommit_unseen_real_anchor_or_walk_forward_validation_for_phase237_candidate_no_paper_live,Recommended next milestone
