candidate_id,family_id,signal_source,direction,horizon_event_bars,event_quantile,signal_quantile,event_window_score_threshold,signal_abs_threshold,real_anchor_trades,real_anchor_net_pnl_inr,real_anchor_gross_pnl_inr,real_anchor_cost_pnl_drag_inr,real_anchor_dates,real_anchor_symbols,real_anchor_positive_dates,real_anchor_min_date_net_pnl_inr,real_anchor_max_date_contribution_abs,real_anchor_max_symbol_contribution_abs,real_anchor_precision_cost_clear,real_anchor_positive,real_anchor_breadth_pass
P237_BAR_RETURN_REVERSAL_H6_EQ0_95_SQ0_95,bar_return_reversal,bar_return,reversal,6,0.95,0.95,8.334102985231581,0.005648629194168348,71,7041.523067663933,15596.511387007018,8554.988319343083,6,21,4,-718.4947443006779,0.6886769490361578,0.5333417912543434,0.5070422535211268,True,True
P237_BAR_RETURN_REVERSAL_H8_EQ0_95_SQ0_95,bar_return_reversal,bar_return,reversal,8,0.95,0.95,8.334102985231581,0.005660255506485912,70,6899.111602240333,15343.393726317363,8444.282124077034,6,21,4,-1967.3540631911244,0.7023747770132954,0.5782229625834583,0.5285714285714286,True,True
P237_BAR_RETURN_REVERSAL_H10_EQ0_95_SQ0_95,bar_return_reversal,bar_return,reversal,10,0.95,0.95,8.334102985231581,0.00567372669661854,69,4494.879903328803,12812.729118354704,8317.8492150259,6,21,4,-3254.1499781455877,0.7239681700362317,0.8873261085113051,0.42028985507246375,True,True
P237_BAR_RETURN_REVERSAL_H5_EQ0_95_SQ0_95,bar_return_reversal,bar_return,reversal,5,0.95,0.95,8.334102985231581,0.005648580107453288,71,3562.1522385361304,12117.140557879216,8554.988319343083,6,21,3,-1132.966144637417,0.9165473918413803,0.7936564540908176,0.4507042253521127,True,False
P237_BAR_RETURN_REVERSAL_H4_EQ0_95_SQ0_95,bar_return_reversal,bar_return,reversal,4,0.95,0.95,8.334102985231581,0.005648531020738229,71,2661.5378555114953,11216.526174854578,8554.988319343083,6,21,3,-1399.762554908581,0.9365611640450223,1.037474401291364,0.4507042253521127,True,False
P237_MICROPRICE_CONTINUATION_H10_EQ0_95_SQ0_95,avg_microprice_dev_continuation,avg_microprice_dev,continuation,10,0.95,0.95,8.334102985231581,6.903040862610276e-05,69,-1139.9825865681064,7247.407264679783,8387.38985124789,7,19,3,-2779.6504709537835,2.7885352309518243,1.716227065163942,0.4492753623188406,False,False
P237_TOP5_IMBALANCE_CONTINUATION_H6_EQ0_95_SQ0_95,avg_top5_market_by_price_imbalance_continuation,avg_top5_market_by_price_imbalance,continuation,6,0.95,0.95,8.334102985231581,0.4847179990562473,71,-1233.0139783264092,6400.286373590558,7633.300351916967,7,21,2,-1489.6954911102332,1.2081740493584852,0.660618049502246,0.4647887323943662,False,False
P237_TOP5_IMBALANCE_CONTINUATION_H8_EQ0_95_SQ0_95,avg_top5_market_by_price_imbalance_continuation,avg_top5_market_by_price_imbalance,continuation,8,0.95,0.95,8.334102985231581,0.48441602804386197,70,-2181.8286980465673,5331.598996161001,7513.427694207569,7,21,2,-1403.893302404414,0.6434479955559052,0.6301007222608875,0.4714285714285714,False,False
P237_TOP5_IMBALANCE_CONTINUATION_H10_EQ0_95_SQ0_95,avg_top5_market_by_price_imbalance_continuation,avg_top5_market_by_price_imbalance,continuation,10,0.95,0.95,8.334102985231581,0.4849217043547677,69,-2466.145476361803,4952.535089613907,7418.680565975711,7,21,2,-947.8960185113891,0.46910120437327224,0.5555682793066444,0.4782608695652174,False,False
P237_BAR_RETURN_REVERSAL_H3_EQ0_95_SQ0_95,bar_return_reversal,bar_return,reversal,3,0.95,0.95,8.334102985231581,0.005645098454411078,72,-2521.0136425683186,6167.638810453747,8688.652453022065,6,21,4,-4506.663931836755,1.7876396445223228,0.8294415632990907,0.4305555555555556,False,True
